code,H,hm,mean,sd,n,se,t
IF0000,30,13:06,1.5988442854713347,41.86109368016858,234,2.736545301737374,0.5842564654260475
IF0000,30,13:07,-2.1840756299854136,45.17996233329641,231,2.972623279541089,-0.7347300429950846
IF0000,30,13:08,3.2077742956376794,46.109837301313085,232,3.0272591278887986,1.0596299028668785
IF0000,30,13:09,-2.4447355002983957,47.10914142020972,235,3.0730615445847507,-0.7955374354953708
IF0000,30,13:10,-1.1219421520020736,47.59729203880601,232,3.124915315699044,-0.35903121801913374
IF0000,30,13:11,1.305775184095694,41.04588404317223,228,2.718330076976069,0.4803593188168919
IF0000,30,13:12,-0.11648732941572193,39.770334617213734,230,2.622378206700725,-0.04442049171933798
IF0000,30,13:13,0.9601134828806545,37.84248205015149,230,2.495259372870046,0.3847750231176699
IF0000,30,13:14,-0.4512503500454842,39.82395838491213,226,2.649050306904305,-0.17034419802046638
IF0000,30,13:15,1.097221092839783,35.34407666254618,229,2.3356023274521167,0.46978078414433233
IF0000,30,13:16,0.5542578925556859,34.23943905341272,233,2.243100233010561,0.24709457223487183
IF0000,30,13:17,0.1236586953315644,36.33613349371256,229,2.4011592881264443,0.051499580199884085
IF0000,30,13:18,0.26716850677676535,36.97762660884944,227,2.454291278793279,0.10885770123753453
IF0000,30,13:19,1.6746632980958305,35.851256814055326,230,2.3639618689885733,0.7084138369847476
IF0000,30,13:20,-0.23447011315468727,33.900962685658875,234,2.216175259791737,-0.10579944529148899
IF0000,30,13:21,-1.4351619078427127,34.85696436897128,230,2.2984001666752363,-0.6244177705219863
IF0000,30,13:22,0.5850809836186914,33.049048476059035,227,2.193542389975791,0.2667288247049325
IF0000,30,13:23,0.6036547264302558,33.936996337359815,229,2.242619842330362,0.26917389877500736
IF0000,30,13:24,-2.8252817209572973,33.17538364126668,233,2.1733916452268187,-1.299941373733608
IF0000,30,13:25,-3.6292791401880926,35.140260084141914,228,2.327220575856358,-1.5594908268858916
IF0000,30,13:26,-2.4456834047157834,35.013730036369594,232,2.2987639960945074,-1.0639123497979284
IF0000,30,13:27,0.1771414684701887,32.53401073453591,227,2.159358134435521,0.08203431642268795
IF0000,30,13:28,-4.048981271922211,33.85794126703891,229,2.237395736237528,-1.8096848967501387
IF0000,30,13:29,-0.03574177712303002,33.8262589113763,232,2.220802697321112,-0.01609408038190167
IF0000,30,13:30,-0.3440768220215448,33.7124139888397,231,2.2181139925142506,-0.15512134325951882
IF0000,30,13:31,-0.03757444932342024,30.303164529716952,232,1.9895002193792024,-0.018886376064409207
IF0000,30,13:32,-3.0185201267626542,32.775969139283156,232,2.151847795599811,-1.402757264214993
IF0000,30,13:33,1.360722413140013,31.400846712792312,232,2.061566585315852,0.6600429124298876
IF0000,30,13:34,-0.7092091406475245,32.02438034672103,235,2.0890402322307056,-0.3394904175159046
IF0000,30,13:35,-2.938735661487052,33.20800608409032,234,2.1708752696190317,-1.3537100461800244
IF0000,30,13:36,-2.8312771729841533,33.70820528723737,230,2.2226532359620945,-1.273827661091997
IF0000,30,13:37,-0.9900847864103275,35.476859933036195,232,2.329169963435499,-0.4250805230846974
IF0000,30,13:38,0.6815864368695573,38.54847842266596,232,2.5308315969251254,0.269313231942284
IF0000,30,13:39,2.5357772311997535,38.25797982580703,229,2.5281584684728857,1.0030135621725762
IF0000,30,13:40,-2.576993805469162,36.93814583010625,232,2.4251080827017435,-1.062630496286255
IF0000,30,13:41,-0.45580173445370153,34.91038009926297,229,2.3069428518550175,-0.19757825127189016
IF0000,30,13:42,0.16170248477321394,34.11408020268282,230,2.2494158353506846,0.07188643479430493
IF0000,30,13:43,1.8795737517592683,35.02026395764776,231,2.304164202887285,0.815729082764165
IF0000,30,13:44,-1.1718417222190358,34.350842024883406,229,2.269967535133733,-0.5162372166481217
IF0000,30,13:45,3.481745965505047,34.94953754644936,233,2.28962033203164,1.5206652023462783
IF0000,30,13:46,-0.429411593967875,34.92765681801339,232,2.2931130124609527,-0.18726141783436723
IF0000,30,13:47,-2.4128793512989737,36.87674579106207,234,2.4107082870054626,-1.0009005918738547
IF0000,30,13:48,-1.083484183998151,40.03397715587706,229,2.6455196754797714,-0.4095543851140168
IF0000,30,13:49,-2.12709538860124,40.41168921194704,232,2.6531573781282494,-0.8017222823403956
IF0000,30,13:50,3.1948786738250727,39.33866570122601,232,2.582709933344552,1.23702574283585
IF0000,30,13:51,-2.9170887351525305,41.029582115260446,232,2.6937240346399594,-1.0829204096782787
IF0000,30,13:52,3.7944048395995655,41.904351496560224,229,2.7691174908935072,1.3702577994894793
IF0000,30,13:53,-2.5416392393739526,44.089077479718945,229,2.9134882475503887,-0.8723698273061233
IF0000,30,13:54,0.3092319323230909,41.62913880246078,226,2.769129122096534,0.1116711856646715
IF0000,30,13:55,-1.496900531814039,40.32538323592644,232,2.647491113205378,-0.5654034207509415
IF0000,30,13:56,2.3522207054970985,35.32436340863464,229,2.3342996389660926,1.007677277686143
IF0000,30,13:57,0.6465736794952266,34.96935380527929,229,2.310839944042353,0.27980028697451675
IF0000,30,13:58,2.627686409177892,35.24512401329165,229,2.3290633523329465,1.1282159442102873
IF0000,30,13:59,1.1409144564541709,34.01347061236479,232,2.2330937476443116,0.510912028506515
IF0000,30,14:00,1.4004552803318608,33.867686591312804,233,2.2187459194641934,0.6311922730972539
IF0000,30,14:01,-0.7795922007509175,36.9626110068748,231,2.431961256211189,-0.32056111040414476
IF0000,30,14:02,1.2743627684884478,39.17744718502396,231,2.577686777958334,0.4943823195996727
IF0000,30,14:03,3.4343973649804687,37.21613943489843,236,2.4225643319699603,1.4176702429147525
IF0000,30,14:04,-0.24056070710017455,40.37088162664596,232,2.650478228898497,-0.09076124620731117
IF0000,30,14:05,0.48622314603662353,41.53941982054647,233,2.7213378739423058,0.17867062766897418
IF0000,30,14:06,0.4157136316167107,40.81447352613394,230,2.691226687506201,0.15446994247888038
IF0000,30,14:07,3.7353455835383618,43.2181757088185,233,2.8313168288625827,1.3192962177387093
IF0000,30,14:08,3.5045275624885632,42.51958838921196,230,2.803658632067259,1.249983690027385
IF0000,30,14:09,0.21321251456946952,43.487997179925905,229,2.8737677433033526,0.07419267443108848
IF0000,30,14:10,3.246582354115691,42.405710446091845,235,2.766243538176132,1.1736429961102632
IF0000,30,14:11,1.574825139258945,47.04334695285484,232,3.088547039080834,0.5098919068843518
IF0000,30,14:12,-0.17367589219579985,46.92331570117185,230,3.094031812033866,-0.05613254896743733
IF0000,30,14:13,0.14524185493069106,48.22061844339082,226,3.207587825698801,0.04528071024806588
IF0000,30,14:14,-1.240433760110332,44.91511982593298,230,2.961615297345219,-0.41883689661592854
IF0000,30,14:15,3.2565086280040787,43.839503701221645,231,2.8844275766413845,1.12899649635022
IF0000,30,14:16,2.698029962399019,40.41962739158792,232,2.6536785451542713,1.0167131837900019
IF0000,30,14:17,3.336772148475414,39.35661849337031,234,2.572822637009255,1.2969304997853262
IF0000,30,14:18,4.632180959609605,38.31835129744007,234,2.504948987107055,1.8492116939112893
IF0000,30,14:19,1.3183744504670705,38.010932942139,233,2.4901790127593384,0.5294295886809338
IF0000,30,14:20,0.6995103113150253,38.05381476845682,235,2.4823571660240056,0.2817927737753515
IF0000,30,14:21,1.2108448465618333,36.42591456919969,229,2.40709218859152,0.5030321864283661
IF0000,30,14:22,2.031077974627669,37.16530631032682,225,2.4776870873551213,0.8197475722391571
IF0000,30,14:23,-1.1918242821074698,39.8161847818561,227,2.642693001868994,-0.45098854890241696
IF0000,30,14:24,-0.12651092168829745,38.082349120993776,230,2.5110757391424507,-0.050381165217860686
IF0000,30,14:25,-1.7151169121343453,37.93729211458552,224,2.5347919513346375,-0.6766302501596981
IF0000,30,14:26,-4.107905906340615,42.39922892601565,232,2.7836457531389405,-1.4757286920249784
IF0000,30,14:27,4.37975138893899,43.01528948597031,229,2.8425303396289436,1.5407931897433014
IF0000,30,14:28,2.5239484254144724,41.66324039438636,227,2.7652863886547836,0.9127258701917982
IF0000,30,14:29,-3.3558047628869327,42.289892725787055,229,2.7945947724450484,-1.2008198097181977
