code,ts,open,high,low,close,pb,pa,nticks,vol,amt,vwap,mid_close
IF0000,2024-06-11 13:26:00,3524.2,3526.2,3524.0,3525.4,3525.4,3525.6,93,158.0,167110860.0,3525.545569620253,3525.5
IF0000,2024-06-11 13:27:00,3525.4,3525.8,3524.2,3525.4,3525.2,3525.4,91,83.0,87778620.0,3525.24578313253,3525.3
IF0000,2024-06-11 13:28:00,3525.4,3526.4,3525.4,3525.4,3525.2,3525.4,94,84.0,88851480.0,3525.852380952381,3525.3
IF0000,2024-06-11 13:29:00,3525.4,3525.4,3523.0,3523.6,3523.2,3523.6,95,99.0,104666400.0,3524.121212121212,3523.3999999999996
IF0000,2024-06-11 13:30:00,3523.6,3527.4,3523.6,3526.8,3526.6,3527.0,109,171.0,180880260.0,3525.930994152047,3526.8
IF0000,2024-06-11 13:31:00,3527.0,3527.0,3524.2,3524.6,3524.2,3524.4,94,197.0,208365540.0,3525.643654822335,3524.3
IF0000,2024-06-11 13:32:00,3524.6,3524.8,3523.2,3524.4,3524.2,3524.4,76,120.0,126855840.0,3523.7733333333335,3524.3
IF0000,2024-06-11 13:33:00,3524.4,3524.4,3522.6,3523.2,3522.6,3523.2,77,81.0,85621080.0,3523.501234567901,3522.8999999999996
IF0000,2024-06-11 13:34:00,3523.2,3523.6,3522.6,3523.6,3523.6,3523.8,72,50.0,52845300.0,3523.02,3523.7
IF0000,2024-06-11 13:35:00,3524.0,3526.2,3524.0,3526.0,3525.6,3526.2,91,106.0,112104240.0,3525.290566037736,3525.8999999999996
IF0000,2024-06-11 13:36:00,3526.0,3526.6,3525.0,3526.6,3525.8,3526.6,90,99.0,104720940.0,3525.957575757576,3526.2
IF0000,2024-06-11 13:37:00,3526.6,3527.8,3525.8,3527.4,3527.0,3527.4,88,98.0,103691820.0,3526.9326530612243,3527.2
IF0000,2024-06-11 13:38:00,3527.4,3528.6,3526.8,3528.6,3528.4,3528.8,102,139.0,147111180.0,3527.8460431654676,3528.6000000000004
IF0000,2024-06-11 13:39:00,3528.4,3528.8,3527.0,3528.0,3527.8,3528.0,92,184.0,194746620.0,3528.0184782608694,3527.9
IF0000,2024-06-11 13:40:00,3528.0,3529.0,3527.2,3528.2,3528.0,3528.4,96,128.0,135477240.0,3528.053125,3528.2
IF0000,2024-06-11 13:41:00,3528.4,3528.8,3526.8,3526.8,3526.8,3527.0,92,109.0,115367760.0,3528.0660550458715,3526.9
IF0000,2024-06-11 13:42:00,3527.0,3528.4,3527.0,3527.2,3527.4,3527.6,90,91.0,96311640.0,3527.898901098901,3527.5
IF0000,2024-06-11 13:43:00,3527.6,3528.8,3527.4,3528.6,3528.4,3528.6,95,99.0,104789040.0,3528.250505050505,3528.5
IF0000,2024-06-11 13:44:00,3528.6,3528.6,3526.6,3527.4,3527.0,3527.4,88,96.0,101590380.0,3527.44375,3527.2
IF0000,2024-06-11 13:45:00,3527.4,3528.6,3527.0,3528.0,3528.0,3528.6,91,101.0,106897680.0,3527.9762376237622,3528.3
IF0000,2024-06-11 13:46:00,3528.6,3528.6,3526.8,3527.2,3526.8,3527.0,81,87.0,92078940.0,3527.928735632184,3526.9
IF0000,2024-06-11 13:47:00,3527.0,3527.8,3525.2,3525.4,3525.4,3525.8,104,168.0,177728040.0,3526.35,3525.6000000000004
IF0000,2024-06-11 13:48:00,3526.0,3528.6,3525.4,3528.2,3528.0,3528.2,94,172.0,182015100.0,3527.4244186046512,3528.1
IF0000,2024-06-11 13:49:00,3528.2,3531.0,3528.2,3529.4,3529.2,3529.6,117,481.0,509347500.0,3529.781704781705,3529.3999999999996
IF0000,2024-06-11 13:50:00,3529.6,3530.8,3527.4,3530.4,3530.2,3530.8,109,308.0,326064360.0,3528.835064935065,3530.5
IF0000,2024-06-11 13:51:00,3530.2,3530.2,3528.8,3529.8,3529.4,3529.8,102,96.0,101655060.0,3529.6895833333333,3529.6000000000004
IF0000,2024-06-11 13:52:00,3529.8,3530.6,3529.0,3529.2,3529.2,3529.6,109,110.0,116485680.0,3529.869090909091,3529.3999999999996
IF0000,2024-06-11 13:53:00,3529.6,3531.4,3529.2,3531.0,3531.2,3531.4,106,202.0,213944400.0,3530.4356435643563,3531.3
IF0000,2024-06-11 13:54:00,3531.2,3532.4,3528.8,3529.0,3528.8,3529.0,107,232.0,245754660.0,3530.9577586206897,3528.9
IF0000,2024-06-11 13:55:00,3528.8,3529.2,3527.0,3527.2,3527.2,3527.4,97,145.0,153468960.0,3528.022068965517,3527.3
IF0000,2024-06-11 13:56:00,3527.6,3527.8,3526.0,3527.8,3527.4,3527.8,105,146.0,154473780.0,3526.7986301369865,3527.6000000000004
IF0000,2024-06-11 13:57:00,3527.4,3528.4,3526.8,3528.4,3527.8,3528.2,101,96.0,101590500.0,3527.4479166666665,3528.0
IF0000,2024-06-11 13:58:00,3527.8,3529.6,3527.8,3528.6,3528.6,3528.8,96,127.0,134451120.0,3528.9007874015747,3528.7
IF0000,2024-06-11 13:59:00,3528.8,3530.8,3528.6,3529.4,3529.0,3529.2,108,160.0,169437660.0,3529.95125,3529.1
IF0000,2024-06-11 14:00:00,3529.2,3529.4,3527.8,3527.8,3527.8,3528.0,91,137.0,145034400.0,3528.817518248175,3527.9
IF0000,2024-06-11 14:01:00,3527.8,3530.0,3527.8,3530.0,3529.6,3530.0,86,81.0,85755240.0,3529.0222222222224,3529.8
IF0000,2024-06-11 14:02:00,3530.0,3532.0,3529.8,3529.8,3529.8,3530.0,111,219.0,231990180.0,3531.05296803653,3529.9
IF0000,2024-06-11 14:03:00,3530.0,3531.0,3529.6,3530.6,3530.2,3530.8,92,104.0,110150580.0,3530.4673076923077,3530.5
IF0000,2024-06-11 14:04:00,3530.6,3530.6,3528.2,3529.6,3529.2,3529.6,82,118.0,124932840.0,3529.1762711864408,3529.3999999999996
IF0000,2024-06-11 14:05:00,3529.6,3530.0,3529.0,3529.0,3529.0,3529.2,79,84.0,88941420.0,3529.4214285714284,3529.1
IF0000,2024-06-11 14:06:00,3529.0,3529.4,3528.4,3528.8,3528.4,3528.8,78,78.0,82576500.0,3528.9102564102564,3528.6000000000004
