product,thr_ticks,window,month,minute,active,hit_rate,mean_ret,total
IM0000,5,neg_pm,2023-01,13:39,10,0.6,2.465844071283252e-05,0.0002465844071283252
IM0000,5,neg_pm,2023-01,13:40,12,0.3333333333333333,-1.0564582729762536e-05,-0.00012677499275715043
IM0000,5,neg_pm,2023-01,13:41,6,0.3333333333333333,-0.00019188466648254834,-0.0011513079988952901
IM0000,5,neg_pm,2023-01,13:42,10,0.5,-1.4763464265743487e-05,-0.00014763464265743487
IM0000,5,neg_pm,2023-01,13:43,5,0.8,0.0002977603133117457,0.0014888015665587284
IM0000,5,neg_pm,2023-01,13:44,13,0.46153846153846156,-3.8009727202316696e-05,-0.0004941264536301171
IM0000,5,neg_pm,2023-01,13:45,13,0.5384615384615384,-4.262513606893089e-05,-0.0005541267688961016
IM0000,5,neg_pm,2023-01,13:46,9,0.4444444444444444,-1.9226932509910614e-05,-0.00017304239258919552
IM0000,5,neg_pm,2023-01,13:47,5,0.2,-4.9942541349246027e-05,-0.00024971270674623014
IM0000,5,neg_pm,2023-01,13:48,7,0.8571428571428571,0.00013482036070749142,0.00094374252495244
IM0000,5,neg_pm,2023-01,13:49,9,0.4444444444444444,1.9181419794203317e-05,0.00017263277814782985
IM0000,5,neg_pm,2023-01,13:50,9,0.5555555555555556,0.00010306732125377039,0.0009276058912839336
IM0000,5,neg_pm,2023-01,13:51,9,0.2222222222222222,-0.0002047351950287515,-0.0018426167552587636
IM0000,5,neg_pm,2023-01,13:52,9,0.6666666666666666,7.84253200059901e-05,0.0007058278800539108
IM0000,5,neg_pm,2023-01,13:53,9,0.5555555555555556,0.00013533868632120694,0.0012180481768908624
IM0000,5,neg_pm,2023-01,13:54,12,0.4166666666666667,2.9415245961228464e-05,0.0003529829515347416
IM0000,5,neg_pm,2023-01,13:55,12,0.5,3.6665373364145694e-05,0.00043998448036974835
IM0000,5,neg_pm,2023-01,13:56,8,0.125,-0.00020121342901203987,-0.001609707432096319
IM0000,5,neg_pm,2023-01,13:57,8,0.75,0.0002316889352659557,0.0018535114821276455
IM0000,5,neg_pm,2023-01,13:58,11,0.45454545454545453,9.881729933860292e-06,0.00010869902927246322
IM0000,5,neg_pm,2023-01,13:59,8,0.5,5.0918435692964836e-05,0.0004073474855437187
IM0000,5,neg_pm,2023-02,13:30,16,0.375,-4.411723423749375e-05,-0.0007058757477999
