product,thr_ticks,window,month,minute,active,hit_rate,mean_ret,total
IC0000,5,pos_open,2023-01,09:46,11,0.45454545454545453,-1.420160402125377e-05,-0.00015621764423379148
IC0000,5,pos_open,2023-01,09:47,12,0.5,3.116599542148565e-05,0.00037399194505782773
IC0000,5,pos_open,2023-01,09:48,11,0.6363636363636364,0.0002458405550777133,0.002704246105854846
IC0000,5,pos_open,2023-01,09:49,13,0.6923076923076923,9.011400013958504e-05,0.0011714820018146055
IC0000,5,pos_open,2023-01,09:50,10,0.3,-0.00021434564802190746,-0.0021434564802190748
IC0000,5,pos_open,2023-01,09:51,7,0.42857142857142855,-0.00011439938654898642,-0.0008007957058429049
IC0000,5,pos_open,2023-01,09:52,11,0.6363636363636364,0.00015609654080789797,0.0017170619488868777
IC0000,5,pos_open,2023-01,09:53,11,0.45454545454545453,-6.260793324558927e-05,-0.000688687265701482
IC0000,5,pos_open,2023-01,09:54,7,0.5714285714285714,5.80975852648713e-05,0.0004066830968540991
IC0000,5,pos_open,2023-01,09:55,8,0.75,0.00015261208953769312,0.001220896716301545
IC0000,5,pos_open,2023-01,09:56,12,0.16666666666666666,-0.00026904622105505815,-0.003228554652660698
IC0000,5,pos_open,2023-01,09:57,10,0.3,-0.0003972074247953428,-0.003972074247953428
IC0000,5,pos_open,2023-01,09:58,11,0.7272727272727273,0.00016613815853577292,0.001827519743893502
IC0000,5,pos_open,2023-01,09:59,11,0.5454545454545454,3.3017534909524585e-05,0.00036319288400477046
IC0000,5,pos_open,2023-02,09:31,18,0.3333333333333333,-0.00026688463109453275,-0.00480392335970159
IC0000,5,pos_open,2023-02,09:32,16,0.375,0.00019466357357358216,0.0031146171771773146
IC0000,5,pos_open,2023-02,09:33,17,0.4117647058823529,1.9346190447999026e-05,0.00032888523761598343
IC0000,5,pos_open,2023-02,09:34,17,0.7647058823529411,0.0002944854789177433,0.005006253141601635
IC0000,5,pos_open,2023-02,09:35,16,0.375,-9.237626011172201e-05,-0.0014780201617875521
