code,d,mn,close
IC0000,2023-03-02,1970-01-01 13:54:00,6379.200000000001
IC0000,2023-03-02,1970-01-01 13:55:00,6377.9
IC0000,2023-03-02,1970-01-01 13:56:00,6379.700000000001
IC0000,2023-03-02,1970-01-01 13:57:00,6379.200000000001
IC0000,2023-03-02,1970-01-01 13:58:00,6376.6
IC0000,2023-03-02,1970-01-01 13:59:00,6375.3
IC0000,2023-03-02,1970-01-01 14:00:00,6375.9
IC0000,2023-03-02,1970-01-01 14:01:00,6376.200000000001
IC0000,2023-03-02,1970-01-01 14:02:00,6376.2
IC0000,2023-03-02,1970-01-01 14:03:00,6375.1
IC0000,2023-03-02,1970-01-01 14:04:00,6380.2
IC0000,2023-03-02,1970-01-01 14:05:00,6378.0
IC0000,2023-03-02,1970-01-01 14:06:00,6380.0
IC0000,2023-03-02,1970-01-01 14:07:00,6379.8
IC0000,2023-03-02,1970-01-01 14:08:00,6381.9
IC0000,2023-03-02,1970-01-01 14:09:00,6380.7
IC0000,2023-03-02,1970-01-01 14:10:00,6377.9
IC0000,2023-03-02,1970-01-01 14:11:00,6379.700000000001
IC0000,2023-03-02,1970-01-01 14:12:00,6375.6
IC0000,2023-03-02,1970-01-01 14:13:00,6376.3
IC0000,2023-03-02,1970-01-01 14:14:00,6375.0
IC0000,2023-03-02,1970-01-01 14:15:00,6375.7
IC0000,2023-03-02,1970-01-01 14:16:00,6375.7
IC0000,2023-03-02,1970-01-01 14:17:00,6367.2
IC0000,2023-03-02,1970-01-01 14:18:00,6366.5
IC0000,2023-03-02,1970-01-01 14:19:00,6367.1
IC0000,2023-03-02,1970-01-01 14:20:00,6367.6
IC0000,2023-03-02,1970-01-01 14:21:00,6365.8
IC0000,2023-03-02,1970-01-01 14:22:00,6365.5
IC0000,2023-03-02,1970-01-01 14:23:00,6369.6
IC0000,2023-03-02,1970-01-01 14:24:00,6368.4
IC0000,2023-03-02,1970-01-01 14:25:00,6371.3
IC0000,2023-03-02,1970-01-01 14:26:00,6371.700000000001
IC0000,2023-03-02,1970-01-01 14:27:00,6374.6
IC0000,2023-03-02,1970-01-01 14:28:00,6373.9
IC0000,2023-03-02,1970-01-01 14:29:00,6371.7
IC0000,2023-03-02,1970-01-01 14:30:00,6374.3
IC0000,2023-03-02,1970-01-01 14:31:00,6369.6
IC0000,2023-03-02,1970-01-01 14:32:00,6368.5
IC0000,2023-03-02,1970-01-01 14:33:00,6369.0
IC0000,2023-03-02,1970-01-01 14:34:00,6369.3
IC0000,2023-03-02,1970-01-01 14:35:00,6366.1
IC0000,2023-03-02,1970-01-01 14:36:00,6366.799999999999
IC0000,2023-03-02,1970-01-01 14:37:00,6369.0
IC0000,2023-03-02,1970-01-01 14:38:00,6370.8
IC0000,2023-03-02,1970-01-01 14:39:00,6369.3
IC0000,2023-03-02,1970-01-01 14:40:00,6372.200000000001
IC0000,2023-03-02,1970-01-01 14:41:00,6374.5
IC0000,2023-03-02,1970-01-01 14:42:00,6373.9
IC0000,2023-03-02,1970-01-01 14:43:00,6373.5
IC0000,2023-03-02,1970-01-01 14:44:00,6373.1
IC0000,2023-03-02,1970-01-01 14:45:00,6372.9
IC0000,2023-03-02,1970-01-01 14:46:00,6374.0
IC0000,2023-03-02,1970-01-01 14:47:00,6373.1
IC0000,2023-03-02,1970-01-01 14:48:00,6374.7
