code,half,k,n,mean_bp,hit,t
IF0000,H2,17,118,-0.338,0.508,-0.08
IF0000,full,18,195,-0.488,0.462,-0.91
IF0000,H1,18,91,-0.329,0.44,-0.96
IF0000,H2,18,104,-0.628,0.481,-0.43
IF0000,full,19,176,-0.438,0.466,-0.82
IF0000,H1,19,85,-0.226,0.447,-0.74
IF0000,H2,19,91,-0.635,0.484,-0.49
IF0000,full,20,145,-0.549,0.462,-0.42
IF0000,H1,20,69,-0.089,0.449,0.05
IF0000,H2,20,76,-0.967,0.474,-0.54
IF0000,full,21,122,-0.786,0.443,-0.72
IF0000,H1,21,56,-0.196,0.446,-0.2
IF0000,H2,21,66,-1.286,0.439,-0.73
IF0000,full,22,101,-0.768,0.446,-0.64
IF0000,H1,22,44,0.53,0.5,0.24
IF0000,H2,22,57,-1.771,0.404,-0.95
IF0000,full,23,89,0.168,0.494,0.59
IF0000,H1,23,38,1.821,0.553,1.54
IF0000,H2,23,51,-1.063,0.451,-0.16
IF0000,full,24,77,0.191,0.506,0.9
IF0000,H1,24,31,1.697,0.581,1.05
IF0000,H2,24,46,-0.824,0.457,0.46
IF0000,full,25,65,0.443,0.508,0.76
IF0000,H1,25,26,1.898,0.577,0.9
IF0000,H2,25,39,-0.527,0.462,0.39
IF0000,full,26,61,0.305,0.492,0.76
IF0000,H1,26,25,1.926,0.56,0.97
IF0000,H2,26,36,-0.821,0.444,0.36
IF0000,full,27,51,-0.041,0.49,0.37
IF0000,H1,27,21,1.499,0.524,0.25
IF0000,H2,27,30,-1.119,0.467,0.27
IF0000,full,28,46,0.434,0.478,0.34
IF0000,H1,28,21,1.499,0.524,0.25
IF0000,H2,28,25,-0.459,0.44,0.23
IF0000,full,29,33,0.638,0.485,0.34
IF0000,H1,29,13,2.196,0.615,0.34
IF0000,H2,29,20,-0.376,0.4,0.16
IF0000,full,30,27,1.736,0.519,0.38
IF0000,H1,30,12,2.857,0.667,0.42
IF0000,H2,30,15,0.84,0.4,0.13
IF0000,full,31,24,2.546,0.542,0.54
IF0000,H1,31,11,2.699,0.636,0.5
IF0000,H2,31,13,2.416,0.462,0.27
IF0000,full,32,23,2.677,0.565,0.52
IF0000,H1,32,10,3.017,0.7,0.47
IF0000,H2,32,13,2.416,0.462,0.27
IF0000,full,33,21,2.573,0.571,0.63
IF0000,H1,33,9,2.005,0.667,0.43
IF0000,H2,33,12,2.999,0.5,0.44
IF0000,full,34,18,2.78,0.556,0.7
IF0000,H1,34,8,1.672,0.625,0.2
IF0000,H2,34,10,3.667,0.5,0.67
IF0000,full,35,18,2.78,0.556,0.7
IF0000,H1,35,8,1.672,0.625,0.2
IF0000,H2,35,10,3.667,0.5,0.67
IF0000,full,36,17,2.373,0.529,0.43
IF0000,H1,36,7,0.523,0.571,-0.3
IF0000,H2,36,10,3.667,0.5,0.67
IF0000,full,37,13,5.371,0.615,1.46
IF0000,H1,37,5,3.301,0.6,0.86
IF0000,H2,37,8,6.664,0.625,1.05
IF0000,full,38,12,6.301,0.667,1.57
IF0000,H1,38,4,5.575,0.75,1.06
IF0000,H2,38,8,6.664,0.625,1.05
IF0000,full,39,10,7.069,0.7,1.4
IF0000,H1,39,4,5.575,0.75,1.06
IF0000,H2,39,6,8.064,0.667,0.85
IF0000,full,40,8,5.134,0.75,0.76
IF0000,H1,40,3,7.989,1.0,1.33
IF0000,H2,40,5,3.422,0.6,0.15
IH0000,full,0,1052,0.183,0.506,0.9
IH0000,H1,0,523,0.319,0.52,1.41
IH0000,H2,0,529,0.048,0.491,0.14
IH0000,full,1,995,0.125,0.504,0.53
IH0000,H1,1,496,0.198,0.518,0.73
IH0000,H2,1,499,0.052,0.489,0.14
IH0000,full,2,913,0.075,0.504,0.33
IH0000,H1,2,459,0.203,0.521,0.72
IH0000,H2,2,454,-0.053,0.487,-0.07
IH0000,full,3,829,0.2,0.51,0.74
IH0000,H1,3,412,0.236,0.522,0.71
IH0000,H2,3,417,0.164,0.499,0.42
IH0000,full,4,768,0.238,0.512,0.89
IH0000,H1,4,379,0.272,0.528,0.82
IH0000,H2,4,389,0.204,0.496,0.52
IH0000,full,5,682,0.034,0.504,0.29
IH0000,H1,5,330,-0.109,0.503,-0.24
IH0000,H2,5,352,0.168,0.506,0.47
IH0000,full,6,615,0.063,0.504,0.25
IH0000,H1,6,294,-0.134,0.5,-0.3
IH0000,H2,6,321,0.244,0.508,0.47
IH0000,full,7,570,0.068,0.504,0.24
IH0000,H1,7,274,-0.141,0.5,-0.36
IH0000,H2,7,296,0.26,0.507,0.46
IH0000,full,8,505,0.178,0.507,0.35
IH0000,H1,8,245,-0.173,0.494,-0.5
IH0000,H2,8,260,0.509,0.519,0.72
IH0000,full,9,455,0.064,0.499,0.02
