code,tod,hm,w,n,mean_bp,win_rev,t
IM0000,898,14:58,10,92,1.15,0.402,1.82
IM0000,898,14:58,15,98,0.931,0.388,1.66
IM0000,898,14:58,20,93,1.112,0.355,1.83
IM0000,898,14:58,30,96,0.899,0.375,1.38
IM0000,899,14:59,1,88,0.047,0.273,0.54
IM0000,899,14:59,2,82,-0.032,0.317,-0.4
IM0000,899,14:59,3,89,0.026,0.292,0.33
IM0000,899,14:59,5,90,0.043,0.3,0.53
IM0000,899,14:59,10,99,0.114,0.293,1.26
IM0000,899,14:59,15,97,0.12,0.289,1.31
IM0000,899,14:59,20,94,0.09,0.277,1.01
IM0000,899,14:59,30,100,0.108,0.27,1.31
