year,mode,kind,w,x,n,Sx,Sy,Sxx,Syy,Sxy,hit,nynz
2024,pred,tfi,5,5,6228543,16430650.0,-6338.600000000037,1587394338.0,9640729.420000095,7001621.899999941,2852962,5899038
2025,pred,tfi,5,5,6516295,21258198.0,6934.499999999964,3391217372.0,6694872.730000106,5682364.999999927,3047096,6145813
2026,pred,tfi,5,5,2392692,92101.0,1665.9000000000024,873601875.0,4663064.349999998,3028645.299999995,1136190,2293931
2022,pred,tfi,5,10,2528256,2826401.0,-8619.800000000034,117629257.0,7089158.720000064,1063763.3999999582,1079804,2452318
2023,pred,tfi,5,10,4638689,3336032.0,-4738.99999999995,179235644.0,6195350.960000078,1242224.4999999655,1877494,4444729
2024,pred,tfi,5,10,6226173,16422929.0,-11710.60000000004,1586613565.0,20639004.88000017,7542296.699999879,2864160,6015406
2025,pred,tfi,5,10,6513945,21249893.0,14901.699999999968,3390021769.0,13950449.770000136,4860270.099999884,3070138,6278075
2026,pred,tfi,5,10,2391832,91553.0,3565.299999999974,873314111.0,9718277.209999992,3775551.4999999986,1135288,2330084
2022,pred,tfi,5,20,2526056,2824507.0,-16930.90000000009,117535429.0,14167755.430000078,1088606.1999999594,1080288,2477142
2023,pred,tfi,5,20,4634349,3334518.0,-8014.7999999998,179099622.0,12435252.820000112,1320491.799999957,1887990,4510505
2024,pred,tfi,5,20,6221433,16409984.0,-20968.700000000055,1585539946.0,43160573.13000018,7884165.499999865,2858652,6083296
2025,pred,tfi,5,20,6509245,21236563.0,34077.5,3388111273.0,28388477.830000214,5412063.699999826,3081301,6356386
2026,pred,tfi,5,20,2390112,91390.0,7280.100000000013,872849226.0,19973376.44999998,3929393.1000000197,1130140,2349915
2022,pred,tfi,10,5,2528256,5634133.0,-4403.300000000022,266579941.0,3588245.4500000454,1039505.499999958,1137461,2407353
2023,pred,tfi,10,5,4638689,6646534.0,-2042.5999999999494,397552900.0,3104765.020000054,1228913.5999999656,2002369,4336614
2024,pred,tfi,10,5,6226173,32769810.0,-5545.800000000019,3624711798.0,9610801.100000106,7427764.399999875,2913367,5896695
2025,pred,tfi,10,5,6513945,42357843.0,7914.89999999995,7589089021.0,6670102.770000104,4769273.699999874,3074962,6143485
2026,pred,tfi,10,5,2391832,168742.0,1888.7999999999893,1846480786.0,4640414.439999997,3560890.900000003,1150867,2293080
2022,pred,tfi,10,10,2527156,5633046.0,-8499.200000000046,266514280.0,7070194.580000065,1122135.5999999368,1145353,2451233
2023,pred,tfi,10,10,4636519,6645276.0,-3834.8999999999232,397415448.0,6173906.670000074,1371463.6999999576,2038873,4442584
2024,pred,tfi,10,10,6223803,32755573.0,-10229.900000000038,3623214259.0,20572364.310000136,8053749.299999819,2926131,6013056
2025,pred,tfi,10,10,6511595,42342230.0,17089.39999999995,7586940934.0,13899880.940000158,4727826.099999803,3109146,6275756
2026,pred,tfi,10,10,2390972,167599.0,3733.8999999999596,1845962637.0,9667101.829999996,4170725.8000000473,1150929,2329229
2022,pred,tfi,10,20,2524956,5629585.0,-16391.40000000012,266319415.0,14135824.520000096,1200084.1999999338,1149234,2476056
2023,pred,tfi,10,20,4632179,6641302.0,-6687.799999999821,397113016.0,12398408.040000122,1584286.8999999291,2056939,4508356
2024,pred,tfi,10,20,6219063,32730485.0,-19800.60000000008,3620983135.0,43047303.2000002,8611903.799999794,2923557,6080937
2025,pred,tfi,10,20,6506895,42317873.0,36362.2999999999,7582946511.0,28293200.47000021,4298187.199999696,3122304,6354058
2026,pred,tfi,10,20,2389252,167071.0,6929.199999999988,1844971641.0,19880942.25999998,4165626.80000007,1149214,2349057
2022,pred,tfi,20,5,2526056,11215480.0,-3970.999999999999,623566114.0,3575900.8400000436,1050438.999999962,1170750,2405202
2023,pred,tfi,20,5,4634349,13228090.0,-1551.7999999999747,900890700.0,3089261.72000005,1288118.3999999564,2088124,4332377
2024,pred,tfi,20,5,6221433,65293075.0,-4854.499999999997,8493163015.0,9569843.590000125,7554355.399999869,2937111,5892054
2025,pred,tfi,20,5,6509245,84380463.0,9321.199999999935,17431030435.0,6633115.300000103,5032961.099999815,3093836,6138872
2026,pred,tfi,20,5,2390112,333089.0,1748.2999999999756,3863249519.0,4612618.23,3338717.4000000325,1153688,2291387
2022,pred,tfi,20,10,2524956,11212826.0,-7648.000000000014,623384242.0,7044946.980000068,1186217.999999936,1181544,2449069
2023,pred,tfi,20,10,4632179,13224372.0,-2921.199999999996,900534904.0,6140988.08000007,1577846.8999999287,2129560,4438329
2024,pred,tfi,20,10,6219063,65266695.0,-9851.200000000026,8490090625.0,20483025.640000183,8406134.499999793,2953722,6008359
2025,pred,tfi,20,10,6506895,84353823.0,18592.79999999991,17426421157.0,13826270.940000148,3815606.3999996963,3130685,6271105
2026,pred,tfi,20,10,2389252,331581.0,3073.8999999999432,3862377429.0,9603636.86999999,3755233.300000085,1156663,2327519
2022,pred,tfi,20,20,2522756,11206479.0,-14281.100000000064,623012109.0,14080088.55000009,1481596.4999999125,1184599,2473878
2023,pred,tfi,20,20,4627839,13214533.0,-6209.099999999857,899865437.0,12323609.69000011,1769812.9999998882,2147345,4504063
2024,pred,tfi,20,20,6214323,65215484.0,-20451.900000000125,8484997036.0,42865693.4900002,9514999.59999964,2954877,6076237
2025,pred,tfi,20,20,6502195,84310393.0,37175.49999999991,17415426621.0,28155903.050000217,3075521.099999579,3144372,6349393
2026,pred,tfi,20,20,2387532,334494.0,4783.399999999967,3860291632.0,19776430.379999973,3919964.3000001083,1158022,2347346
