product,thr_ticks,month,active_mins,pct_profitable,mean_ret_active,mean_daily_pnl
IC04,1,2023-01,3187,0.4995293379353624,2.426374804178237e-07,5.155237667277361e-05
IC04,1,2023-02,4443,0.48998424487958586,-8.711432021961639e-07,-0.0001935244623678778
IC04,1,2023-03,650,0.4876923076923077,-1.53606194940598e-05,-0.0033281342237129565
IC04,2,ALL,7758,0.49445733436452693,-9.85467886859167e-07,-0.00020119104911193206
IC04,2,2023-01,2942,0.5020394289598912,2.124328462028799e-06,0.0004166516223525818
IC04,2,2023-02,4204,0.4900095147478592,-1.0856535412468025e-06,-0.0002282043743700779
IC04,2,2023-03,612,0.48856209150326796,-1.5246644957746057e-05,-0.0031103155713801955
IC04,3,ALL,7313,0.4945986599206892,-1.0577418062498592e-07,-2.0355962708171632e-05
IC04,3,2023-01,2736,0.5003654970760234,2.792123033860592e-06,0.000509283241376172
IC04,3,2023-02,3999,0.4903725931482871,-7.178597200888035e-07,-0.00014353605103175626
IC04,3,2023-03,578,0.49653979238754326,-9.588329036190272e-06,-0.0018473513943059923
IC04,5,ALL,6196,0.49435119431891544,-1.673444168307799e-06,-0.00027285947544302953
IC04,5,2023-01,2236,0.4991055456171735,-1.6253838450303783e-06,-0.0002422905518325284
IC04,5,2023-02,3468,0.48961937716262977,-1.706370032344646e-06,-0.0002958845636085616
IC04,5,2023-03,492,0.5060975609756098,-1.6597774739348865e-06,-0.00027220350572532137
IC04,8,ALL,4959,0.49586610203670095,-1.1424555796806198e-06,-0.0001490904531483209
IC04,8,2023-01,1700,0.5011764705882353,-1.5394949626171763e-06,-0.00017447609576327997
IC04,8,2023-02,2875,0.488,-3.644888859521445e-06,-0.0005239527735562078
IC04,8,2023-03,384,0.53125,1.9350936687336357e-05,0.0024769198959790537
IC04,10,ALL,4061,0.49593696133957155,-3.3095403489343846e-06,-0.000353685351500593
IC04,10,2023-01,1303,0.5057559478127398,5.838916941598217e-07,5.072072516601652e-05
IC04,10,2023-02,2446,0.4893704006541292,-6.56352245199676e-06,-0.0008027187958792037
IC04,10,2023-03,312,0.5064102564102564,5.940774625228496e-06,0.0006178405610237636
IC04,15,ALL,2559,0.4978507229386479,-4.8574231512483626e-08,-3.2710910115906738e-06
IC04,15,2023-01,742,0.477088948787062,-1.973797827199177e-05,-0.0009763719918545262
IC04,15,2023-02,1625,0.5076923076923077,9.405868462951097e-06,0.0007642268126147767
IC04,15,2023-03,192,0.4947916666666667,-3.975301213115026e-06,-0.0002544192776393617
IC04,20,ALL,1515,0.49306930693069306,-1.2201077049693454e-05,-0.0004864376771127785
IC04,20,2023-01,382,0.48429319371727747,-1.2135973504229323e-05,-0.00030906279190770676
IC04,20,2023-02,1030,0.5058252427184466,-5.997809794257844e-06,-0.00030888720440427897
IC04,20,2023-03,103,0.39805825242718446,-7.447520158819809e-05,-0.002556981921194801
IC1000,1,ALL,8251,0.5038177190643558,5.595659432796992e-06,0.001214994367894947
IC1000,1,2023-01,3202,0.5049968769519051,5.591616911838445e-06,0.0011936238234471134
IC1000,1,2023-02,4409,0.5057836244046269,8.964164246869707e-06,0.001976150008222427
IC1000,1,2023-03,640,0.484375,-1.7589955525230094e-05,-0.0037525238453824197
IC1000,2,ALL,7738,0.5032308089945723,6.281050520944196e-06,0.0012790202350280576
IC1000,2,2023-01,2955,0.5065989847715736,7.656989762912248e-06,0.001508426983293713
IC1000,2,2023-02,4181,0.5034680698397512,7.78520812679478e-06,0.0016274977589064489
IC1000,2,2023-03,602,0.4850498338870432,-1.0919586372871232e-05,-0.0021911969988228273
IC1000,3,ALL,7287,0.5022643062988884,6.5776670641371606e-06,0.0012613542077991445
IC1000,3,2023-01,2753,0.5074464220849982,8.758891030092406e-06,0.001607548467056293
IC1000,3,2023-02,3973,0.5013843443241883,7.345160656804738e-06,0.0014591161644742611
IC1000,3,2023-03,561,0.483065953654189,-9.561658465173136e-06,-0.0017880301329873765
IC1000,5,ALL,6143,0.50463942699007,8.062441181460754e-06,0.0013033572678345636
IC1000,5,2023-01,2230,0.5040358744394619,2.9759386482741826e-06,0.00044242287904342853
IC1000,5,2023-02,3447,0.5062373078038874,1.236755314485931e-05,0.0021315477845165022
IC1000,5,2023-03,466,0.4957081545064378,5.585349822573995e-07,8.675910057731606e-05
IC1000,8,ALL,4931,0.5033461772459947,6.335279746531358e-06,0.0008220859060564771
IC1000,8,2023-01,1700,0.5064705882352941,4.45555943183374e-06,0.0005049634022744905
IC1000,8,2023-02,2842,0.5014074595355383,5.778709581730375e-06,0.0008211546315638862
IC1000,8,2023-03,389,0.5038560411311054,1.8616248752573386e-05,0.0024139069215836826
IC1000,10,ALL,4024,0.507455268389662,1.0842521339923242e-05,0.0011481659439960823
IC1000,10,2023-01,1299,0.5050038491147036,2.5214975970147045e-06,0.0002183616919014734
IC1000,10,2023-02,2414,0.5070422535211268,1.2922953205410851e-05,0.0015598004518930896
IC1000,10,2023-03,311,0.5209003215434084,2.944974744523226e-05,0.003052957151822411
IC1000,15,ALL,2514,0.5051710421638823,1.178456952428322e-05,0.0007796423101065267
IC1000,15,2023-01,727,0.48005502063273725,-1.1705486419939879e-05,-0.0005673259084864195
IC1000,15,2023-02,1599,0.5190744215134458,2.3962685926099067e-05,0.0019158167397916204
IC1000,15,2023-03,188,0.48404255319148937,-9.576509813196888e-07,-6.0012794829367166e-05
IC1000,20,ALL,1451,0.5058580289455548,6.655900508224831e-06,0.00025415030624826923
IC1000,20,2023-01,366,0.4808743169398907,-8.306172951899433e-06,-0.00020267062002634617
IC1000,20,2023-02,985,0.5187817258883248,1.4410770061807954e-05,0.0007097304255440417
IC1000,20,2023-03,100,0.47,-1.4968375730514128e-05,-0.0004989458576838043
IC2301,1,ALL,2782,0.5017972681524083,-1.6850743759078727e-06,-0.0003606059164442847
IC2301,1,2023-01,2782,0.5017972681524083,-1.6850743759078727e-06,-0.0003606059164442847
IC2301,2,ALL,2574,0.5007770007770008,-4.224293049601645e-06,-0.0008364100238211256
IC2301,2,2023-01,2574,0.5007770007770008,-4.224293049601645e-06,-0.0008364100238211256
IC2301,3,ALL,2398,0.49958298582151794,-3.917636905136291e-06,-0.0007226533306551405
IC2301,3,2023-01,2398,0.49958298582151794,-3.917636905136291e-06,-0.0007226533306551405
IC2301,5,ALL,1944,0.49691358024691357,-5.215917794815742e-06,-0.000779980322547831
IC2301,5,2023-01,1944,0.49691358024691357,-5.215917794815742e-06,-0.000779980322547831
IC2301,8,ALL,1431,0.4968553459119497,-6.554358706294174e-06,-0.0007214836391313048
IC2301,8,2023-01,1431,0.4968553459119497,-6.554358706294174e-06,-0.0007214836391313048
IC2301,10,ALL,1099,0.49772520473157417,-8.080284975015517e-06,-0.0006830948605801579
IC2301,10,2023-01,1099,0.49772520473157417,-8.080284975015517e-06,-0.0006830948605801579
IC2301,15,ALL,624,0.4791666666666667,-2.1324249338523747e-05,-0.0010235639682491398
IC2301,15,2023-01,624,0.4791666666666667,-2.1324249338523747e-05,-0.0010235639682491398
IC2301,20,ALL,309,0.4401294498381877,-6.36977955535302e-05,-0.0015140476020031408
IC2301,20,2023-01,309,0.4401294498381877,-6.36977955535302e-05,-0.0015140476020031408
IC2302,1,ALL,6086,0.5,5.525059472168107e-06,0.0012009111409862533
IC2302,1,2023-01,3228,0.4950433705080545,1.4006211142649876e-06,0.00030141366378982535
IC2302,1,2023-02,2858,0.5055983205038489,1.0183452411045386e-05,0.0022387928454436702
IC2302,2,ALL,5662,0.5005298481102084,4.633533002506756e-06,0.0009369665664354733
