product,thr_ticks,month,bucket,active,hit_rate,mean_ret,total
IC0000,5,2023-01,13:30,289,0.45674740484429066,-2.272257975203762e-05,-0.006566825548338873
IC0000,5,2023-01,14:00,271,0.5202952029520295,1.3118381315559439e-05,0.003555081336516608
IC0000,5,2023-01,14:30,256,0.4375,-2.938263536261202e-05,-0.007521954652828677
IC0000,5,2023-02,09:30,464,0.5301724137931034,9.097628896008912e-05,0.042212998077481356
IC0000,5,2023-02,10:00,446,0.5,2.1693815341687794e-06,0.0009675441642392757
IC0000,5,2023-02,10:30,453,0.4966887417218543,-2.1822687742703125e-05,-0.009885677547444516
IC0000,5,2023-02,11:00,429,0.5081585081585082,3.81850751449899e-06,0.0016381397237200668
IC0000,5,2023-02,13:00,401,0.5112219451371571,1.939274521322893e-05,0.007776490830504801
IC0000,5,2023-02,13:30,453,0.45695364238410596,-3.743201087378469e-05,-0.016956700925824464
IC0000,5,2023-02,14:00,443,0.49435665914221216,-2.877134666921157e-06,-0.0012745706574460725
IC0000,5,2023-02,14:30,389,0.4755784061696658,-1.7143730449510744e-05,-0.006668911144859679
IC0000,5,2023-03,09:30,65,0.5230769230769231,3.5051807751977746e-05,0.0022783675038785534
IC0000,5,2023-03,10:00,68,0.5147058823529411,2.721176176788164e-05,0.0018503998002159516
IC0000,5,2023-03,10:30,61,0.6065573770491803,7.720689600325608e-05,0.004709620656198621
IC0000,5,2023-03,11:00,59,0.4915254237288136,-5.2391438017259027e-05,-0.0030910948430182827
IC0000,5,2023-03,13:00,55,0.5636363636363636,1.3605232516597257e-05,0.0007482877884128492
IC0000,5,2023-03,13:30,63,0.42857142857142855,-6.1077334544201194e-06,-0.0003847872076284675
IC0000,5,2023-03,14:00,49,0.32653061224489793,-0.00012735484602483538,-0.006240387455216934
IC0000,5,2023-03,14:30,53,0.49056603773584906,-8.878251845881051e-07,-4.705473478316957e-05
IC0000,8,ALL,09:30,732,0.5191256830601093,6.732847333718949e-05,0.04928444248282271
IC0000,8,ALL,10:00,666,0.5165165165165165,3.801564858074035e-05,0.025318421954773074
IC0000,8,ALL,10:30,636,0.5,-1.109205950928667e-05,-0.007054549847906322
IC0000,8,ALL,11:00,625,0.4992,-8.79422932521834e-06,-0.005496393328261462
IC0000,8,ALL,13:00,608,0.48848684210526316,-3.854321113613542e-06,-0.0023434272370770337
IC0000,8,ALL,13:30,635,0.45511811023622045,-3.603044113523544e-05,-0.022879330120874508
IC0000,8,ALL,14:00,617,0.4878444084278768,-8.336867697538276e-06,-0.005143847369381116
IC0000,8,ALL,14:30,510,0.4549019607843137,-1.7412742417656203e-05,-0.008880498633004663
IC0000,8,2023-01,09:30,262,0.5,3.772822696067779e-05,0.009884795463697582
IC0000,8,2023-01,10:00,226,0.5398230088495575,9.160698280069847e-05,0.020703178112957854
IC0000,8,2023-01,10:30,212,0.4811320754716981,-2.7128985122538003e-05,-0.005751344845978057
IC0000,8,2023-01,11:00,216,0.5046296296296297,1.1337212923053312e-05,0.0024488379913795155
IC0000,8,2023-01,13:00,220,0.4590909090909091,-2.4031997998468325e-05,-0.0052870395596630315
IC0000,8,2023-01,13:30,211,0.44075829383886256,-3.77207785381596e-05,-0.007959084271551675
IC0000,8,2023-01,14:00,210,0.5047619047619047,5.869501643591362e-07,0.0001232595345154186
IC0000,8,2023-01,14:30,181,0.430939226519337,-3.1798636084631876e-05,-0.005755553131318369
IC0000,8,2023-02,09:30,416,0.5288461538461539,9.169172604766889e-05,0.038143758035830255
IC0000,8,2023-02,10:00,378,0.5052910052910053,1.0214549054398813e-05,0.0038610995425627515
IC0000,8,2023-02,10:30,372,0.49193548387096775,-2.0323439829452835e-05,-0.007560319616556455
IC0000,8,2023-02,11:00,357,0.4957983193277311,-1.588823725687055e-05,-0.005672100700702787
IC0000,8,2023-02,13:00,340,0.5029411764705882,9.091050531648434e-06,0.0030909571807604674
IC0000,8,2023-02,13:30,376,0.4654255319148936,-3.7646134978274345e-05,-0.014154946751831154
IC0000,8,2023-02,14:00,371,0.49595687331536387,-2.1545698864461533e-06,-0.0007993454278715229
IC0000,8,2023-02,14:30,298,0.47315436241610737,-9.2788738929248e-06,-0.002765104420091591
IC0000,8,2023-03,09:30,54,0.5370370370370371,2.3257203394349497e-05,0.0012558889832948728
IC0000,8,2023-03,10:00,62,0.5,1.216361772987852e-05,0.0007541442992524683
IC0000,8,2023-03,10:30,52,0.6346153846153846,0.00012032912720438826,0.00625711461462819
IC0000,8,2023-03,11:00,52,0.5,-4.371405036419597e-05,-0.0022731306189381906
IC0000,8,2023-03,13:00,48,0.5208333333333334,-3.0696845453014507e-06,-0.00014734485817446963
IC0000,8,2023-03,13:30,48,0.4375,-1.59437311977433e-05,-0.0007652990974916785
IC0000,8,2023-03,14:00,36,0.3055555555555556,-0.0001241044854451392,-0.004467761476025012
IC0000,8,2023-03,14:30,31,0.41935483870967744,-1.1607776825635576e-05,-0.00035984108159470285
IC0000,10,ALL,09:30,639,0.5179968701095462,6.975997189497126e-05,0.04457662204088664
IC0000,10,ALL,10:00,569,0.5026362038664324,1.9267806629663105e-05,0.010963381972278308
IC0000,10,ALL,10:30,535,0.4953271028037383,-1.7943335553271893e-05,-0.009599684521000462
IC0000,10,ALL,11:00,503,0.4970178926441352,-1.3474569990518623e-05,-0.006777708705230867
IC0000,10,ALL,13:00,494,0.5,2.2459907677030567e-06,0.00110951943924531
IC0000,10,ALL,13:30,512,0.462890625,-3.748574747677175e-05,-0.019192702708107134
IC0000,10,ALL,14:00,492,0.49796747967479676,6.992808862134156e-06,0.003440461960170005
IC0000,10,ALL,14:30,396,0.45454545454545453,-2.2730915574133332e-05,-0.009001442567356799
IC0000,10,2023-01,09:30,218,0.5,5.372115366963762e-05,0.011711211499981
IC0000,10,2023-01,10:00,190,0.5421052631578948,7.993637685946677e-05,0.015187911603298687
IC0000,10,2023-01,10:30,170,0.4588235294117647,-4.3872358508015785e-05,-0.007458300946362684
IC0000,10,2023-01,11:00,167,0.5029940119760479,5.245877890663388e-07,8.760616077407857e-05
IC0000,10,2023-01,13:00,173,0.47398843930635837,-2.481456134793234e-05,-0.004292919113192295
IC0000,10,2023-01,13:30,160,0.44375,-5.075823334246832e-05,-0.00812131733479493
IC0000,10,2023-01,14:00,156,0.5192307692307693,7.122749820452599e-07,0.00011111489719906054
IC0000,10,2023-01,14:30,137,0.43795620437956206,-4.6481007323789264e-05,-0.006367898003359129
IC0000,10,2023-02,09:30,376,0.526595744680851,8.45692273788032e-05,0.03179802949443
IC0000,10,2023-02,10:00,327,0.47706422018348627,-1.9147879572041796e-05,-0.006261356620057668
IC0000,10,2023-02,10:30,318,0.4937106918238994,-2.3586213676846278e-05,-0.007500415949237116
IC0000,10,2023-02,11:00,297,0.494949494949495,-1.6302146318956602e-05,-0.004841737456730111
IC0000,10,2023-02,13:00,285,0.5157894736842106,2.5352493465120546e-05,0.0072254606375593555
IC0000,10,2023-02,13:30,318,0.46855345911949686,-3.6803962430802066e-05,-0.011703660052995057
IC0000,10,2023-02,14:00,305,0.5049180327868853,2.1400038174658897e-05,0.0065270116432709635
IC0000,10,2023-02,14:30,235,0.46382978723404256,-1.4479862624807148e-05,-0.00340276771682968
