code,year,n,k_ticks,k_pts,s_sum,s_ss,s_n,hits
IH0000,2018,20,20,4.0,936.8499999999417,31175.102500000085,10220,4884
IH0000,2018,20,30,6.0,575.1000000000163,9026.710000000046,1330,572
IH0000,2018,30,0,0.0,48325.09999998819,1904749.3800000146,3954063,1787317
IH0000,2018,30,2,0.4,40979.04999997569,1513731.1325000112,2773217,1302134
IH0000,2018,30,4,0.8,27411.599999984126,1112967.1900000067,1787917,844486
IH0000,2018,30,6,1.2,15978.199999989174,776571.3100000033,1061929,505053
IH0000,2018,30,8,1.6,9876.349999992368,539393.1125000031,632576,301758
IH0000,2018,30,13,2.6,4788.449999997845,212198.1425000009,168932,80336
IH0000,2018,30,20,4.0,1953.3499999997812,63110.7725000003,29266,13771
IH0000,2018,30,30,6.0,1102.6999999999744,17868.330000000038,4120,1772
IH0000,2019,1,0,0.0,-102282.35000001894,1267824.0475000113,4918524,1718840
IH0000,2019,1,2,0.4,-70207.60000001993,291438.14000000485,506558,293471
IH0000,2019,1,4,0.8,-17975.500000001557,53628.850000001155,52892,35035
IH0000,2019,1,6,1.2,-4530.100000000231,13532.84500000029,7470,5448
IH0000,2019,1,8,1.6,-1641.7000000000507,5464.065000000121,1865,1441
IH0000,2019,1,13,2.6,-312.95000000000164,1365.1025000000188,216,172
IH0000,2019,1,20,4.0,-101.55000000000291,425.0825000000139,42,36
IH0000,2019,1,30,6.0,-15.700000000000273,98.09000000000393,3,3
IH0000,2019,2,0,0.0,-36424.05000002393,1376661.587500014,4918036,1840339
IH0000,2019,2,2,0.4,-45175.70000002386,393966.31000000384,709489,378245
IH0000,2019,2,4,0.8,-16979.55000000279,87467.41750000099,99018,58401
IH0000,2019,2,6,1.2,-5052.80000000042,21606.195000000345,14831,9589
IH0000,2019,2,8,1.6,-1741.0000000000923,8085.45500000011,3345,2276
IH0000,2019,2,13,2.6,-377.850000000004,1801.332500000017,317,239
IH0000,2019,2,20,4.0,-125.95000000000482,654.7625000000235,49,41
IH0000,2019,2,30,6.0,-36.600000000000364,216.92000000000212,7,7
IH0000,2019,3,0,0.0,-16950.75000002478,1442242.4775000135,4917548,1940854
IH0000,2019,3,2,0.4,-31897.750000029737,499362.9625000047,944516,484854
IH0000,2019,3,4,0.8,-16293.300000004634,136622.78000000166,166886,92808
IH0000,2019,3,6,1.2,-6129.45000000085,37645.46750000043,29616,17917
