code,year,t1,t2,r,x,n_peak,g_sum,g_ss,rhits
IC0000,2025,10,60,1.5,20,921132,-7055.5000000055,3465368.475000025,442930
IC0000,2025,10,60,2.0,20,302464,-8397.000000001903,1080526.1200000094,147095
IC0000,2025,10,60,3.0,20,29536,-1250.7000000002809,97269.22500000065,14481
IC0000,2025,10,60,5.0,20,34,32.100000000000364,171.89000000002176,14
IC0000,2025,20,120,1.5,20,747795,-8741.550000003634,2677215.622500024,361692
IC0000,2025,20,120,2.0,20,193277,-7633.6500000008355,665909.8475000067,94689
IC0000,2025,20,120,3.0,20,11031,353.49999999995816,41177.54500000018,5246
IC0000,2026,10,60,1.5,20,371327,8429.000000001903,3296372.974999992,179837
IC0000,2026,10,60,2.0,20,109945,4095.95000000028,894303.3874999987,52877
IC0000,2026,10,60,3.0,20,10044,-739.1500000000196,71806.24249999989,4913
IC0000,2026,10,60,5.0,20,8,-16.799999999999272,52.879999999999676,8
IC0000,2026,20,120,1.5,20,306567,8679.25000000059,2641165.3024999914,148331
IC0000,2026,20,120,2.0,20,74114,-277.14999999977135,608931.2825000014,35967
IC0000,2026,20,120,3.0,20,4258,-1402.0999999999976,34344.810000000034,2230
IF0000,2015,10,60,1.5,20,758426,36778.44999999638,8016390.668750017,371528
IF0000,2015,10,60,2.0,20,221841,9630.749999998785,2527207.4275000053,111147
IF0000,2015,10,60,3.0,20,13444,389.5999999999394,166479.3400000008,6920
IF0000,2015,10,60,5.0,20,76,-12.849999999999909,253.70249999999308,43
IF0000,2015,20,120,1.5,20,701886,43344.2749999975,7717254.350625013,348292
IF0000,2015,20,120,2.0,20,208291,4183.224999999082,2490476.226875004,106483
IF0000,2015,20,120,3.0,20,12227,-45.35000000009359,172868.75500000024,6425
IF0000,2015,20,120,5.0,20,2,-4.400000000000091,9.680000000000401,2
IF0000,2016,10,60,1.5,20,378583,15859.649999998246,1397217.4387500016,177416
IF0000,2016,10,60,2.0,20,81189,-4821.200000000354,859993.5312499997,41050
IF0000,2016,10,60,3.0,20,6464,-4058.8750000000086,715082.9681250006,3787
IF0000,2016,10,60,5.0,20,29,-2316.999999999999,691373.9349999998,16
IF0000,2016,20,120,1.5,20,260696,-4880.900000000918,1330619.9762500012,129639
IF0000,2016,20,120,2.0,20,50679,-9737.350000000075,916754.5037500005,27566
IF0000,2016,20,120,3.0,20,4155,-3952.0499999999756,791466.6775,2377
IF0000,2016,20,120,5.0,20,20,-3128.199999999999,761671.7949999997,19
IF0000,2017,10,60,1.5,20,395235,14978.299999998404,308514.4350000014,178367
IF0000,2017,10,60,2.0,20,80889,960.699999999696,72191.9900000005,38258
IF0000,2017,10,60,3.0,20,3414,-575.6500000000055,5902.84750000001,1862
IF0000,2017,10,60,5.0,20,10,-1.499999999998181,1.169999999999509,6
IF0000,2017,20,120,1.5,20,261846,3913.749999999553,230233.28250000114,123656
IF0000,2017,20,120,2.0,20,38195,-916.450000000033,44852.88750000031,18867
IF0000,2017,20,120,3.0,20,1201,-126.10000000000446,2200.934999999978,628
IF0000,2018,10,60,1.5,20,575357,32967.34999999668,951696.5225000036,269766
IF0000,2018,10,60,2.0,20,137214,8114.849999999064,246924.65750000105,66151
IF0000,2018,10,60,3.0,20,6801,652.9499999999612,13815.922499999993,3265
IF0000,2018,10,60,5.0,20,34,-3.199999999997999,54.900000000000375,16
IF0000,2018,20,120,1.5,20,444508,19963.849999997998,799572.0225000036,212895
IF0000,2018,20,120,2.0,20,86982,5630.799999999699,176064.95500000066,41850
IF0000,2018,20,120,3.0,20,3327,1347.899999999995,8717.870000000066,1300
IF0000,2019,10,60,1.5,20,824352,24968.599999996884,1041150.2750000036,385245
IF0000,2019,10,60,2.0,20,240813,4300.249999999087,324222.9425000007,116422
IF0000,2019,10,60,3.0,20,18294,946.149999999961,27637.75250000004,8950
IF0000,2019,10,60,5.0,20,13,-5.299999999999727,6.809999999999527,9
IF0000,2019,20,120,1.5,20,717730,14415.549999998198,996067.4125000025,343665
IF0000,2019,20,120,2.0,20,192650,4236.249999999483,316652.88250000094,93815
IF0000,2019,20,120,3.0,20,12040,947.4500000000166,24252.282500000107,5741
IF0000,2020,10,60,1.5,20,864101,42719.024999995185,1682516.9431250156,406045
IF0000,2020,10,60,2.0,20,257763,12141.074999999013,503306.71062500554,123316
IF0000,2020,10,60,3.0,20,20866,568.9999999998595,38390.26000000064,10162
IF0000,2020,10,60,5.0,20,3,9.094947017729282e-13,3.9199999999986908,1
IF0000,2020,20,120,1.5,20,736503,17796.37499999638,1449781.7056250134,352942
IF0000,2020,20,120,2.0,20,191743,4449.5749999987975,394483.66562500276,93338
IF0000,2020,20,120,3.0,20,10795,725.0499999999242,26154.522500000283,5185
IF0000,2021,10,60,1.5,20,864971,30947.77499999455,1954472.6281250194,408195
IF0000,2021,10,60,2.0,20,282953,7816.524999998161,651131.5306250065,135772
IF0000,2021,10,60,3.0,20,29732,121.3250000000553,71962.4006250007,14629
IF0000,2021,10,60,5.0,20,14,6.299999999999272,10.20999999999207,3
IF0000,2021,20,120,1.5,20,716615,22296.174999996314,1644423.2381250141,341736
IF0000,2021,20,120,2.0,20,202503,1124.774999999262,490144.75812500366,98724
IF0000,2021,20,120,3.0,20,15744,-335.3000000000102,42708.97000000031,7959
IF0000,2022,10,60,1.5,20,895648,29429.749999995176,1451506.5325000118,414664
IF0000,2022,10,60,2.0,20,306217,9695.299999998846,488796.55500000477,142885
IF0000,2022,10,60,3.0,20,33549,-56.95000000011032,51497.40250000064,16168
IF0000,2022,10,60,5.0,20,72,-11.500000000003638,82.83000000001333,40
IF0000,2022,20,120,1.5,20,745842,16432.299999996845,1215712.0300000105,349457
IF0000,2022,20,120,2.0,20,209760,3599.849999999148,342052.2375000028,98955
IF0000,2022,20,120,3.0,20,13980,492.2000000000512,26772.380000000252,6679
IF0000,2022,20,120,5.0,20,16,-19.399999999999636,56.95999999999934,11
IF0000,2023,10,60,1.5,20,784134,16452.749999995896,549819.0925000047,349639
IF0000,2023,10,60,2.0,20,288257,4941.64999999875,202769.32250000193,130491
IF0000,2023,10,60,3.0,20,37756,296.049999999836,26752.56250000035,17508
IF0000,2023,10,60,5.0,20,141,15.900000000000091,52.29000000001103,51
IF0000,2023,20,120,1.5,20,648351,8392.449999997807,452449.1525000043,294996
IF0000,2023,20,120,2.0,20,190800,1904.6999999994614,137184.29000000097,88194
IF0000,2023,20,120,3.0,20,14952,-173.5000000001014,11702.45000000008,6997
IF0000,2023,20,120,5.0,20,8,3.4999999999995453,1.9899999999992,0
IF0000,2024,10,60,1.5,20,839714,31319.19999999616,1150071.7900000047,375577
IF0000,2024,10,60,2.0,20,278130,8508.749999998867,326489.79750000127,125846
IF0000,2024,10,60,3.0,20,30013,499.9999999998304,30696.00000000009,13874
IF0000,2024,10,60,5.0,20,66,-36.79999999999836,104.69999999999055,49
IF0000,2024,20,120,1.5,20,687215,22273.349999997758,947317.1525000028,310822
IF0000,2024,20,120,2.0,20,180340,4602.049999999465,211820.61750000092,83065
IF0000,2024,20,120,3.0,20,12353,-188.2500000000805,13713.142499999944,5979
IF0000,2024,20,120,5.0,20,38,-8.40000000000191,119.0199999999935,16
IF0000,2025,10,60,1.5,20,858064,11930.499999995367,806456.2700000082,385318
IF0000,2025,10,60,2.0,20,265651,2975.4999999990523,243030.79000000207,120765
IF0000,2025,10,60,3.0,20,24038,416.0000000000314,21208.62000000039,11015
IF0000,2025,10,60,5.0,20,25,16.400000000000546,21.52000000000651,3
IF0000,2025,20,120,1.5,20,699024,4349.649999996675,632304.9825000064,317754
IF0000,2025,20,120,2.0,20,172676,-400.30000000043856,156183.5100000019,79266
IF0000,2025,20,120,3.0,20,10217,-209.30000000002838,9858.330000000245,4853
IF0000,2026,10,60,1.5,20,355221,7972.499999997181,465740.1950000053,162353
IF0000,2026,10,60,2.0,20,103581,2196.0499999992317,131241.16250000196,47687
IF0000,2026,10,60,3.0,20,8240,450.5999999999349,9657.180000000337,3753
IF0000,2026,20,120,1.5,20,281393,2113.5499999985977,364481.5925000056,130885
IF0000,2026,20,120,2.0,20,63654,120.24999999972351,81310.82250000093,29745
IF0000,2026,20,120,3.0,20,2902,94.70000000001346,3817.9100000000985,1322
IH0000,2015,10,60,1.5,20,475428,17559.724999998332,2798352.7193750087,231352
IH0000,2015,10,60,2.0,20,131880,2988.374999999619,821519.0356250014,65501
IH0000,2015,10,60,3.0,20,7761,-590.6000000000379,46860.04499999989,4009
IH0000,2015,10,60,5.0,20,202,46.69999999999527,416.86999999998443,76
IH0000,2015,20,120,1.5,20,407606,21882.299999998864,2590909.717500005,200897
IH0000,2015,20,120,2.0,20,100780,5603.04999999975,691497.148750001,50632
IH0000,2015,20,120,3.0,20,4533,-801.7999999999884,34049.11000000002,2488
IH0000,2015,20,120,5.0,20,27,-26.700000000000273,105.97000000000506,17
IH0000,2016,10,60,1.5,20,332456,4493.5499999988215,309668.1387500006,152628
IH0000,2016,10,60,2.0,20,94057,-1325.8500000004076,89879.45625000056,44582
IH0000,2016,10,60,3.0,20,8301,-962.8500000000777,8754.43250000007,4218
IH0000,2016,10,60,5.0,20,237,-12.400000000008276,132.21999999999818,99
IH0000,2016,20,120,1.5,20,232957,2893.849999999427,234980.70875000095,109776
IH0000,2016,20,120,2.0,20,45095,-1590.7750000001454,50908.598125000186,22413
IH0000,2016,20,120,3.0,20,2295,-439.35000000001537,2811.2424999999926,1232
IH0000,2017,10,60,1.5,20,354685,7084.299999998115,193154.6750000012,156929
IH0000,2017,10,60,2.0,20,83491,599.2499999995116,48631.59250000037,37873
IH0000,2017,10,60,3.0,20,4362,-145.0500000000352,3474.422500000027,2119
IH0000,2017,10,60,5.0,20,68,-12.200000000001637,12.180000000001128,37
IH0000,2017,20,120,1.5,20,236678,2736.999999998779,142115.87500000052,108228
IH0000,2017,20,120,2.0,20,35242,-602.2500000002688,24779.2825,16872
IH0000,2017,20,120,3.0,20,786,-144.0000000000182,1150.719999999964,435
IH0000,2018,10,60,1.5,20,552654,21846.949999997218,578905.8575000028,256086
IH0000,2018,10,60,2.0,20,149528,6092.59999999922,164661.5750000011,70702
IH0000,2018,10,60,3.0,20,8669,185.54999999997108,10189.02250000006,4253
IH0000,2018,20,120,1.5,20,414439,15770.649999998564,467898.05750000296,193982
IH0000,2018,20,120,2.0,20,83358,3190.799999999786,102729.51500000057,39626
IH0000,2018,20,120,3.0,20,2338,-14.200000000013915,3232.960000000013,1177
IH0000,2019,10,60,1.5,20,712195,15858.74999999677,524860.3125000027,325954
