code,rank,q,mpb,n_total,cum1,cum5,cum10,cum20
IC0000,1259718,0.03450864968024551,-4.0,36504413,-1.036637e+06,-1.121912e+06,-1.1309335e+06,-1.0708215e+06
IC0000,1268846,0.03475870163971682,-4.0,36504413,-1.041817e+06,-1.1276035e+06,-1.136385e+06,-1.076858e+06
IC0000,1277974,0.03500875359918813,-4.0,36504413,-1.047112e+06,-1.135233e+06,-1.1431075e+06,-1.082713e+06
IC0000,1287103,0.03525883295260768,-4.0,36504413,-1.0500305e+06,-1.1384555e+06,-1.146226e+06,-1.0848445e+06
IC0000,1296231,0.035508884912078986,-4.0,36504413,-1.053555e+06,-1.14178e+06,-1.1491955e+06,-1.087542e+06
IC0000,1305360,0.03575896426549853,-4.0,36504413,-1.058813e+06,-1.1497045e+06,-1.1580905e+06,-1.0976075e+06
IC0000,1314488,0.03600901622496984,-4.0,36504413,-1.063574e+06,-1.15534e+06,-1.163064e+06,-1.1029415e+06
IC0000,1323616,0.036259068184441155,-4.0,36504413,-1.0683175e+06,-1.1628815e+06,-1.170841e+06,-1.109696e+06
IC0000,1332745,0.0365091475378607,-4.0,36504413,-1.0756835e+06,-1.172538e+06,-1.1803835e+06,-1.1196095e+06
IC0000,1341873,0.03675919949733201,-4.0,36504413,-1.081635e+06,-1.178328e+06,-1.186281e+06,-1.1245385e+06
IC0000,1351001,0.03700925145680332,-4.0,36504413,-1.0900285e+06,-1.18673e+06,-1.19482e+06,-1.132209e+06
IC0000,1360130,0.03725933081022286,-4.0,36504413,-1.0991925e+06,-1.196008e+06,-1.205412e+06,-1.1425855e+06
IC0000,1369258,0.03750938276969417,-3.95,36504413,-1.110544e+06,-1.2084545e+06,-1.217645e+06,-1.155988e+06
IC0000,1378387,0.03775946212311372,-3.9,36504413,-1.1225585e+06,-1.2217285e+06,-1.231828e+06,-1.170751e+06
IC0000,1387515,0.03800951408258503,-3.8333333,36504413,-1.136559e+06,-1.236336e+06,-1.247669e+06,-1.1867665e+06
IC0000,1396643,0.03825956604205634,-3.75,36504413,-1.1478815e+06,-1.249017e+06,-1.262913e+06,-1.2002485e+06
IC0000,1405772,0.03850964539547588,-3.75,36504413,-1.154064e+06,-1.25579e+06,-1.2690495e+06,-1.2075025e+06
IC0000,1414900,0.03875969735494719,-3.75,36504413,-1.16168e+06,-1.265069e+06,-1.278334e+06,-1.216639e+06
IC0000,1424029,0.039009776708366736,-3.75,36504413,-1.167286e+06,-1.2712735e+06,-1.284852e+06,-1.2231475e+06
IC0000,1433157,0.03925982866783805,-3.75,36504413,-1.172052e+06,-1.276982e+06,-1.2909865e+06,-1.2291665e+06
IC0000,1442285,0.03950988062730936,-3.75,36504413,-1.1766e+06,-1.28273e+06,-1.296616e+06,-1.234233e+06
IC0000,1451414,0.039759959980728905,-3.75,36504413,-1.180385e+06,-1.2876165e+06,-1.30182e+06,-1.238859e+06
IC0000,1460542,0.040010011940200214,-3.75,36504413,-1.185207e+06,-1.291696e+06,-1.3061515e+06,-1.2431995e+06
IC0000,1469671,0.04026009129361976,-3.75,36504413,-1.189174e+06,-1.296176e+06,-1.311657e+06,-1.249138e+06
IC0000,1478799,0.040510143253091074,-3.75,36504413,-1.1931815e+06,-1.3007345e+06,-1.3167815e+06,-1.2550625e+06
IC0000,1487927,0.04076019521256238,-3.75,36504413,-1.1992635e+06,-1.308314e+06,-1.325082e+06,-1.262648e+06
IC0000,1497056,0.04101027456598193,-3.75,36504413,-1.2044225e+06,-1.315582e+06,-1.333627e+06,-1.2710355e+06
IC0000,1506184,0.041260326525453236,-3.75,36504413,-1.210246e+06,-1.32339e+06,-1.341618e+06,-1.2789985e+06
IC0000,1515312,0.041510378484924546,-3.75,36504413,-1.214373e+06,-1.32938e+06,-1.3484065e+06,-1.2874285e+06
IC0000,1524441,0.04176045783834409,-3.75,36504413,-1.218427e+06,-1.3344085e+06,-1.352742e+06,-1.2913635e+06
IC0000,1533569,0.042010509797815405,-3.75,36504413,-1.223582e+06,-1.3414045e+06,-1.3591785e+06,-1.298108e+06
IC0000,1542698,0.04226058915123495,-3.75,36504413,-1.2264415e+06,-1.344951e+06,-1.3623315e+06,-1.3005735e+06
IC0000,1551826,0.04251064111070626,-3.75,36504413,-1.2289885e+06,-1.347793e+06,-1.364736e+06,-1.3021855e+06
IC0000,1560954,0.04276069307017757,-3.75,36504413,-1.2317e+06,-1.3506045e+06,-1.3673855e+06,-1.3041835e+06
IC0000,1570083,0.04301077242359711,-3.75,36504413,-1.234038e+06,-1.353163e+06,-1.3702695e+06,-1.306227e+06
IC0000,1579211,0.04326082438306843,-3.75,36504413,-1.2394085e+06,-1.3611075e+06,-1.379379e+06,-1.3155725e+06
IC0000,1588340,0.04351090373648797,-3.75,36504413,-1.243892e+06,-1.366859e+06,-1.3846075e+06,-1.3213345e+06
IC0000,1597468,0.04376095569595928,-3.75,36504413,-1.2475095e+06,-1.371955e+06,-1.3902905e+06,-1.327543e+06
IC0000,1606596,0.04401100765543059,-3.75,36504413,-1.2522825e+06,-1.3790085e+06,-1.397704e+06,-1.3353435e+06
IC0000,1615725,0.044261087008850133,-3.75,36504413,-1.258302e+06,-1.386682e+06,-1.405389e+06,-1.3435015e+06
IC0000,1624853,0.04451113896832145,-3.75,36504413,-1.2642185e+06,-1.391844e+06,-1.410694e+06,-1.3483135e+06
IC0000,1633981,0.04476119092779276,-3.75,36504413,-1.2694285e+06,-1.395902e+06,-1.414956e+06,-1.3529185e+06
IC0000,1643110,0.0450112702812123,-3.75,36504413,-1.2769545e+06,-1.4037075e+06,-1.4219905e+06,-1.36024e+06
IC0000,1652238,0.04526132224068361,-3.75,36504413,-1.285048e+06,-1.412355e+06,-1.430929e+06,-1.3691205e+06
IC0000,1661367,0.045511401594103155,-3.75,36504413,-1.2934885e+06,-1.422603e+06,-1.4415995e+06,-1.383441e+06
IC0000,1670495,0.045761453553574465,-3.6666667,36504413,-1.3070285e+06,-1.4360215e+06,-1.4549565e+06,-1.3977935e+06
IC0000,1679623,0.04601150551304578,-3.625,36504413,-1.318862e+06,-1.4493825e+06,-1.4690255e+06,-1.4121985e+06
IC0000,1688752,0.046261584866465325,-3.5833333,36504413,-1.330649e+06,-1.462074e+06,-1.4834675e+06,-1.4259675e+06
IC0000,1697880,0.046511636825936634,-3.5,36504413,-1.3436405e+06,-1.476869e+06,-1.4993375e+06,-1.4409155e+06
IC0000,1707009,0.04676171617935618,-3.5,36504413,-1.349332e+06,-1.4850145e+06,-1.5072525e+06,-1.4483505e+06
