code,rank,q,oir,n_total,cum1,cum5,cum10,cum20
IC0000,894653,0.024506133826516768,-0.76744187,36507309,-240978.0,-275294.0,-265791.0,-176816.0
IC0000,903782,0.024756193341996257,-0.7647059,36507309,-243020.0,-277280.0,-267691.0,-178570.0
IC0000,912911,0.025006252857475746,-0.75,36507309,-244430.0,-277283.0,-266872.0,-176796.0
IC0000,922041,0.0252563397647304,-0.75,36507309,-246349.0,-279600.0,-269611.0,-178509.0
IC0000,931170,0.02550639928020989,-0.75,36507309,-248814.0,-282352.0,-273508.0,-183178.0
IC0000,940299,0.02575645879568938,-0.75,36507309,-250891.0,-285048.0,-276426.0,-185967.0
IC0000,949428,0.026006518311168868,-0.75,36507309,-254867.0,-290825.0,-281493.0,-189198.0
IC0000,958557,0.026256577826648357,-0.75,36507309,-257819.0,-294083.0,-284087.0,-191269.0
IC0000,967686,0.026506637342127846,-0.75,36507309,-260669.0,-297318.0,-287582.0,-194966.0
IC0000,976815,0.026756696857607336,-0.75,36507309,-263848.0,-302087.0,-293328.0,-200654.0
IC0000,985944,0.027006756373086825,-0.75,36507309,-266612.0,-306474.0,-297542.0,-204466.0
IC0000,995073,0.027256815888566314,-0.75,36507309,-268512.0,-309047.0,-300327.0,-207626.0
IC0000,1004203,0.027506902795820968,-0.75,36507309,-269973.0,-312290.0,-304771.0,-211322.0
IC0000,1013332,0.027756962311300457,-0.75,36507309,-271887.0,-315982.0,-309019.0,-214447.0
IC0000,1022461,0.028007021826779947,-0.75,36507309,-273010.0,-317445.0,-309690.0,-214798.0
IC0000,1031590,0.028257081342259436,-0.75,36507309,-275047.0,-319442.0,-311597.0,-216362.0
IC0000,1040719,0.028507140857738925,-0.75,36507309,-276604.0,-322016.0,-314452.0,-219199.0
IC0000,1049848,0.028757200373218415,-0.75,36507309,-278032.0,-323973.0,-316662.0,-222210.0
IC0000,1058977,0.029007259888697904,-0.75,36507309,-279575.0,-326685.0,-319011.0,-225490.0
IC0000,1068106,0.029257319404177393,-0.75,36507309,-281683.0,-329601.0,-322237.0,-228422.0
IC0000,1077235,0.029507378919656883,-0.75,36507309,-283146.0,-333098.0,-326008.0,-232234.0
IC0000,1086365,0.029757465826911536,-0.75,36507309,-284620.0,-335125.0,-329754.0,-235278.0
IC0000,1095494,0.030007525342391025,-0.75,36507309,-286535.0,-338561.0,-333605.0,-239517.0
IC0000,1104623,0.030257584857870515,-0.75,36507309,-288647.0,-342133.0,-337366.0,-242735.0
IC0000,1113752,0.030507644373350004,-0.75,36507309,-290037.0,-343981.0,-338947.0,-244215.0
IC0000,1122881,0.030757703888829493,-0.75,36507309,-292187.0,-346498.0,-341796.0,-245821.0
IC0000,1132010,0.031007763404308983,-0.75,36507309,-293756.0,-348351.0,-344086.0,-248840.0
IC0000,1141139,0.03125782291978847,-0.75,36507309,-296583.0,-351266.0,-346952.0,-250200.0
IC0000,1150268,0.03150788243526796,-0.73913044,36507309,-298280.0,-352353.0,-347488.0,-250141.0
IC0000,1159397,0.03175794195074745,-0.73333335,36507309,-301136.0,-355189.0,-350577.0,-252472.0
IC0000,1168526,0.03200800146622694,-0.73333335,36507309,-302689.0,-356368.0,-351253.0,-252919.0
IC0000,1177656,0.0322580883734816,-0.72727275,36507309,-304759.0,-357487.0,-351160.0,-251814.0
IC0000,1186785,0.032508147888961086,-0.71428573,36507309,-306110.0,-358542.0,-351347.0,-251667.0
IC0000,1195914,0.032758207404440576,-0.71428573,36507309,-308772.0,-360885.0,-353560.0,-253083.0
IC0000,1205043,0.033008266919920065,-0.71428573,36507309,-311216.0,-363770.0,-356657.0,-255651.0
IC0000,1214172,0.033258326435399554,-0.71428573,36507309,-313093.0,-366312.0,-358820.0,-256940.0
IC0000,1223301,0.033508385950879044,-0.71428573,36507309,-314888.0,-369028.0,-360914.0,-258172.0
IC0000,1232430,0.03375844546635853,-0.71428573,36507309,-318380.0,-373696.0,-363672.0,-261002.0
IC0000,1241559,0.03400850498183802,-0.71428573,36507309,-321904.0,-377266.0,-366175.0,-262777.0
IC0000,1250688,0.03425856449731751,-0.71428573,36507309,-324860.0,-379633.0,-369228.0,-265730.0
IC0000,1259818,0.03450865140457216,-0.71428573,36507309,-327674.0,-383078.0,-373759.0,-269700.0
IC0000,1268947,0.03475871092005165,-0.71428573,36507309,-330404.0,-386498.0,-378182.0,-275544.0
IC0000,1278076,0.03500877043553114,-0.71428573,36507309,-333696.0,-392198.0,-383770.0,-280715.0
IC0000,1287205,0.03525882995101063,-0.71428573,36507309,-336023.0,-395602.0,-386751.0,-283256.0
IC0000,1296334,0.03550888946649012,-0.71428573,36507309,-337399.0,-398366.0,-388847.0,-284502.0
IC0000,1305463,0.03575894898196961,-0.71428573,36507309,-339297.0,-401296.0,-391680.0,-287017.0
IC0000,1314592,0.0360090084974491,-0.71428573,36507309,-341391.0,-405479.0,-396212.0,-290961.0
IC0000,1323721,0.03625906801292859,-0.71428573,36507309,-342710.0,-408590.0,-399775.0,-293909.0
IC0000,1332850,0.03650912752840808,-0.71428573,36507309,-344286.0,-410996.0,-402269.0,-295106.0
IC0000,1341980,0.03675921443566273,-0.71428573,36507309,-345643.0,-413209.0,-404844.0,-296774.0
IC0000,1351109,0.03700927395114222,-0.71428573,36507309,-347113.0,-415562.0,-407002.0,-298785.0
IC0000,1360238,0.03725933346662171,-0.71428573,36507309,-349293.0,-418393.0,-409535.0,-301018.0
IC0000,1369367,0.0375093929821012,-0.71428573,36507309,-350910.0,-420443.0,-411261.0,-301897.0
IC0000,1378496,0.03775945249758069,-0.71428573,36507309,-352419.0,-422929.0,-413342.0,-304182.0
IC0000,1387625,0.03800951201306018,-0.71428573,36507309,-353475.0,-425112.0,-415743.0,-306243.0
IC0000,1396754,0.03825957152853967,-0.71428573,36507309,-354756.0,-428167.0,-418619.0,-309191.0
IC0000,1405883,0.03850963104401916,-0.71428573,36507309,-355742.0,-430381.0,-421382.0,-312298.0
IC0000,1415012,0.03875969055949865,-0.71428573,36507309,-357965.0,-434322.0,-425735.0,-316084.0
IC0000,1424142,0.0390097774667533,-0.71428573,36507309,-360820.0,-438638.0,-431376.0,-321732.0
IC0000,1433271,0.03925983698223279,-0.71428573,36507309,-361918.0,-441493.0,-434217.0,-324428.0
IC0000,1442400,0.03950989649771228,-0.71428573,36507309,-363420.0,-444777.0,-438289.0,-328417.0
IC0000,1451529,0.039759956013191766,-0.71428573,36507309,-365614.0,-448114.0,-442366.0,-332184.0
IC0000,1460658,0.040010015528671256,-0.71428573,36507309,-368412.0,-453056.0,-448405.0,-336960.0
IC0000,1469787,0.040260075044150745,-0.71428573,36507309,-370208.0,-457734.0,-453150.0,-342795.0
IC0000,1478916,0.040510134559630234,-0.71428573,36507309,-372298.0,-461364.0,-457537.0,-347687.0
IC0000,1488045,0.040760194075109724,-0.71428573,36507309,-374023.0,-463873.0,-460945.0,-350979.0
IC0000,1497174,0.04101025359058921,-0.71428573,36507309,-375311.0,-466973.0,-463527.0,-352958.0
IC0000,1506304,0.04126034049784387,-0.71428573,36507309,-377295.0,-469919.0,-466962.0,-354428.0
IC0000,1515433,0.04151040001332336,-0.71428573,36507309,-379305.0,-472650.0,-469268.0,-355462.0
IC0000,1524562,0.04176045952880285,-0.71428573,36507309,-380804.0,-475108.0,-471974.0,-357921.0
IC0000,1533691,0.04201051904428234,-0.71428573,36507309,-382614.0,-477822.0,-473156.0,-357170.0
IC0000,1542820,0.04226057855976183,-0.71428573,36507309,-384490.0,-480231.0,-474665.0,-357934.0
IC0000,1551949,0.04251063807524132,-0.71428573,36507309,-386611.0,-482211.0,-476618.0,-358977.0
IC0000,1561078,0.042760697590720806,-0.7,36507309,-388595.0,-483846.0,-478003.0,-360170.0
IC0000,1570207,0.043010757106200295,-0.6923077,36507309,-391352.0,-485469.0,-479134.0,-360313.0
IC0000,1579336,0.043260816621679785,-0.6923077,36507309,-392906.0,-487275.0,-480812.0,-360631.0
IC0000,1588466,0.04351090352893444,-0.6923077,36507309,-393865.0,-487382.0,-481630.0,-359435.0
IC0000,1597595,0.04376096304441393,-0.68421054,36507309,-395333.0,-486902.0,-480747.0,-357690.0
IC0000,1606724,0.04401102255989342,-0.6666667,36507309,-396517.0,-487215.0,-479976.0,-357550.0
IC0000,1615853,0.04426108207537291,-0.6666667,36507309,-398452.0,-490193.0,-482142.0,-359124.0
IC0000,1624982,0.0445111415908524,-0.6666667,36507309,-401024.0,-492426.0,-483854.0,-361251.0
