code,J,k,bucket,mean_dy,n,nrows
IF0000,1,240,neg1,-1.1928461,390607,36066013
IF0000,1,240,neg5,-1.0155423,1852557,36066013
IF0000,1,240,pos5,1.1085649,1817135,36066013
IF0000,1,240,pos1,1.4799151,378319,36066013
IF0000,1,240,pos0.1,2.093853,39434,36066013
IF0000,1,600,neg0.1,-1.2107803,39164,34610140
IF0000,1,600,neg1,-1.1040441,372102,34610140
IF0000,1,600,neg5,-1.0436463,1773961,34610140
IF0000,1,600,pos5,0.9580068,1738091,34610140
IF0000,1,600,pos1,1.2528276,359751,34610140
IF0000,1,600,pos0.1,2.0177696,37086,34610140
IF0000,5,1,neg0.1,-0.64479744,37770,36864922
IF0000,5,1,neg1,-0.5138725,387746,36864922
IF0000,5,1,neg5,-0.3797967,2054449,36864922
IF0000,5,1,pos5,0.39139757,2004596,36864922
IF0000,5,1,pos1,0.53049415,380811,36864922
IF0000,5,1,pos0.1,0.6492571,39308,36864922
IF0000,5,20,neg0.1,-1.5469496,37700,36807510
IF0000,5,20,neg1,-1.1968112,387290,36807510
IF0000,5,20,neg5,-0.9560279,2051892,36807510
IF0000,5,20,pos5,0.999988,2002378,36807510
IF0000,5,20,pos1,1.3026066,380461,36807510
IF0000,5,20,pos0.1,1.5188297,39273,36807510
IF0000,5,60,neg0.1,-1.5364249,37543,36682219
IF0000,5,60,neg1,-1.0943332,385983,36682219
IF0000,5,60,neg5,-0.901722,2045535,36682219
IF0000,5,60,pos5,0.9407567,1995652,36682219
IF0000,5,60,pos1,1.208747,379167,36682219
IF0000,5,60,pos0.1,1.3728623,39119,36682219
IF0000,5,120,neg0.1,-1.2836895,37252,36482803
IF0000,5,120,neg1,-0.9612249,383339,36482803
IF0000,5,120,neg5,-0.79350805,2033600,36482803
IF0000,5,120,pos5,0.8926948,1982970,36482803
IF0000,5,120,pos1,1.2000723,376394,36482803
IF0000,5,120,pos0.1,1.4232888,38834,36482803
IF0000,5,240,neg0.1,-0.457425,36559,36054233
IF0000,5,240,neg1,-0.5694581,377875,36054233
IF0000,5,240,neg5,-0.6045887,2007813,36054233
IF0000,5,240,pos5,0.7892307,1958976,36054233
IF0000,5,240,pos1,1.0053174,371422,36054233
IF0000,5,240,pos0.1,1.1134965,38195,36054233
IF0000,5,600,neg0.1,-0.18288635,34639,34598771
IF0000,5,600,neg1,-0.43115836,360988,34598771
IF0000,5,600,neg5,-0.5921857,1924383,34598771
IF0000,5,600,pos5,0.70344245,1873741,34598771
IF0000,5,600,pos1,0.90249515,353285,34598771
IF0000,5,600,pos0.1,1.4508026,35947,34598771
IF0000,20,1,neg0.1,-0.31588534,37330,36819832
IF0000,20,1,neg1,-0.24547723,370348,36819832
IF0000,20,1,neg5,-0.18907042,1851379,36819832
IF0000,20,1,pos5,0.19091268,1936655,36819832
IF0000,20,1,pos1,0.25290802,369581,36819832
IF0000,20,1,pos0.1,0.29658812,37692,36819832
IF0000,20,20,neg0.1,-1.1212885,37250,36762435
IF0000,20,20,neg1,-0.64264476,369982,36762435
IF0000,20,20,neg5,-0.50225127,1849196,36762435
IF0000,20,20,pos5,0.55095536,1934331,36762435
IF0000,20,20,pos1,0.7419408,369175,36762435
IF0000,20,20,pos0.1,1.0275887,37624,36762435
IF0000,20,60,neg0.1,-1.3868364,37163,36637314
IF0000,20,60,neg1,-0.5792582,368820,36637314
IF0000,20,60,neg5,-0.38341975,1843833,36637314
IF0000,20,60,pos5,0.48847407,1928086,36637314
IF0000,20,60,pos1,0.68565816,368007,36637314
IF0000,20,60,pos0.1,0.7556995,37503,36637314
IF0000,20,120,neg0.1,-0.7102796,36801,36438104
IF0000,20,120,neg1,-0.22514498,366093,36438104
IF0000,20,120,neg5,-0.19294935,1832968,36438104
IF0000,20,120,pos5,0.40629694,1914708,36438104
IF0000,20,120,pos1,0.7193953,365058,36438104
IF0000,20,120,pos0.1,0.7669331,37161,36438104
IF0000,20,240,neg0.1,0.7136281,37364,36009988
IF0000,20,240,neg1,0.32949448,380234,36009988
IF0000,20,240,neg5,0.04996237,1807060,36009988
IF0000,20,240,pos5,0.27953404,1890521,36009988
IF0000,20,240,pos1,0.5482983,380293,36009988
IF0000,20,240,pos0.1,0.26912305,36422,36009988
IF0000,20,600,neg0.1,0.65556824,35110,34555962
IF0000,20,600,neg1,0.32983404,361312,34555962
IF0000,20,600,neg5,0.014623926,1728674,34555962
IF0000,20,600,pos5,0.2550649,1801612,34555962
IF0000,20,600,pos1,0.49231365,359468,34555962
IF0000,20,600,pos0.1,0.32360795,35200,34555962
IF0000,60,1,neg0.1,-0.18775256,36873,36699592
IF0000,60,1,neg1,-0.123274505,371488,36699592
IF0000,60,1,neg5,-0.09187952,1878373,36699592
IF0000,60,1,pos5,0.09549489,1880886,36699592
IF0000,60,1,pos1,0.125474,368140,36699592
IF0000,60,1,pos0.1,0.1588971,37175,36699592
IF0000,60,20,neg0.1,-0.81122905,36833,36642213
IF0000,60,20,neg1,-0.2693315,371130,36642213
IF0000,60,20,neg5,-0.18857923,1876039,36642213
IF0000,60,20,pos5,0.2555845,1878142,36642213
IF0000,60,20,pos1,0.3194985,367695,36642213
IF0000,60,20,pos0.1,0.40570658,37150,36642213
IF0000,60,60,neg0.1,-1.3923336,36706,36517288
IF0000,60,60,neg1,-0.2117746,369813,36517288
IF0000,60,60,neg5,0.008062178,1869966,36517288
IF0000,60,60,pos5,0.1687682,1870459,36517288
IF0000,60,60,pos1,0.2850593,366415,36517288
IF0000,60,60,pos0.1,0.31965354,37062,36517288
IF0000,60,120,neg0.1,-0.23986559,37200,36318616
IF0000,60,120,neg1,0.4469369,367063,36318616
IF0000,60,120,neg5,0.30693242,1858849,36318616
IF0000,60,120,pos5,0.065438695,1857693,36318616
IF0000,60,120,pos1,0.09558459,363500,36318616
IF0000,60,120,pos0.1,0.58365613,36919,36318616
IF0000,60,240,neg0.1,1.0917456,36078,35891461
IF0000,60,240,neg1,1.0526015,359230,35891461
IF0000,60,240,neg5,0.499181,1828425,35891461
IF0000,60,240,pos5,-0.00830509,1832250,35891461
IF0000,60,240,pos1,-0.003203527,368344,35891461
IF0000,60,240,pos0.1,-0.57376593,36060,35891461
IF0000,60,600,neg0.1,1.6429709,35168,34440666
IF0000,60,600,neg1,0.7376121,351190,34440666
IF0000,60,600,neg5,0.24923542,1746714,34440666
IF0000,60,600,pos5,0.07893859,1741455,34440666
IF0000,60,600,pos1,0.22275355,346513,34440666
IF0000,60,600,pos0.1,-0.020003425,35044,34440666
IF0000,120,1,neg0.1,-0.13479461,36589,36519232
IF0000,120,1,neg1,-0.08382805,370246,36519232
IF0000,120,1,neg5,-0.056889866,1832699,36519232
IF0000,120,1,pos5,0.06101664,1853773,36519232
IF0000,120,1,pos1,0.0826525,365361,36519232
IF0000,120,1,pos0.1,0.09666324,36922,36519232
IF0000,120,20,neg0.1,-0.50009584,36517,36461903
IF0000,120,20,neg1,-0.14549586,369660,36461903
