code,rank,q,voi,n_total,cum1,cum20,cum120
IC0000,846288,0.02350589491652192,-5.0,36003224,-855542.0,-1.824915e+06,-1.450982e+06
IC0000,855291,0.02375595585550894,-5.0,36003224,-862028.0,-1.848013e+06,-1.475868e+06
IC0000,864294,0.02400601679449596,-5.0,36003224,-869759.0,-1.865719e+06,-1.49798e+06
IC0000,873297,0.02425607773348298,-5.0,36003224,-874979.0,-1.878557e+06,-1.50988e+06
IC0000,882300,0.02450613867247,-5.0,36003224,-879157.0,-1.889756e+06,-1.518528e+06
IC0000,891303,0.02475619961145702,-5.0,36003224,-884858.0,-1.9085e+06,-1.527148e+06
IC0000,900306,0.025006260550444036,-5.0,36003224,-895679.0,-1.934322e+06,-1.543762e+06
IC0000,909309,0.025256321489431056,-5.0,36003224,-905276.0,-1.953174e+06,-1.563053e+06
IC0000,918312,0.025506382428418076,-5.0,36003224,-913066.0,-1.969466e+06,-1.582425e+06
IC0000,927315,0.025756443367405096,-5.0,36003224,-920315.0,-1.983801e+06,-1.594765e+06
IC0000,936318,0.026006504306392116,-5.0,36003224,-927558.0,-1.99807e+06,-1.609832e+06
IC0000,945321,0.026256565245379136,-5.0,36003224,-935343.0,-2.018833e+06,-1.630931e+06
IC0000,954324,0.026506626184366156,-5.0,36003224,-944656.0,-2.034821e+06,-1.649823e+06
IC0000,963328,0.02675671489864352,-5.0,36003224,-950493.0,-2.04778e+06,-1.656943e+06
IC0000,972331,0.02700677583763054,-5.0,36003224,-956414.0,-2.063149e+06,-1.670158e+06
IC0000,981334,0.02725683677661756,-5.0,36003224,-962961.0,-2.078772e+06,-1.681075e+06
IC0000,990337,0.02750689771560458,-5.0,36003224,-968098.0,-2.089718e+06,-1.689096e+06
IC0000,999340,0.0277569586545916,-5.0,36003224,-974207.0,-2.104678e+06,-1.706318e+06
IC0000,1008343,0.028007019593578618,-5.0,36003224,-980751.0,-2.126515e+06,-1.730081e+06
IC0000,1017346,0.028257080532565638,-5.0,36003224,-986837.0,-2.139498e+06,-1.732293e+06
IC0000,1026349,0.028507141471552658,-5.0,36003224,-992652.0,-2.155055e+06,-1.74517e+06
IC0000,1035352,0.028757202410539678,-5.0,36003224,-1.000338e+06,-2.17128e+06,-1.761744e+06
IC0000,1044355,0.029007263349526698,-5.0,36003224,-1.006249e+06,-2.184456e+06,-1.776384e+06
IC0000,1053358,0.029257324288513718,-5.0,36003224,-1.011965e+06,-2.199294e+06,-1.792114e+06
IC0000,1062361,0.029507385227500738,-5.0,36003224,-1.016924e+06,-2.211289e+06,-1.803895e+06
IC0000,1071364,0.029757446166487758,-5.0,36003224,-1.022248e+06,-2.224626e+06,-1.819304e+06
IC0000,1080367,0.030007507105474777,-5.0,36003224,-1.026513e+06,-2.235795e+06,-1.828743e+06
IC0000,1089370,0.030257568044461797,-5.0,36003224,-1.03128e+06,-2.246582e+06,-1.839016e+06
IC0000,1098373,0.030507628983448814,-5.0,36003224,-1.039037e+06,-2.268527e+06,-1.862958e+06
IC0000,1107376,0.030757689922435834,-5.0,36003224,-1.045357e+06,-2.285227e+06,-1.881104e+06
