code,rank,q,oir,n_total,cum1,cum5,cum10,cum20
IC0000,158030,0.027006879636440197,-0.71428573,5851472,-36046.0,-39977.0,-43728.0,-28469.0
IC0000,159493,0.027256902194866522,-0.71428573,5851472,-36240.0,-40454.0,-43947.0,-28762.0
IC0000,160956,0.027506924753292847,-0.71428573,5851472,-36353.0,-40805.0,-44320.0,-29200.0
IC0000,162419,0.027756947311719172,-0.71428573,5851472,-36462.0,-41070.0,-44565.0,-29647.0
IC0000,163883,0.028007140767314618,-0.71428573,5851472,-36672.0,-41593.0,-45239.0,-30079.0
IC0000,165346,0.028257163325740943,-0.71428573,5851472,-36844.0,-42000.0,-45336.0,-30552.0
IC0000,166809,0.028507185884167265,-0.71428573,5851472,-36986.0,-42519.0,-46134.0,-30887.0
IC0000,168272,0.02875720844259359,-0.71428573,5851472,-37230.0,-43167.0,-46985.0,-31889.0
IC0000,169736,0.029007401898189036,-0.71428573,5851472,-37528.0,-43705.0,-47755.0,-32899.0
IC0000,171199,0.02925742445661536,-0.71428573,5851472,-37834.0,-44417.0,-48601.0,-33534.0
IC0000,172662,0.029507447015041686,-0.71428573,5851472,-38118.0,-44993.0,-49256.0,-34366.0
IC0000,174125,0.02975746957346801,-0.71428573,5851472,-38272.0,-45379.0,-49732.0,-34790.0
IC0000,175589,0.030007663029063457,-0.71428573,5851472,-38409.0,-45805.0,-50021.0,-34934.0
IC0000,177052,0.030257685587489782,-0.71428573,5851472,-38680.0,-46471.0,-50579.0,-35543.0
IC0000,178515,0.030507708145916104,-0.71428573,5851472,-38982.0,-47164.0,-51660.0,-36628.0
IC0000,179978,0.03075773070434243,-0.71428573,5851472,-39325.0,-47819.0,-52272.0,-37441.0
IC0000,181441,0.031007753262768754,-0.71428573,5851472,-40073.0,-48054.0,-53447.0,-38437.0
IC0000,182905,0.031257946718364196,-0.71428573,5851472,-40538.0,-48579.0,-53659.0,-38490.0
IC0000,184368,0.031507969276790525,-0.71428573,5851472,-40890.0,-49372.0,-54872.0,-39828.0
IC0000,185831,0.031757991835216846,-0.71428573,5851472,-41263.0,-50093.0,-55649.0,-40232.0
IC0000,187294,0.032008014393643175,-0.71428573,5851472,-41742.0,-50568.0,-56383.0,-40449.0
IC0000,188758,0.03225820784923862,-0.71428573,5851472,-42157.0,-51482.0,-57246.0,-40541.0
IC0000,190221,0.03250823040766494,-0.71428573,5851472,-42629.0,-52394.0,-58514.0,-41717.0
IC0000,191684,0.032758252966091264,-0.71428573,5851472,-43174.0,-53273.0,-59401.0,-42823.0
IC0000,193147,0.03300827552451759,-0.71428573,5851472,-43492.0,-54037.0,-60311.0,-43611.0
IC0000,194611,0.03325846898011304,-0.71428573,5851472,-43763.0,-54845.0,-61204.0,-44641.0
IC0000,196074,0.03350849153853936,-0.6923077,5851472,-44055.0,-55442.0,-62020.0,-45689.0
IC0000,197537,0.03375851409696569,-0.6923077,5851472,-44303.0,-55608.0,-61895.0,-45350.0
IC0000,199000,0.03400853665539201,-0.6923077,5851472,-44435.0,-55567.0,-62363.0,-44756.0
IC0000,200463,0.03425855921381833,-0.6666667,5851472,-44583.0,-55559.0,-62658.0,-45294.0
IC0000,201927,0.034508752669413785,-0.6666667,5851472,-44965.0,-56069.0,-63596.0,-46600.0
IC0000,203390,0.03475877522784011,-0.6666667,5851472,-45362.0,-56852.0,-64323.0,-47666.0
IC0000,204853,0.03500879778626643,-0.6666667,5851472,-45597.0,-57746.0,-65602.0,-49264.0
IC0000,206316,0.03525882034469276,-0.6666667,5851472,-45599.0,-58335.0,-66531.0,-49950.0
IC0000,207780,0.0355090138002882,-0.6666667,5851472,-46020.0,-58981.0,-67369.0,-50564.0
IC0000,209243,0.035759036358714524,-0.6666667,5851472,-46410.0,-59976.0,-68392.0,-52266.0
IC0000,210706,0.036009058917140846,-0.6666667,5851472,-46902.0,-59678.0,-67404.0,-52019.0
IC0000,212169,0.036259081475567174,-0.6666667,5851472,-46885.0,-59525.0,-67132.0,-51740.0
IC0000,213633,0.03650927493116262,-0.6666667,5851472,-47174.0,-59466.0,-67164.0,-51890.0
IC0000,215096,0.03675929748958894,-0.6666667,5851472,-47357.0,-59808.0,-67832.0,-52472.0
IC0000,216559,0.03700932004801527,-0.6666667,5851472,-47352.0,-60044.0,-68219.0,-53326.0
IC0000,218022,0.03725934260644159,-0.6666667,5851472,-47597.0,-60124.0,-68299.0,-53140.0
IC0000,219486,0.03750953606203704,-0.6666667,5851472,-47916.0,-60709.0,-69221.0,-54137.0
IC0000,220949,0.03775955862046337,-0.6666667,5851472,-48248.0,-61316.0,-70319.0,-55172.0
IC0000,222412,0.03800958117888969,-0.6666667,5851472,-48611.0,-62003.0,-71144.0,-56283.0
IC0000,223875,0.03825960373731601,-0.6666667,5851472,-48903.0,-62298.0,-71851.0,-57386.0
