code,factor,basis,J,k,bucket,mean_dy,n,nrows
IC0000,voi,last,600,60,pos1,-0.18421721,346314,34547626
IC0000,voi,last,600,60,pos0.1,-0.2740593,34602,34547626
IC0000,voi,last,600,120,neg0.1,3.9631915,34503,34238399
IC0000,voi,last,600,120,neg1,1.2164931,343489,34238399
IC0000,voi,last,600,120,neg5,0.43856084,1724967,34238399
IC0000,voi,last,600,120,pos5,0.31455895,1729024,34238399
IC0000,voi,last,600,120,pos1,-0.3356227,344637,34238399
IC0000,voi,last,600,120,pos0.1,0.11221706,34460,34238399
IC0000,voi,last,600,240,neg0.1,5.2916803,33691,33465417
IC0000,voi,last,600,240,neg1,1.411372,336812,33465417
IC0000,voi,last,600,240,neg5,0.58975935,1683624,33465417
IC0000,voi,last,600,240,pos5,0.75729156,1678034,33465417
IC0000,voi,last,600,240,pos1,0.1102253,336538,33465417
IC0000,voi,last,600,240,pos0.1,-0.5598998,33531,33465417
IC0000,voi,last,600,600,neg0.1,5.9028873,30789,30711126
IC0000,voi,last,600,600,neg1,0.09427474,307357,30711126
IC0000,voi,last,600,600,neg5,0.0072985906,1535776,30711126
IC0000,voi,last,600,600,pos5,1.7412976,1548447,30711126
IC0000,voi,last,600,600,pos1,0.38985792,308497,30711126
IC0000,voi,last,600,600,pos0.1,-2.9187775,30755,30711126
IC0000,oir,last,1,1,neg0.1,-0.36046195,36628,36569025
IC0000,oir,last,1,1,neg1,-0.27462634,367980,36569025
IC0000,oir,last,1,1,neg5,-0.23340937,2267364,36569025
IC0000,oir,last,1,1,pos5,0.23617753,2228383,36569025
IC0000,oir,last,1,1,pos1,0.26040858,424794,36569025
IC0000,oir,last,1,1,pos0.1,0.33386916,36703,36569025
IC0000,oir,last,1,5,neg0.1,-0.31449187,36586,36556923
IC0000,oir,last,1,5,neg1,-0.27126518,367655,36556923
IC0000,oir,last,1,5,neg5,-0.31524456,2266155,36556923
IC0000,oir,last,1,5,pos5,0.33615223,2227360,36556923
IC0000,oir,last,1,5,pos1,0.28266114,424526,36556923
IC0000,oir,last,1,5,pos0.1,0.42743364,36663,36556923
IC0000,oir,last,1,20,neg0.1,-0.1527793,36628,36507541
IC0000,oir,last,1,20,neg1,-0.099469244,366646,36507541
IC0000,oir,last,1,20,neg5,-0.26289436,2261684,36507541
IC0000,oir,last,1,20,pos5,0.3252933,2223295,36507541
IC0000,oir,last,1,20,pos1,0.2337766,423447,36507541
IC0000,oir,last,1,20,pos0.1,0.5101007,36532,36507541
IC0000,oir,last,1,60,neg0.1,0.041578233,39107,36339310
IC0000,oir,last,1,60,neg1,0.17446406,363519,36339310
IC0000,oir,last,1,60,neg5,-0.10093092,2246814,36339310
IC0000,oir,last,1,60,pos5,0.2949632,2209757,36339310
IC0000,oir,last,1,60,pos1,0.19528604,420071,36339310
IC0000,oir,last,1,60,pos0.1,0.30898574,39073,36339310
IC0000,oir,last,1,120,neg0.1,0.2776562,38382,36007756
IC0000,oir,last,1,120,neg1,0.37353462,361763,36007756
IC0000,oir,last,1,120,neg5,-0.014880121,2219068,36007756
IC0000,oir,last,1,120,pos5,0.28394082,2184029,36007756
IC0000,oir,last,1,120,pos1,0.17302322,413956,36007756
IC0000,oir,last,1,120,pos0.1,0.7938592,38464,36007756
IC0000,oir,last,1,240,neg0.1,0.4717109,36940,35183885
IC0000,oir,last,1,240,neg1,0.56386137,418461,35183885
IC0000,oir,last,1,240,neg5,0.07863419,2154470,35183885
IC0000,oir,last,1,240,pos5,0.30053726,2122978,35183885
IC0000,oir,last,1,240,pos1,0.15721786,400209,35183885
IC0000,oir,last,1,240,pos0.1,0.6076436,36946,35183885
IC0000,oir,last,1,600,neg0.1,1.5674199,32750,32281945
IC0000,oir,last,1,600,neg1,0.9297812,373034,32281945
IC0000,oir,last,1,600,neg5,0.19305138,1947264,32281945
IC0000,oir,last,1,600,pos5,0.1827567,1921593,32281945
IC0000,oir,last,1,600,pos1,-0.053811796,356446,32281945
IC0000,oir,last,1,600,pos0.1,-0.11602911,32285,32281945
IC0000,oir,last,5,1,neg0.1,-0.105350986,36554,36553999
IC0000,oir,last,5,1,neg1,-0.063560665,365808,36553999
IC0000,oir,last,5,1,neg5,-0.07314421,1836632,36553999
IC0000,oir,last,5,1,pos5,0.07411823,1827796,36553999
IC0000,oir,last,5,1,pos1,0.06297651,365549,36553999
IC0000,oir,last,5,1,pos0.1,0.098313145,36577,36553999
IC0000,oir,last,5,5,neg0.1,-0.07098681,36542,36541913
IC0000,oir,last,5,5,neg1,-0.03766105,365497,36541913
IC0000,oir,last,5,5,neg5,-0.11342634,1835623,36541913
IC0000,oir,last,5,5,pos5,0.11518161,1827375,36541913
IC0000,oir,last,5,5,pos1,0.033279516,365420,36541913
IC0000,oir,last,5,5,pos0.1,0.08778699,36543,36541913
IC0000,oir,last,5,20,neg0.1,0.32386145,36494,36492730
IC0000,oir,last,5,20,neg1,0.19225985,364928,36492730
IC0000,oir,last,5,20,neg5,0.0009841461,1832045,36492730
IC0000,oir,last,5,20,pos5,0.04036449,1825020,36492730
IC0000,oir,last,5,20,pos1,-0.2003732,364949,36492730
IC0000,oir,last,5,20,pos0.1,-0.31641686,36493,36492730
IC0000,oir,last,5,60,neg0.1,0.96107364,36325,36324841
IC0000,oir,last,5,60,neg1,0.5228416,363307,36324841
IC0000,oir,last,5,60,neg5,0.18312953,1820127,36324841
IC0000,oir,last,5,60,pos5,-0.017512597,1816578,36324841
IC0000,oir,last,5,60,pos1,-0.23250654,363250,36324841
IC0000,oir,last,5,60,pos0.1,-0.41847214,36325,36324841
IC0000,oir,last,5,120,neg0.1,1.2748638,35996,35993481
IC0000,oir,last,5,120,neg1,0.6973954,359935,35993481
IC0000,oir,last,5,120,neg5,0.29851994,1800198,35993481
IC0000,oir,last,5,120,pos5,-0.04580549,1799675,35993481
IC0000,oir,last,5,120,pos1,-0.26006645,360008,35993481
IC0000,oir,last,5,120,pos0.1,-0.28265822,35994,35993481
IC0000,oir,last,5,240,neg0.1,1.5418953,35171,35170276
IC0000,oir,last,5,240,neg1,0.8057536,351816,35170276
IC0000,oir,last,5,240,neg5,0.3258131,1758944,35170276
IC0000,oir,last,5,240,pos5,-0.017403321,1758515,35170276
IC0000,oir,last,5,240,pos1,-0.2824142,351721,35170276
IC0000,oir,last,5,240,pos0.1,-0.80611867,35171,35170276
IC0000,oir,last,5,600,neg0.1,2.6381469,32270,32269780
IC0000,oir,last,5,600,neg1,1.1867251,322699,32269780
IC0000,oir,last,5,600,neg5,0.4579801,1613688,32269780
IC0000,oir,last,5,600,pos5,-0.08225684,1613495,32269780
IC0000,oir,last,5,600,pos1,-0.49774405,322702,32269780
IC0000,oir,last,5,600,pos0.1,-1.4284563,32274,32269780
IC0000,oir,last,20,1,neg0.1,-0.014845654,36509,36508912
IC0000,oir,last,20,1,neg1,-0.021068778,365090,36508912
IC0000,oir,last,20,1,neg5,-0.027124047,1825465,36508912
IC0000,oir,last,20,1,pos5,0.027556442,1825526,36508912
IC0000,oir,last,20,1,pos1,0.013443187,365092,36508912
IC0000,oir,last,20,1,pos0.1,0.00013694879,36510,36508912
IC0000,oir,last,20,5,neg0.1,0.07096474,36497,36496831
IC0000,oir,last,20,5,neg1,0.015406788,364969,36496831
IC0000,oir,last,20,5,neg5,-0.01648855,1824842,36496831
IC0000,oir,last,20,5,pos5,0.023676557,1824843,36496831
IC0000,oir,last,20,5,pos1,-0.051245447,364969,36496831
IC0000,oir,last,20,5,pos0.1,-0.14382005,36497,36496831
IC0000,oir,last,20,20,neg0.1,0.3833132,36448,36447876
IC0000,oir,last,20,20,neg1,0.21384771,364479,36447876
IC0000,oir,last,20,20,neg5,0.122918814,1822398,36447876
IC0000,oir,last,20,20,pos5,-0.08290341,1822398,36447876
IC0000,oir,last,20,20,pos1,-0.22038032,364479,36447876
IC0000,oir,last,20,20,pos0.1,-0.59855133,36448,36447876
IC0000,oir,last,20,60,neg0.1,0.9785287,36281,36280894
IC0000,oir,last,20,60,neg1,0.5355237,362828,36280894
IC0000,oir,last,20,60,neg5,0.3169464,1814045,36280894
IC0000,oir,last,20,60,pos5,-0.16618818,1814046,36280894
IC0000,oir,last,20,60,pos1,-0.29881287,362809,36280894
IC0000,oir,last,20,60,pos0.1,-0.5429288,36281,36280894
IC0000,oir,last,20,120,neg0.1,1.3017162,35951,35950568
