code,rank,q,mpb,n_total,cum1,cum5,cum10,cum20
IC0000,219468,0.037509415039554704,-4.0,5851011,588183.0,949769.0,1.01354e+06,1.029298e+06
IC0000,220931,0.037759457297208976,-4.0,5851011,590995.0,954017.0,1.017759e+06,1.034024e+06
IC0000,222394,0.038009499554863255,-4.0,5851011,592843.0,958255.0,1.0225e+06,1.039055e+06
IC0000,223858,0.0382597127231516,-4.0,5851011,594495.0,962833.0,1.027791e+06,1.044028e+06
IC0000,225321,0.03850975498080588,-4.0,5851011,595992.0,966668.0,1.032392e+06,1.048405e+06
IC0000,226784,0.03875979723846016,-4.0,5851011,598253.0,971100.0,1.037636e+06,1.053558e+06
IC0000,228247,0.03900983949611443,-4.0,5851011,600212.0,975496.0,1.042551e+06,1.058601e+06
IC0000,229710,0.03925988175376871,-4.0,5851011,602603.0,980020.0,1.047538e+06,1.063685e+06
IC0000,231173,0.03950992401142298,-4.0,5851011,604342.0,984245.0,1.052035e+06,1.068489e+06
IC0000,232636,0.03975996626907726,-4.0,5851011,606153.0,988398.0,1.057304e+06,1.074549e+06
IC0000,234099,0.04001000852673153,-4.0,5851011,608168.0,992365.0,1.062019e+06,1.079623e+06
IC0000,235563,0.04026022169501989,-4.0,5851011,610366.0,996830.0,1.06672e+06,1.084368e+06
IC0000,237026,0.04051026395267416,-4.0,5851011,612983.0,1.000865e+06,1.071056e+06,1.089413e+06
IC0000,238489,0.04076030621032844,-4.0,5851011,616086.0,1.003977e+06,1.073614e+06,1.091811e+06
IC0000,239952,0.04101034846798271,-4.0,5851011,618567.0,1.007688e+06,1.07726e+06,1.095559e+06
IC0000,241415,0.04126039072563699,-4.0,5851011,620954.0,1.011016e+06,1.081311e+06,1.099632e+06
IC0000,242878,0.04151043298329126,-4.0,5851011,623653.0,1.014743e+06,1.085152e+06,1.10348e+06
IC0000,244341,0.04176047524094554,-4.0,5851011,626740.0,1.018943e+06,1.089639e+06,1.108155e+06
IC0000,245804,0.04201051749859981,-4.0,5851011,629183.0,1.023121e+06,1.094024e+06,1.112496e+06
IC0000,247267,0.04226055975625409,-3.9166667,5851011,631216.0,1.027037e+06,1.098562e+06,1.117605e+06
IC0000,248731,0.042510772924542445,-3.875,5851011,633477.0,1.029986e+06,1.101912e+06,1.119767e+06
IC0000,250194,0.04276081518219672,-3.8333333,5851011,635343.0,1.032054e+06,1.103969e+06,1.121958e+06
IC0000,251657,0.043010857439850995,-3.75,5851011,636654.0,1.034374e+06,1.106167e+06,1.124839e+06
IC0000,253120,0.04326089969750527,-3.75,5851011,638148.0,1.038098e+06,1.110703e+06,1.129383e+06
IC0000,254583,0.043510941955159546,-3.75,5851011,639639.0,1.041935e+06,1.115138e+06,1.134798e+06
IC0000,256046,0.04376098421281382,-3.75,5851011,642078.0,1.046095e+06,1.118711e+06,1.137787e+06
IC0000,257509,0.0440110264704681,-3.75,5851011,644342.0,1.050084e+06,1.123235e+06,1.142554e+06
IC0000,258972,0.04426106872812237,-3.75,5851011,647061.0,1.053578e+06,1.125934e+06,1.144044e+06
IC0000,260436,0.04451128189641072,-3.75,5851011,650016.0,1.057216e+06,1.129444e+06,1.147936e+06
IC0000,261899,0.044761324154064995,-3.75,5851011,652611.0,1.061448e+06,1.13384e+06,1.152752e+06
IC0000,263362,0.045011366411719274,-3.75,5851011,654681.0,1.065374e+06,1.138005e+06,1.157045e+06
IC0000,264825,0.04526140866937355,-3.75,5851011,656326.0,1.069245e+06,1.142511e+06,1.161637e+06
IC0000,266288,0.045511450927027824,-3.75,5851011,657954.0,1.073524e+06,1.147391e+06,1.16677e+06
IC0000,267751,0.0457614931846821,-3.75,5851011,659341.0,1.077075e+06,1.151629e+06,1.17151e+06
IC0000,269214,0.046011535442336375,-3.75,5851011,660952.0,1.080475e+06,1.155626e+06,1.175599e+06
IC0000,270677,0.046261577699990654,-3.75,5851011,662778.0,1.084704e+06,1.160106e+06,1.180044e+06
IC0000,272141,0.046511790868279,-3.75,5851011,664631.0,1.088645e+06,1.164389e+06,1.184317e+06
IC0000,273604,0.04676183312593328,-3.75,5851011,666556.0,1.092721e+06,1.168802e+06,1.188878e+06
IC0000,275067,0.04701187538358755,-3.75,5851011,668878.0,1.096951e+06,1.173436e+06,1.193354e+06
IC0000,276530,0.04726191764124183,-3.75,5851011,670565.0,1.101172e+06,1.178375e+06,1.198018e+06
IC0000,277993,0.0475119598988961,-3.75,5851011,672142.0,1.104955e+06,1.18268e+06,1.202578e+06
IC0000,279456,0.04776200215655038,-3.75,5851011,673799.0,1.109073e+06,1.18736e+06,1.207697e+06
IC0000,280919,0.04801204441420465,-3.75,5851011,675563.0,1.11325e+06,1.191959e+06,1.212608e+06
IC0000,282382,0.04826208667185893,-3.75,5851011,677142.0,1.116764e+06,1.196218e+06,1.216666e+06
IC0000,283845,0.048512128929513204,-3.75,5851011,679394.0,1.120666e+06,1.200752e+06,1.221345e+06
IC0000,285309,0.04876234209780156,-3.75,5851011,681770.0,1.125155e+06,1.205717e+06,1.226228e+06
IC0000,286772,0.04901238435545584,-3.75,5851011,685142.0,1.129403e+06,1.209738e+06,1.228993e+06
IC0000,288235,0.04926242661311011,-3.75,5851011,687332.0,1.132548e+06,1.213289e+06,1.233036e+06
IC0000,289698,0.04951246887076439,-3.75,5851011,689958.0,1.135497e+06,1.216572e+06,1.236482e+06
IC0000,291161,0.04976251112841866,-3.75,5851011,692309.0,1.139163e+06,1.220294e+06,1.240093e+06
IC0000,292624,0.05001255338607294,-3.75,5851011,694996.0,1.142864e+06,1.223893e+06,1.243899e+06
IC0000,294087,0.05026259564372721,-3.75,5851011,697958.0,1.147054e+06,1.228301e+06,1.247695e+06
IC0000,295550,0.05051263790138149,-3.75,5851011,700556.0,1.150898e+06,1.232172e+06,1.251555e+06
IC0000,297014,0.05076285106966984,-3.75,5851011,702623.0,1.155251e+06,1.237074e+06,1.256782e+06
IC0000,298477,0.051012893327324116,-3.7142856,5851011,704371.0,1.159122e+06,1.241718e+06,1.261368e+06
IC0000,299940,0.05126293558497839,-3.6666667,5851011,706467.0,1.161838e+06,1.244463e+06,1.263709e+06
IC0000,301403,0.051512977842632666,-3.5984848,5851011,708555.0,1.164135e+06,1.246559e+06,1.266288e+06
IC0000,302866,0.051763020100286945,-3.5714285,5851011,710653.0,1.16621e+06,1.248415e+06,1.268606e+06
IC0000,304329,0.05201306235794122,-3.5,5851011,712079.0,1.168755e+06,1.251414e+06,1.271537e+06
IC0000,305792,0.052263104615595496,-3.5,5851011,713318.0,1.172034e+06,1.255016e+06,1.274898e+06
IC0000,307255,0.05251314687324977,-3.5,5851011,714601.0,1.175449e+06,1.258738e+06,1.279008e+06
