code,year,month,S,sum,sumsq,n
IF0000,2021,11,0,-275.9000000000351,24925.369999999813,5046
IF0000,2021,11,10,-339.2000000000371,23161.539999999837,5046
IF0000,2021,11,20,-125.50000000001,21802.210000000232,5046
IF0000,2021,11,30,-39.89999999993688,22625.949999999903,5046
IF0000,2021,11,40,-79.60000000006494,23801.339999999855,5046
IF0000,2021,11,50,-53.80000000002747,24099.90000000012,5046
IH0000,2021,11,0,-325.499999999995,13343.889999999898,5005
IH0000,2021,11,10,-394.20000000000664,12396.279999999964,5005
IH0000,2021,11,20,-241.00000000002092,12035.400000000069,5005
IH0000,2021,11,30,-197.10000000002174,12272.630000000092,5005
IH0000,2021,11,40,-164.40000000001237,12800.779999999924,5005
IH0000,2021,11,50,-63.60000000003765,12804.779999999964,5005
IC0000,2021,12,0,295.0000000000018,37522.739999999045,5305
IC0000,2021,12,10,408.300000000012,37187.649999999296,5305
IC0000,2021,12,20,556.5999999999922,35887.579999999565,5305
IC0000,2021,12,30,419.9999999999918,35598.519999999284,5305
IC0000,2021,12,40,403.9000000000133,36807.38999999937,5305
IC0000,2021,12,50,377.5000000000455,37513.36999999918,5305
IF0000,2021,12,0,-17.3000000000211,24935.489999999485,5283
IF0000,2021,12,10,127.90000000006512,22731.389999999865,5283
IF0000,2021,12,20,421.8999999999578,23064.309999999863,5283
IF0000,2021,12,30,358.5999999999831,24115.92000000006,5283
IF0000,2021,12,40,396.2000000000007,24727.96000000005,5283
IF0000,2021,12,50,305.1000000000622,25099.389999999294,5283
IH0000,2021,12,0,-196.69999999999163,14277.389999999894,5247
IH0000,2021,12,10,59.500000000001364,12539.750000000005,5247
IH0000,2021,12,20,330.3000000000211,13110.029999999895,5247
IH0000,2021,12,30,300.9999999999768,13539.319999999832,5247
IH0000,2021,12,40,238.89999999998872,13836.929999999851,5247
IH0000,2021,12,50,139.69999999998208,13976.689999999893,5247
IC0000,2022,1,0,1124.9999999999854,73280.81999999925,4399
IC0000,2022,1,10,612.2000000000035,68446.79999999935,4399
IC0000,2022,1,20,158.9999999999891,72315.85999999937,4399
IC0000,2022,1,30,-229.40000000000418,77382.33999999908,4399
IC0000,2022,1,40,-443.7999999999738,78854.3799999998,4399
IC0000,2022,1,50,-485.40000000002874,79174.35999999955,4399
IF0000,2022,1,0,372.49999999997453,33958.749999999905,4375
IF0000,2022,1,10,355.9000000000042,32917.470000000154,4375
IF0000,2022,1,20,152.900000000026,35555.04999999987,4375
IF0000,2022,1,30,75.60000000001583,36820.55999999971,4375
IF0000,2022,1,40,-84.29999999997563,37587.389999999876,4375
IF0000,2022,1,50,-254.10000000000036,35970.72999999966,4375
IH0000,2022,1,0,168.19999999994707,17044.22000000002,4348
IH0000,2022,1,10,118.39999999999691,17373.759999999995,4348
IH0000,2022,1,20,27.399999999997362,18595.980000000043,4348
IH0000,2022,1,30,58.59999999997626,19089.099999999995,4348
IH0000,2022,1,40,-16.500000000009095,18963.609999999826,4348
IH0000,2022,1,50,-136.39999999996826,17572.09999999989,4348
IC0000,2022,2,0,-212.70000000001164,56693.04999999938,3708
IC0000,2022,2,10,-272.0999999999867,58076.60999999928,3708
IC0000,2022,2,20,-593.6000000000395,60132.25999999919,3708
IC0000,2022,2,30,-550.0999999999885,59147.38999999966,3708
IC0000,2022,2,40,-411.199999999978,59105.49999999917,3708
