code,year,month,sum_K20,n_K20,sum_K42,n_K42,sum_K60,n_K60,sum_K90,n_K90,sum_close,n_close
IC0000,2021,10,-123.69999999998345,3740,-68.49999999996271,3703,-408.99999999994816,3308,-659.899999999976,1425,-553.1999999999543,3740
IF0000,2021,10,-43.19999999999982,3707,-66.40000000006421,3574,-128.900000000026,3052,-360.29999999998927,1304,-210.00000000003365,3708
IH0000,2021,10,-64.49999999998226,3680,-57.09999999998672,3408,-107.29999999996198,2804,-215.69999999998663,1303,-140.19999999997754,3688
IC0000,2021,11,244.9000000000433,5125,304.79999999998927,5080,184.70000000005803,4699,-265.799999999992,2511,34.70000000003347,5125
IF0000,2021,11,76.30000000000746,5090,297.90000000002055,4982,226.40000000002328,4482,-6.700000000016189,2494,295.09999999999854,5090
IH0000,2021,11,70.70000000000891,5044,247.49999999998408,4866,107.29999999997744,4198,5.999999999990905,2034,343.3999999999928,5048
IC0000,2021,12,476.39999999998327,5348,358.9999999999627,5186,96.89999999997235,4520,-353.9999999999636,2339,-259.10000000004584,5351
IF0000,2021,12,324.1000000000031,5325,524.5000000000018,5307,318.1999999999416,5142,-150.20000000004075,3612,5.90000000001146,5325
IH0000,2021,12,444.39999999999736,5292,593.0,5258,435.80000000000746,4835,13.899999999980537,2520,212.50000000000227,5292
IC0000,2022,1,-190.70000000000528,4433,-632.0000000000018,4381,-1198.3000000000138,3991,-1137.2999999999947,1902,-1111.099999999994,4434
IF0000,2022,1,175.40000000000146,4411,-23.799999999980173,4361,-328.8000000000111,3986,-604.6999999999834,2285,-404.89999999999964,4412
IH0000,2022,1,46.70000000004302,4380,-76.39999999996417,4171,-231.69999999997708,3459,-354.29999999998154,1598,-161.79999999996244,4385
IC0000,2022,2,136.00000000007185,3739,124.90000000002146,3737,150.5999999999931,3688,-70.09999999994761,2608,219.9000000000351,3739
IF0000,2022,2,-59.19999999999618,3729,-210.00000000002,3722,-301.19999999998345,3642,-360.0999999999858,2540,-278.00000000004184,3729
IH0000,2022,2,-27.69999999999709,3670,-63.60000000001901,3583,-200.90000000002647,3047,-252.300000000002,1248,-98.80000000001928,3673
IC0000,2022,3,585.4999999999172,5387,1120.299999999901,5383,1193.3999999999842,5292,531.9999999999745,4018,1177.7999999999374,5387
IF0000,2022,3,657.8999999999828,5368,1085.700000000038,5368,1157.6999999999239,5366,737.8999999999342,5084,860.3999999999633,5368
IH0000,2022,3,352.10000000002674,5337,661.4999999999964,5324,696.8999999999933,5174,229.00000000000318,3567,501.89999999998054,5337
IC0000,2022,4,1090.1000000000276,4464,1937.3000000000047,4463,1684.0999999999613,4416,597.2999999999956,3432,683.7000000000507,4464
