code,year,month,avg_spread,med_spread,n
IH0000,2021,6,0.5876157911097385,0.599999999999909,16085
IC0000,2021,7,1.1117605216360642,1.0,16870
IF0000,2021,7,0.6869044492304862,0.6000000000003638,19037
IH0000,2021,7,0.583399906015041,0.599999999999909,17024
IC0000,2021,8,1.0601174709202206,1.0,17366
IF0000,2021,8,0.6426487543235442,0.6000000000003638,19949
IH0000,2021,8,0.5731708738996282,0.599999999999909,17153
IC0000,2021,9,1.0515354449472458,1.0,16575
IF0000,2021,9,0.6490081425214779,0.6000000000003638,18299
IH0000,2021,9,0.5691181193397213,0.599999999999909,15569
IC0000,2021,10,1.28316057464996,1.199999999999818,10998
IF0000,2021,10,0.8496105341246598,0.8000000000001819,10784
IH0000,2021,10,0.5904351482026517,0.599999999999909,9514
IC0000,2021,11,1.0166014606155853,1.0,15336
IF0000,2021,11,0.6685195011939955,0.6000000000003638,15076
IH0000,2021,11,0.5239997177334136,0.40000000000009095,14171
IC0000,2021,12,0.9647870662460967,1.0,15216
IF0000,2021,12,0.6301050966211226,0.6000000000003638,17698
IH0000,2021,12,0.5179712460064044,0.40000000000009095,15024
IC0000,2022,1,1.226311263972509,1.199999999999818,12793
IF0000,2022,1,0.8173706832666638,0.8000000000001819,13494
IH0000,2022,1,0.6125869493209685,0.599999999999909,12076
IC0000,2022,2,1.0492796281952288,1.0,12910
IF0000,2022,2,0.6845666953192403,0.6000000000003638,12797
IH0000,2022,2,0.5949336550060351,0.599999999999909,9948
IC0000,2022,3,1.5608230702955235,1.3999999999996362,19731
IF0000,2022,3,0.6533674495111289,0.6000000000003638,21886
IH0000,2022,3,0.6277867877608478,0.599999999999909,18498
IC0000,2022,4,1.5745561024235526,1.4000000000005457,16051
IF0000,2022,4,0.6887925478938571,0.6000000000003638,17069
IH0000,2022,4,0.6312168157684318,0.599999999999909,13749
IC0000,2022,5,1.1248662068965873,1.0,18125
IF0000,2022,5,0.6381542308348105,0.599999999999909,17597
IH0000,2022,5,0.5514928541106678,0.599999999999909,14134
IC0000,2022,6,1.2133562683396064,1.199999999999818,19766
IF0000,2022,6,0.5933533572328563,0.5999999999994543,20642
IH0000,2022,6,0.5321422663358254,0.599999999999909,18135
IC0000,2022,7,1.2482011122461016,1.199999999999818,17622
IF0000,2022,7,0.7050034586119778,0.6000000000003638,17348
IH0000,2022,7,0.5713582609884579,0.599999999999909,14629
IM0000,2022,7,1.7647893569845066,1.6000000000003638,4510
IC0000,2022,8,1.0923092553083673,1.0,19686
IF0000,2022,8,0.6502669039146066,0.6000000000003638,17984
IH0000,2022,8,0.5213336984800852,0.40000000000009095,14606
IM0000,2022,8,1.4654525201894093,1.3999999999996362,17955
IC0000,2022,9,1.246585735963599,1.199999999999818,17134
IF0000,2022,9,0.5089607364054878,0.40000000000009095,17599
IH0000,2022,9,0.46915887850468174,0.40000000000009095,14124
IM0000,2022,9,1.4453385094994822,1.3999999999996362,17001
IC0000,2022,10,1.6313419913420135,1.6000000000003638,12705
IF0000,2022,10,0.7920436944648315,0.7999999999997272,12267
IH0000,2022,10,0.5945099484156373,0.599999999999909,10856
IM0000,2022,10,1.7190318701142822,1.6000000000003638,13304
IC0000,2022,11,1.1023442088962747,1.0,18727
IF0000,2022,11,0.6138858821710336,0.599999999999909,19401
