tod,avg_spread,n,code,year,month
579,0.5756630265210825,2564,IF0000,2020,9
580,0.5562307692307842,2600,IF0000,2020,9
581,0.5830065359477294,2601,IF0000,2020,9
582,0.5432432432432485,2590,IF0000,2020,9
583,0.5651527016444841,2554,IF0000,2020,9
584,0.5244826239750072,2561,IF0000,2020,9
585,0.5413953488372235,2580,IF0000,2020,9
570,1.1259685863874538,1910,IC0000,2020,10
571,0.8612244897959189,1911,IC0000,2020,10
572,0.9627760252365982,1902,IC0000,2020,10
573,0.9574200314630424,1907,IC0000,2020,10
574,0.8847814639283972,1899,IC0000,2020,10
575,0.9426765015806384,1898,IC0000,2020,10
576,0.9202738283307168,1899,IC0000,2020,10
577,0.8607770090473906,1879,IC0000,2020,10
578,0.8876464323748964,1878,IC0000,2020,10
579,0.830139935414447,1858,IC0000,2020,10
580,0.8561738208797406,1887,IC0000,2020,10
581,0.7886872998932672,1874,IC0000,2020,10
582,0.812847033206316,1837,IC0000,2020,10
583,0.7956212370005515,1827,IC0000,2020,10
584,0.8205658324265673,1838,IC0000,2020,10
585,0.850569723277272,1843,IC0000,2020,10
570,0.9144660704892351,1901,IF0000,2020,10
571,0.7336875664187021,1882,IF0000,2020,10
572,0.7231914893617304,1880,IF0000,2020,10
573,0.7481283422460078,1870,IF0000,2020,10
574,0.7344883595019233,1847,IF0000,2020,10
575,0.7457066666666704,1875,IF0000,2020,10
576,0.7379955947136703,1816,IF0000,2020,10
577,0.7401889938855083,1799,IF0000,2020,10
578,0.7642577030812401,1785,IF0000,2020,10
579,0.7352517985611936,1807,IF0000,2020,10
580,0.736378291241288,1861,IF0000,2020,10
581,0.7105934553522109,1803,IF0000,2020,10
582,0.6832475700400411,1749,IF0000,2020,10
583,0.7356894553881962,1726,IF0000,2020,10
584,0.7211751662971221,1804,IF0000,2020,10
585,0.7696536558548958,1819,IF0000,2020,10
570,1.058349940215229,2509,IC0000,2020,11
571,0.8440542697526162,2506,IC0000,2020,11
572,0.8829540918163895,2505,IC0000,2020,11
573,0.8841516966067865,2505,IC0000,2020,11
574,0.8854961832061288,2489,IC0000,2020,11
575,0.8388800000000305,2500,IC0000,2020,11
576,0.8293054997992942,2491,IC0000,2020,11
577,0.7918929874341296,2467,IC0000,2020,11
578,0.8009768009768199,2457,IC0000,2020,11
579,0.8078753076292245,2438,IC0000,2020,11
580,0.8586248492159091,2487,IC0000,2020,11
581,0.8272950819672427,2440,IC0000,2020,11
582,0.8253081347576258,2434,IC0000,2020,11
583,0.7935027072053508,2401,IC0000,2020,11
584,0.8254861398427942,2417,IC0000,2020,11
585,0.8895144838841511,2451,IC0000,2020,11
570,0.8067012365377044,2507,IF0000,2020,11
571,0.6550340954673194,2493,IF0000,2020,11
572,0.6230675839741162,2471,IF0000,2020,11
573,0.6513894482481147,2483,IF0000,2020,11
574,0.6682151589242166,2454,IF0000,2020,11
575,0.6602595296026196,2466,IF0000,2020,11
576,0.6455291222313555,2438,IF0000,2020,11
577,0.6311523849725768,2369,IF0000,2020,11
578,0.6332624415142784,2351,IF0000,2020,11
579,0.6164279696714542,2374,IF0000,2020,11
580,0.657627118644078,2419,IF0000,2020,11
581,0.6605645851154964,2338,IF0000,2020,11
582,0.6799828546935638,2333,IF0000,2020,11
583,0.6708531831962227,2309,IF0000,2020,11
584,0.6552678571428625,2240,IF0000,2020,11
585,0.6853894736842266,2375,IF0000,2020,11
570,0.8412663755458608,2748,IC0000,2020,12
571,0.7430444282592947,2746,IC0000,2020,12
572,0.8429927007299457,2740,IC0000,2020,12
573,0.7708623853211201,2725,IC0000,2020,12
574,0.8013230429989117,2721,IC0000,2020,12
575,0.8109037687523067,2733,IC0000,2020,12
576,0.8450621799561241,2734,IC0000,2020,12
577,0.7712605659684034,2721,IC0000,2020,12
578,0.7604929051531121,2678,IC0000,2020,12
579,0.749888806523363,2698,IC0000,2020,12
580,0.7680324843115918,2709,IC0000,2020,12
581,0.772364990689024,2685,IC0000,2020,12
582,0.7537998495109126,2658,IC0000,2020,12
583,0.7252259036144876,2656,IC0000,2020,12
584,0.7880104908205449,2669,IC0000,2020,12
585,0.8568148148148332,2700,IC0000,2020,12
570,0.6617346938775603,2744,IF0000,2020,12
571,0.535988308366841,2737,IF0000,2020,12
572,0.5574405850091548,2735,IF0000,2020,12
573,0.5837738619677052,2724,IF0000,2020,12
574,0.5574768089054039,2695,IF0000,2020,12
575,0.5819121447028641,2709,IF0000,2020,12
576,0.5972723921858093,2713,IF0000,2020,12
577,0.5669133974833579,2702,IF0000,2020,12
578,0.548917102315181,2678,IF0000,2020,12
579,0.5474747474747661,2673,IF0000,2020,12
580,0.539063076355607,2711,IF0000,2020,12
581,0.5618587360594791,2690,IF0000,2020,12
582,0.5271763815291557,2642,IF0000,2020,12
583,0.5493957703927569,2648,IF0000,2020,12
584,0.5556995806328685,2623,IF0000,2020,12
585,0.5639209839731834,2683,IF0000,2020,12
570,1.6281012658227991,2370,IC0000,2021,1
571,1.2434266327396435,2358,IC0000,2021,1
572,1.392081736909327,2349,IC0000,2021,1
573,1.340000000000018,2290,IC0000,2021,1
574,1.4953206239168133,2308,IC0000,2021,1
575,1.404890829694333,2290,IC0000,2021,1
576,1.4022777047744546,2283,IC0000,2021,1
577,1.3606443186765582,2297,IC0000,2021,1
578,1.3849604221635963,2274,IC0000,2021,1
579,1.3889964788732627,2272,IC0000,2021,1
580,1.3775419982316708,2262,IC0000,2021,1
581,1.4456357997341769,2257,IC0000,2021,1
582,1.4602888086642776,2216,IC0000,2021,1
583,1.461524500907452,2204,IC0000,2021,1
584,1.5375515818432164,2181,IC0000,2021,1
585,1.4583828232069482,2189,IC0000,2021,1
570,1.09276094276095,2376,IF0000,2021,1
571,1.0198551342138995,2347,IF0000,2021,1
572,1.0448495125053152,2359,IF0000,2021,1
573,1.0474967907574098,2337,IF0000,2021,1
574,1.0706904038211251,2303,IF0000,2021,1
575,1.0758859118409976,2314,IF0000,2021,1
576,1.0453458582408306,2342,IF0000,2021,1
577,1.0691938997821406,2295,IF0000,2021,1
578,1.0248239436619901,2272,IF0000,2021,1
579,1.0658761528327014,2277,IF0000,2021,1
580,1.0596430126251906,2297,IF0000,2021,1
581,1.014136125654485,2292,IF0000,2021,1
582,1.003886127428851,2213,IF0000,2021,1
583,1.0398550724637796,2208,IF0000,2021,1
584,1.013169845594936,2202,IF0000,2021,1
585,1.0536474852741544,2207,IF0000,2021,1
570,1.3954113038612335,1787,IC0000,2021,2
571,1.0972425436128543,1777,IC0000,2021,2
572,1.1915062287655822,1766,IC0000,2021,2
573,1.0820658342792444,1762,IC0000,2021,2
574,1.0966304968589355,1751,IC0000,2021,2
575,1.075952245594106,1759,IC0000,2021,2
576,1.0799076212471308,1732,IC0000,2021,2
577,1.0380675203725322,1718,IC0000,2021,2
578,1.0048951048951476,1716,IC0000,2021,2
579,0.996009389671386,1704,IC0000,2021,2
580,1.105513639001773,1723,IC0000,2021,2
581,1.068501170960222,1708,IC0000,2021,2
582,1.0102747909199776,1674,IC0000,2021,2
583,1.0483909415971686,1678,IC0000,2021,2
584,1.0239091452480666,1673,IC0000,2021,2
585,1.0159580663948782,1717,IC0000,2021,2
570,0.9964305633017398,1793,IF0000,2021,2
571,0.7871220604703142,1786,IF0000,2021,2
572,0.8543820224719225,1780,IF0000,2021,2
573,0.8489726027397232,1752,IF0000,2021,2
574,0.7947247706422295,1744,IF0000,2021,2
575,0.7896013864818135,1731,IF0000,2021,2
576,0.7874643874644139,1755,IF0000,2021,2
577,0.7891329479769016,1730,IF0000,2021,2
578,0.7850641773629026,1714,IF0000,2021,2
579,0.7683110853163205,1723,IF0000,2021,2
