code,year,month,F,X,sum,sumsq,n
IM0000,2025,8,40,80,660.99999999989,92200.19999999959,4457
IM0000,2025,8,40,100,674.3999999999214,107255.96000000038,4457
IM0000,2025,8,40,110,574.9999999999081,113685.49999999978,4457
IM0000,2025,8,40,120,780.1999999999189,127743.01999999996,4448
IM0000,2025,8,40,140,191.2999999999356,161529.34999999945,4420
IM0000,2025,8,40,160,198.69999999992342,187029.26999999926,4420
IM0000,2025,8,40,180,131.89999999985776,200873.6899999982,4417
IM0000,2025,8,40,200,275.4999999999618,216301.0699999994,4368
IM0000,2025,8,40,220,209.1999999999298,228301.6399999987,4047
IM0000,2025,8,40,240,0.0,0.0,0
IM0000,2025,8,50,60,397.49999999988995,73569.4900000002,4457
IM0000,2025,8,50,80,374.59999999987576,89156.15999999963,4457
IM0000,2025,8,50,100,387.99999999990723,103715.52000000075,4457
IM0000,2025,8,50,110,288.59999999989395,110589.62000000007,4457
IM0000,2025,8,50,120,490.39999999990323,125355.34000000024,4448
IM0000,2025,8,50,140,-64.70000000007894,159281.23000000062,4420
IM0000,2025,8,50,160,-57.30000000009113,185061.9100000003,4420
IM0000,2025,8,50,180,-122.70000000015534,197777.8099999997,4417
IM0000,2025,8,50,200,32.89999999995598,212772.7900000004,4368
IM0000,2025,8,50,220,-37.00000000008731,225381.63999999897,4047
IM0000,2025,8,50,240,0.0,0.0,0
IM0000,2025,8,60,60,86.7000000000271,74790.04999999917,4457
IM0000,2025,8,60,80,63.800000000012915,88138.51999999926,4457
IM0000,2025,8,60,100,77.20000000004438,104547.47999999953,4457
IM0000,2025,8,60,110,-22.199999999968895,112291.9399999988,4457
IM0000,2025,8,60,120,183.40000000003783,126523.3799999987,4448
IM0000,2025,8,60,140,-351.2999999999447,161728.34999999945,4420
IM0000,2025,8,60,160,-343.8999999999569,188364.7899999992,4420
IM0000,2025,8,60,180,-409.3000000000211,200339.1699999986,4417
IM0000,2025,8,60,200,-254.29999999991742,215548.38999999987,4368
IM0000,2025,8,60,220,-373.99999999995816,227139.67999999903,4047
IM0000,2025,8,60,240,0.0,0.0,0
IM0000,2025,8,70,60,123.89999999996962,109049.84999999937,4457
IM0000,2025,8,70,80,100.99999999995543,89747.51999999915,4457
IM0000,2025,8,70,100,114.3999999999869,105333.40000000002,4457
IM0000,2025,8,70,110,14.999999999973625,113899.85999999913,4457
IM0000,2025,8,70,120,221.59999999997854,128466.69999999893,4448
IM0000,2025,8,70,140,-301.10000000000946,162437.31000000014,4420
IM0000,2025,8,70,160,-293.70000000002165,189119.06999999937,4420
IM0000,2025,8,70,180,-362.90000000008877,201348.80999999904,4417
IM0000,2025,8,70,200,-199.49999999998,217498.46999999962,4368
IM0000,2025,8,70,220,-366.99999999999454,228558.15999999872,4047
