date,c1115,c1119,c1120,c1129,o1121,code,ym
2020-04-01,2709.1000000000004,2703.3999999999996,2702.3999999999996,2691.2,2702.3999999999996,IH0000,2020-04
2020-04-02,2677.5,2679.3999999999996,2680.8,2678.0,2680.8,IH0000,2020-04
2020-04-03,2706.1000000000004,2703.5,2701.5,2703.9,2701.3999999999996,IH0000,2020-04
2020-04-07,2749.0,2746.1000000000004,2739.1000000000004,2744.1,2739.7,IH0000,2020-04
2020-04-08,2733.7,2732.1000000000004,2731.3999999999996,2733.2,2731.5,IH0000,2020-04
2020-04-09,2738.6000000000004,2739.3999999999996,2738.8999999999996,2739.1000000000004,2739.0,IH0000,2020-04
2020-04-10,2762.7,2757.2,2757.3,2752.2,2757.3999999999996,IH0000,2020-04
2020-04-13,2735.6000000000004,2735.5,2734.8999999999996,2736.5,2734.8,IH0000,2020-04
2020-04-14,2754.1,2752.2,2753.1,2753.1000000000004,2753.1,IH0000,2020-04
2020-04-15,2766.8999999999996,2766.5,2764.5,2763.2,2764.1000000000004,IH0000,2020-04
2020-04-16,2758.7,2755.8,2756.8,2755.2,2756.8,IH0000,2020-04
2020-04-17,2742.3,2744.2,2744.7,2744.4,2744.6000000000004,IH0000,2020-04
2020-04-20,2779.1,2781.3999999999996,2781.6000000000004,2778.8,2781.6000000000004,IH0000,2020-04
2020-04-21,2744.6000000000004,2746.2,2745.1,2738.2,2745.2,IH0000,2020-04
2020-04-22,2740.9,2738.6000000000004,2736.9,2741.6000000000004,2737.0,IH0000,2020-04
2020-04-23,2760.3999999999996,2759.2,2759.1,2761.4,2759.0,IH0000,2020-04
2020-04-24,2757.5,2757.3999999999996,2757.3999999999996,2755.2,2757.5,IH0000,2020-04
2020-04-27,2792.3,2792.3999999999996,2793.5,2794.1000000000004,2793.3,IH0000,2020-04
2020-04-28,2803.4,2806.5,2808.8,2813.1,2808.8,IH0000,2020-04
2020-04-29,2821.1000000000004,2818.3999999999996,2817.5,2821.1000000000004,2817.5,IH0000,2020-04
2020-04-30,2854.1000000000004,2849.3999999999996,2849.1,2850.9,2849.1,IH0000,2020-04
2020-05-06,5364.700000000001,5367.200000000001,5372.9,5375.5,5373.3,IC0000,2020-05
2020-05-07,5426.299999999999,5423.0,5418.200000000001,5417.9,5418.1,IC0000,2020-05
2020-05-08,5475.299999999999,5473.5,5476.6,5471.3,5476.6,IC0000,2020-05
2020-05-11,5495.1,5483.4,5483.4,5472.5,5482.8,IC0000,2020-05
2020-05-12,5462.2,5456.1,5452.299999999999,5440.9,5452.1,IC0000,2020-05
2020-05-13,5404.2,5405.7,5403.4,5406.8,5403.4,IC0000,2020-05
2020-05-14,5421.4,5415.5,5414.7,5418.7,5414.799999999999,IC0000,2020-05
2020-05-15,5438.7,5448.9,5448.7,5452.3,5448.5,IC0000,2020-05
2020-05-18,5415.299999999999,5414.0,5418.9,5440.5,5419.2,IC0000,2020-05
2020-05-19,5424.6,5422.9,5421.5,5435.8,5421.4,IC0000,2020-05
2020-05-20,5415.0,5426.1,5425.2,5416.9,5426.0,IC0000,2020-05
2020-05-21,5407.1,5405.5,5401.8,5395.8,5401.5,IC0000,2020-05
2020-05-22,5290.9,5284.3,5283.3,5287.9,5283.3,IC0000,2020-05
2020-05-25,5274.4,5260.700000000001,5257.8,5248.700000000001,5257.8,IC0000,2020-05
2020-05-26,5321.299999999999,5329.4,5329.3,5324.2,5329.3,IC0000,2020-05
2020-05-27,5292.7,5301.8,5299.4,5306.9,5300.1,IC0000,2020-05
2020-05-28,5251.5,5254.0,5252.3,5239.700000000001,5251.5,IC0000,2020-05
2020-05-29,5314.4,5312.4,5309.4,5311.5,5310.1,IC0000,2020-05
2020-05-06,3887.3,3887.7,3889.9,3891.2,3890.0,IF0000,2020-05
2020-05-07,3915.1,3915.2,3913.2,3911.9,3913.2,IF0000,2020-05
2020-05-08,3953.3,3952.5,3954.8,3957.7,3954.7,IF0000,2020-05
2020-05-11,3976.8,3970.2,3969.8999999999996,3965.2,3969.8999999999996,IF0000,2020-05
2020-05-12,3945.0,3943.6,3942.7,3936.2,3942.9,IF0000,2020-05
2020-05-13,3938.3,3939.8,3937.8,3938.9,3937.8999999999996,IF0000,2020-05
2020-05-14,3892.7,3890.2,3889.5,3890.2,3889.9,IF0000,2020-05
2020-05-15,3886.5,3889.0,3889.3,3887.3999999999996,3889.6000000000004,IF0000,2020-05
2020-05-18,3894.5,3891.5,3893.8,3902.3,3894.1000000000004,IF0000,2020-05
2020-05-19,3906.7,3904.0,3902.7,3907.3,3902.7,IF0000,2020-05
2020-05-20,3898.5,3902.0,3901.3,3899.2,3901.3999999999996,IF0000,2020-05
2020-05-21,3904.1,3903.7,3901.5,3897.7,3901.0,IF0000,2020-05
2020-05-22,3817.0,3816.1,3813.6000000000004,3816.4,3813.6000000000004,IF0000,2020-05
2020-05-25,3798.6000000000004,3790.3999999999996,3790.1000000000004,3783.3,3790.1000000000004,IF0000,2020-05
2020-05-26,3813.8,3817.3999999999996,3817.3999999999996,3818.3,3817.5,IF0000,2020-05
2020-05-27,3803.9,3807.8,3807.6000000000004,3813.8,3807.6000000000004,IF0000,2020-05
2020-05-28,3804.7,3806.6000000000004,3804.9,3789.1000000000004,3804.8,IF0000,2020-05
2020-05-29,3817.6000000000004,3815.3,3815.6000000000004,3818.9,3815.6000000000004,IF0000,2020-05
2020-05-06,2827.7,2826.9,2827.6000000000004,2829.2,2827.5,IH0000,2020-05
2020-05-07,2841.7,2843.1,2841.7,2841.3,2841.9,IH0000,2020-05
2020-05-08,2866.0,2866.2,2868.3,2870.7,2868.3,IH0000,2020-05
2020-05-11,2883.9,2879.8999999999996,2879.6000000000004,2877.1,2879.6000000000004,IH0000,2020-05
2020-05-12,2822.4,2823.3999999999996,2823.0,2818.1,2822.7,IH0000,2020-05
2020-05-13,2813.2,2815.0,2814.0,2813.6,2813.8999999999996,IH0000,2020-05
2020-05-14,2803.3999999999996,2803.7,2802.7,2802.8999999999996,2802.6000000000004,IH0000,2020-05
2020-05-15,2794.5,2795.6,2795.7,2794.7,2795.7,IH0000,2020-05
2020-05-18,2812.5,2811.1,2812.5,2817.0,2812.7,IH0000,2020-05
2020-05-19,2826.3999999999996,2825.3999999999996,2825.0,2827.0,2824.9,IH0000,2020-05
2020-05-20,2826.0,2827.8,2827.5,2826.8,2827.3999999999996,IH0000,2020-05
2020-05-21,2836.3999999999996,2836.3,2834.9,2833.8,2834.8,IH0000,2020-05
2020-05-22,2772.1000000000004,2772.5,2771.3999999999996,2772.9,2771.5,IH0000,2020-05
2020-05-25,2759.2,2753.7,2754.5,2751.3,2754.5,IH0000,2020-05
2020-05-26,2764.3,2766.4,2766.8,2768.7,2766.8999999999996,IH0000,2020-05
2020-05-27,2764.0,2765.8,2766.2,2770.7,2766.5,IH0000,2020-05
2020-05-28,2773.5,2775.5,2774.6000000000004,2762.0,2774.5,IH0000,2020-05
2020-05-29,2775.1,2773.7,2774.6000000000004,2775.8,2774.7,IH0000,2020-05
