win,avg_spread,n,code,year,month
855,0.4569695427165657,23574,IH0000,2020,4
870,0.4357157970462688,23631,IH0000,2020,4
885,0.3927795954789156,26896,IH0000,2020,4
900,0.7799999999999272,10,IH0000,2020,4
570,0.6405674293067926,31863,IC0000,2020,5
585,0.5942546133780647,31051,IC0000,2020,5
600,0.6183833072648685,30049,IC0000,2020,5
615,0.6058321040173462,29149,IC0000,2020,5
630,0.579477611940374,28944,IC0000,2020,5
645,0.5754070508283268,28252,IC0000,2020,5
660,0.5684349212953925,28842,IC0000,2020,5
675,0.5768209865904312,29009,IC0000,2020,5
690,0.6444444444445657,9,IC0000,2020,5
780,0.5863027666372793,29422,IC0000,2020,5
795,0.5618488988796433,28471,IC0000,2020,5
810,0.5713667175356364,28177,IC0000,2020,5
825,0.5565977571567406,27911,IC0000,2020,5
840,0.5471934754301199,29182,IC0000,2020,5
855,0.5457604773800312,28824,IC0000,2020,5
870,0.5504405584926753,29508,IC0000,2020,5
885,0.44250930217387396,30638,IC0000,2020,5
900,0.41428571428579225,14,IC0000,2020,5
570,0.4338087591700919,31761,IF0000,2020,5
585,0.40387252661140977,30626,IF0000,2020,5
600,0.41786983450099496,29547,IF0000,2020,5
615,0.4053770630256805,28417,IF0000,2020,5
630,0.4058846275530233,28447,IF0000,2020,5
645,0.4052503363269702,27503,IF0000,2020,5
660,0.40962918019917444,28019,IF0000,2020,5
675,0.40957112223019637,27980,IF0000,2020,5
690,0.5571428571428052,14,IF0000,2020,5
780,0.40162257495594833,28350,IF0000,2020,5
795,0.3901480328640538,27629,IF0000,2020,5
810,0.3833867698544644,27135,IF0000,2020,5
825,0.3948666443477553,26883,IF0000,2020,5
840,0.3895437943135683,27926,IF0000,2020,5
855,0.4077102384795016,27885,IF0000,2020,5
870,0.4091955612403989,28927,IF0000,2020,5
885,0.3489797283736352,29894,IF0000,2020,5
900,0.7384615384615315,13,IF0000,2020,5
570,0.4781654627232083,29348,IH0000,2020,5
585,0.4525737602008981,25488,IH0000,2020,5
600,0.44957083443944085,22602,IH0000,2020,5
615,0.44638299985105817,20141,IH0000,2020,5
630,0.43699659386897044,19964,IH0000,2020,5
645,0.4186049052275059,18307,IH0000,2020,5
660,0.41849723174268333,18965,IH0000,2020,5
675,0.44471657754011146,18700,IH0000,2020,5
780,0.42647901234568103,20250,IH0000,2020,5
795,0.4122753224783296,18916,IH0000,2020,5
810,0.4005050505050544,18216,IH0000,2020,5
825,0.40478230662343645,17272,IH0000,2020,5
840,0.41290488696637195,19419,IH0000,2020,5
855,0.41906255068389753,18497,IH0000,2020,5
870,0.3936850766224469,19446,IH0000,2020,5
885,0.36984453180844623,22384,IH0000,2020,5
900,0.5,8,IH0000,2020,5
690,0.6333333333332879,6,IH0000,2020,5
570,0.6278466709980873,35401,IC0000,2020,6
585,0.6069766759572481,34085,IC0000,2020,6
600,0.5923450753117488,33129,IC0000,2020,6
615,0.6099681144166965,32303,IC0000,2020,6
630,0.5844696022017254,31976,IC0000,2020,6
645,0.5846563699217482,31531,IC0000,2020,6
660,0.5876659744510186,31782,IC0000,2020,6
675,0.5868905472637793,32160,IC0000,2020,6
690,0.7866666666664969,15,IC0000,2020,6
780,0.5838796516232013,31575,IC0000,2020,6
795,0.5701493502296023,30934,IC0000,2020,6
810,0.5653581467481572,30951,IC0000,2020,6
825,0.5757964322493613,30103,IC0000,2020,6
840,0.5473743471054513,31973,IC0000,2020,6
855,0.5487965543451634,31576,IC0000,2020,6
870,0.5301659843220305,31509,IC0000,2020,6
885,0.45268403306190796,33513,IC0000,2020,6
900,0.33846153846137056,13,IC0000,2020,6
570,0.44330170563654064,35412,IF0000,2020,6
585,0.41698329271519596,34057,IF0000,2020,6
600,0.41725228073348875,33213,IF0000,2020,6
615,0.41721729280728986,31782,IF0000,2020,6
630,0.4085836102577349,31898,IF0000,2020,6
645,0.41097156243903854,30734,IF0000,2020,6
660,0.4178207641142969,31121,IF0000,2020,6
675,0.41736030828520937,31140,IF0000,2020,6
690,0.44615384615389514,13,IF0000,2020,6
780,0.4025155219868588,31246,IF0000,2020,6
795,0.3974684372342882,30574,IF0000,2020,6
810,0.39013183915627125,30340,IF0000,2020,6
825,0.3887281863244751,29454,IF0000,2020,6
840,0.3876755119427417,31693,IF0000,2020,6
855,0.4074406265791301,31664,IF0000,2020,6
870,0.40738261391271335,31669,IF0000,2020,6
885,0.35119961612290884,33344,IF0000,2020,6
900,0.6923076923076923,13,IF0000,2020,6
570,0.4920372659571474,33167,IH0000,2020,6
585,0.4522164751623084,28807,IH0000,2020,6
600,0.44607449856735304,26175,IH0000,2020,6
615,0.4380931668913995,22991,IH0000,2020,6
630,0.41613807604697123,22828,IH0000,2020,6
645,0.4141940960105666,21206,IH0000,2020,6
660,0.4195090909090969,22000,IH0000,2020,6
675,0.42465571447549927,22583,IH0000,2020,6
690,0.6999999999999886,8,IH0000,2020,6
780,0.4106315598986702,22104,IH0000,2020,6
795,0.39639016897082086,20832,IH0000,2020,6
810,0.4030991735537283,21296,IH0000,2020,6
825,0.4084210526315824,19950,IH0000,2020,6
840,0.4167746485080994,22689,IH0000,2020,6
855,0.4206194196428645,21504,IH0000,2020,6
870,0.40473915893978896,21354,IH0000,2020,6
885,0.36379256725240305,25724,IH0000,2020,6
900,0.8181818181817355,11,IH0000,2020,6
570,1.0285187968102436,41257,IC0000,2020,7
585,1.0111680352984558,40795,IC0000,2020,7
600,1.0193337328938334,40044,IC0000,2020,7
615,0.9896235654554516,39821,IC0000,2020,7
630,0.9840287011716571,39859,IC0000,2020,7
645,0.9979850404518696,39306,IC0000,2020,7
660,1.01441064735731,39221,IC0000,2020,7
675,1.0177547975511172,38874,IC0000,2020,7
690,1.3750000000001137,16,IC0000,2020,7
780,0.9863600276590245,39047,IC0000,2020,7
795,0.9746385727468893,39012,IC0000,2020,7
810,1.0330636310268548,39179,IC0000,2020,7
825,1.0537031217264197,38184,IC0000,2020,7
840,0.9610649605283903,38762,IC0000,2020,7
855,0.9636589019162548,38722,IC0000,2020,7
870,0.9503884686158556,39128,IC0000,2020,7
885,0.7475030725627686,39869,IC0000,2020,7
900,0.9368421052631196,19,IC0000,2020,7
570,0.6547683659625166,41272,IF0000,2020,7
585,0.630214420185445,40901,IF0000,2020,7
600,0.6399504766622349,40385,IF0000,2020,7
615,0.6081054201890629,40220,IF0000,2020,7
630,0.6116934081765434,40262,IF0000,2020,7
645,0.621491814444034,39643,IF0000,2020,7
660,0.6124933747256366,39621,IF0000,2020,7
