code,tod,avg_ticks,ndays
IH0000,617,93.86094477711244,1503
IH0000,618,92.92015968063872,1503
IH0000,619,92.53226879574186,1503
IH0000,620,95.6480372588157,1503
IH0000,621,93.25681969394545,1503
IH0000,622,91.48037258815702,1503
IH0000,623,90.49234863606121,1503
IH0000,624,89.44777112441783,1503
IH0000,625,91.9940119760479,1503
IH0000,626,89.6067864271457,1503
IH0000,627,89.24018629407851,1503
IH0000,628,88.30073186959414,1503
IH0000,629,90.44178310046574,1503
IH0000,630,98.94610778443113,1503
IH0000,631,95.05721889554225,1503
IH0000,632,92.53559547571524,1503
IH0000,633,91.16034597471723,1503
IH0000,634,90.41117764471058,1503
IH0000,635,92.21357285429141,1503
IH0000,636,90.3286759813706,1503
IH0000,637,88.65735196274119,1503
IH0000,638,88.12707917498336,1503
IH0000,639,88.20758483033931,1503
IH0000,640,90.42381902860944,1503
IH0000,641,88.62940785096474,1503
IH0000,642,87.05123087159015,1503
IH0000,643,86.44510978043913,1503
IH0000,644,85.73785761809714,1503
IH0000,645,89.42049234863606,1503
IH0000,646,89.020625415835,1503
IH0000,647,87.18030605455755,1503
IH0000,648,86.04125083167,1503
IH0000,649,85.2022621423819,1503
IH0000,650,88.95475715236195,1503
IH0000,651,86.79308050565535,1503
IH0000,652,85.14171656686626,1503
IH0000,653,84.01530272787758,1503
IH0000,654,83.78043912175649,1503
IH0000,655,85.76846307385229,1503
IH0000,656,83.84497671324019,1503
IH0000,657,83.32801064537591,1503
IH0000,658,82.9560878243513,1503
IH0000,659,83.66932801064537,1503
IH0000,660,90.97139055222888,1503
IH0000,661,88.0731869594145,1503
IH0000,662,85.97205588822355,1503
IH0000,663,85.44777112441783,1503
IH0000,664,84.13705921490353,1503
IH0000,665,85.78642714570859,1503
IH0000,666,84.61011310711909,1503
IH0000,667,83.15302727877578,1503
IH0000,668,82.98336660013307,1503
IH0000,669,82.21956087824351,1503
IH0000,670,85.45176314038589,1503
IH0000,671,83.74983366600134,1503
IH0000,672,83.2348636061211,1503
IH0000,673,81.83033932135729,1503
IH0000,674,81.97471723220227,1503
IH0000,675,85.2874251497006,1503
IH0000,676,83.43579507651364,1503
IH0000,677,82.46640053226879,1503
IH0000,678,82.3200266134398,1503
IH0000,679,81.84564204923487,1503
IH0000,680,86.14570858283433,1503
IH0000,681,84.36726546906188,1503
IH0000,682,82.51497005988024,1503
IH0000,683,81.41117764471058,1503
IH0000,684,80.71124417831005,1503
IH0000,685,84.020625415835,1503
IH0000,686,80.42448436460413,1503
IH0000,687,80.06719893546241,1503
IH0000,688,76.92282102461743,1503
IH0000,689,84.8709248170326,1503
IH0000,690,1.0033898305084745,885
IH0000,780,101.7651363938789,1503
IH0000,781,92.73386560212907,1503
IH0000,782,90.35528942115768,1503
IH0000,783,88.54624085163007,1503
IH0000,784,86.77312042581504,1503
IH0000,785,90.65202927478377,1503
IH0000,786,87.46773120425814,1503
IH0000,787,86.16833000665336,1503
IH0000,788,84.54956753160346,1503
IH0000,789,84.81969394544245,1503
IH0000,790,88.11510312707918,1503
IH0000,791,84.57418496340652,1503
IH0000,792,83.56487025948104,1503
IH0000,793,82.03925482368597,1503
IH0000,794,82.05322687957418,1503
IH0000,795,85.54091816367266,1503
IH0000,796,81.92880904856953,1503
IH0000,797,80.604125083167,1503
IH0000,798,80.44311377245509,1503
IH0000,799,80.72455089820359,1503
IH0000,800,84.26546906187625,1503
IH0000,801,81.92548236859614,1503
IH0000,802,79.93612774451098,1503
IH0000,803,79.70924817032602,1503
IH0000,804,80.6274118429807,1503
IH0000,805,83.01064537591483,1503
IH0000,806,80.72322022621424,1503
IH0000,807,80.7771124417831,1503
IH0000,808,79.74517631403859,1503
IH0000,809,80.82368596141052,1503
IH0000,810,89.33333333333333,1503
IH0000,811,86.187624750499,1503
IH0000,812,83.47039254823686,1503
IH0000,813,82.98003992015968,1503
IH0000,814,82.33998669328011,1503
IH0000,815,84.13838988689288,1503
IH0000,816,83.06586826347305,1503
IH0000,817,81.10179640718563,1503
IH0000,818,80.79707252162342,1503
IH0000,819,81.17365269461078,1503
IH0000,820,84.32534930139721,1503
IH0000,821,82.33067198935463,1503
IH0000,822,81.7332002661344,1503
IH0000,823,80.32667997338656,1503
IH0000,824,80.54557551563539,1503
IH0000,825,83.90751829673985,1503
IH0000,826,81.21889554224883,1503
IH0000,827,80.14903526280771,1503
IH0000,828,79.84231536926147,1503
IH0000,829,79.1350632069195,1503
IH0000,830,82.50299401197604,1503
IH0000,831,80.87824351297405,1503
IH0000,832,79.66333998669327,1503
IH0000,833,78.86027944111777,1503
IH0000,834,79.47837658017299,1503
IH0000,835,81.7152361942781,1503
IH0000,836,79.35928143712574,1503
IH0000,837,78.39853626081171,1503
IH0000,838,77.57285429141717,1503
IH0000,839,80.63206919494344,1503
IH0000,840,90.56686626746507,1503
IH0000,841,87.22954091816368,1503
IH0000,842,84.97471723220227,1503
IH0000,843,84.29873586161011,1503
IH0000,844,83.395874916833,1503
IH0000,845,84.88423153692615,1503
IH0000,846,83.23819028609448,1503
IH0000,847,81.58483033932136,1503
IH0000,848,80.79574184963407,1503
IH0000,849,81.39387890884898,1503
IH0000,850,84.2814371257485,1503
IH0000,851,82.54690618762476,1503
IH0000,852,80.78243512974052,1503
IH0000,853,79.83699268130405,1503
IH0000,854,79.0791749833666,1503
IH0000,855,83.39387890884898,1503
IH0000,856,80.52628077178976,1503
IH0000,857,80.28010645375915,1503
IH0000,858,79.16899534264803,1503
IH0000,859,79.21157684630738,1503
IH0000,860,83.42581503659348,1503
IH0000,861,80.54291417165669,1503
IH0000,862,79.1350632069195,1503
IH0000,863,78.39055222887558,1503
IH0000,864,78.13373253493015,1503
IH0000,865,79.78376580172987,1503
IH0000,866,78.3579507651364,1503
IH0000,867,79.26746506986028,1503
IH0000,868,78.8502994011976,1503
IH0000,869,79.15502328675981,1503
IH0000,870,90.08715901530273,1503
IH0000,871,86.6187624750499,1503
IH0000,872,84.12441783100466,1503
IH0000,873,83.3200266134398,1503
IH0000,874,82.03060545575515,1503
IH0000,875,84.10312707917498,1503
IH0000,876,82.83898868928809,1503
IH0000,877,81.11776447105788,1503
IH0000,878,80.74051896207585,1503
IH0000,879,81.74584165003327,1503
IH0000,880,84.96407185628742,1503
IH0000,881,83.42115768463074,1503
IH0000,882,83.16101131071191,1503
IH0000,883,83.37658017298736,1503
IH0000,884,83.15768463073853,1503
IH0000,885,89.38855622089154,1503
IH0000,886,87.1643379906853,1503
IH0000,887,85.71457085828344,1503
IH0000,888,85.55222887558217,1503
IH0000,889,85.9767132401863,1503
IH0000,890,91.9148369926813,1503
IH0000,891,89.92215568862275,1503
IH0000,892,91.29807052561543,1503
IH0000,893,92.68729208250166,1503
IH0000,894,92.53759148369927,1503
IH0000,895,98.65801729873586,1503
IH0000,896,96.79973386560214,1503
IH0000,897,98.50033266799734,1503
IH0000,898,101.47571523619428,1503
IH0000,899,108.48702594810379,1503
IH0000,900,1.0,887
IM0000,570,119.15706214689266,885
IM0000,571,118.49265536723163,885
IM0000,572,118.45762711864407,885
IM0000,573,117.94689265536724,885
IM0000,574,117.27570621468927,885
IM0000,575,117.65310734463277,885
IM0000,576,116.96723163841808,885
IM0000,577,116.56836158192091,885
IM0000,578,116.25310734463277,885
IM0000,579,116.11525423728814,885
IM0000,580,116.54802259887006,885
IM0000,581,115.87570621468926,885
IM0000,582,115.01694915254237,885
IM0000,583,114.54915254237288,885
IM0000,584,114.23050847457627,885
IM0000,585,115.30282485875706,885
IM0000,586,114.22033898305085,885
IM0000,587,113.79887005649718,885
IM0000,588,113.34463276836158,885
IM0000,589,112.9819209039548,885
IM0000,590,114.39435028248587,885
IM0000,591,113.29039548022598,885
IM0000,592,112.60564971751413,885
IM0000,593,112.23841807909605,885
