date,o1415,c1429,minmove_sum,code,ym
2020-03-25,2692.8,2686.8999999999996,-4.300000000000182,IH0000,2020-03
2020-03-26,2676.4,2677.3999999999996,1.6000000000003638,IH0000,2020-03
2020-03-27,2700.6000000000004,2698.8,-0.900000000000091,IH0000,2020-03
2020-03-30,2676.7,2673.2,-2.599999999998545,IH0000,2020-03
2020-03-31,2672.7,2679.5,6.499999999999545,IH0000,2020-03
2020-04-01,4953.5,4959.0,7.099999999997635,IC0000,2020-04
2020-04-02,5063.5,5086.8,22.599999999998545,IC0000,2020-04
2020-04-03,5036.2,5058.700000000001,22.400000000000546,IC0000,2020-04
2020-04-07,5233.5,5230.5,-2.199999999997999,IC0000,2020-04
2020-04-08,5220.6,5210.1,-9.799999999999272,IC0000,2020-04
2020-04-09,5283.1,5289.9,7.899999999998727,IC0000,2020-04
2020-04-10,5178.9,5183.5,4.5000000000009095,IC0000,2020-04
2020-04-13,5146.8,5140.6,-5.699999999999818,IC0000,2020-04
2020-04-14,5239.1,5243.6,5.100000000002183,IC0000,2020-04
2020-04-15,5259.6,5257.200000000001,-2.5,IC0000,2020-04
2020-04-16,5304.8,5314.9,9.999999999997272,IC0000,2020-04
2020-04-17,5255.7,5238.3,-20.400000000000546,IC0000,2020-04
2020-04-20,5292.6,5300.1,7.599999999997635,IC0000,2020-04
2020-04-21,5216.0,5243.8,26.500000000003638,IC0000,2020-04
2020-04-22,5287.9,5286.6,-1.2999999999974534,IC0000,2020-04
2020-04-23,5299.0,5290.0,-9.399999999997817,IC0000,2020-04
2020-04-24,5210.700000000001,5200.4,-8.700000000002547,IC0000,2020-04
2020-04-27,5213.0,5197.299999999999,-12.400000000000546,IC0000,2020-04
2020-04-28,5185.1,5168.5,-15.100000000000364,IC0000,2020-04
2020-04-29,5173.6,5179.5,6.700000000000728,IC0000,2020-04
2020-04-30,5331.4,5343.4,10.800000000000182,IC0000,2020-04
2020-04-01,3647.0,3651.8999999999996,5.899999999998727,IF0000,2020-04
2020-04-02,3689.7,3702.6,11.599999999999454,IF0000,2020-04
2020-04-03,3682.2,3692.2,9.300000000000182,IF0000,2020-04
2020-04-07,3789.6000000000004,3784.6,-4.400000000000546,IF0000,2020-04
2020-04-08,3763.3,3752.2,-11.900000000000546,IF0000,2020-04
2020-04-09,3779.7,3782.3999999999996,2.900000000001455,IF0000,2020-04
2020-04-10,3756.1,3757.6000000000004,0.599999999999909,IF0000,2020-04
2020-04-13,3745.3,3742.6000000000004,-2.600000000000364,IF0000,2020-04
2020-04-14,3796.8,3798.5,0.9000000000005457,IF0000,2020-04
2020-04-15,3796.2,3793.1,-2.5000000000004547,IF0000,2020-04
2020-04-16,3791.2,3797.1000000000004,7.500000000000455,IF0000,2020-04
2020-04-17,3807.7,3795.7,-12.100000000000819,IF0000,2020-04
2020-04-20,3805.8,3808.9,3.5000000000009095,IF0000,2020-04
2020-04-21,3747.8,3759.3,11.400000000000091,IF0000,2020-04
2020-04-22,3779.7,3780.5,0.8000000000024556,IF0000,2020-04
2020-04-23,3792.3999999999996,3790.7,-1.4000000000010004,IF0000,2020-04
2020-04-24,3767.3,3764.3999999999996,-3.0000000000004547,IF0000,2020-04
2020-04-27,3797.1,3790.9,-5.499999999998636,IF0000,2020-04
2020-04-28,3824.3,3819.7,-5.500000000002274,IF0000,2020-04
2020-04-29,3828.9,3831.9,3.299999999999727,IF0000,2020-04
2020-04-30,3898.8,3905.3,7.800000000000637,IF0000,2020-04
2020-04-01,2667.7,2670.5,4.399999999998272,IH0000,2020-04
2020-04-02,2689.5,2694.8999999999996,5.5,IH0000,2020-04
2020-04-03,2687.1000000000004,2691.5,3.9000000000005457,IH0000,2020-04
2020-04-07,2751.4,2747.1,-3.299999999999727,IH0000,2020-04
2020-04-08,2732.9,2726.3,-6.999999999998181,IH0000,2020-04
2020-04-09,2741.3999999999996,2742.7,1.3000000000010914,IH0000,2020-04
2020-04-10,2738.5,2739.5,1.4999999999995453,IH0000,2020-04
2020-04-13,2732.5,2731.0,-2.000000000001819,IH0000,2020-04
2020-04-14,2767.3999999999996,2767.7,0.30000000000063665,IH0000,2020-04
2020-04-15,2762.7,2760.2,-2.199999999999818,IH0000,2020-04
2020-04-16,2761.5,2765.3,2.5000000000009095,IH0000,2020-04
2020-04-17,2741.1000000000004,2733.3,-6.0,IH0000,2020-04
2020-04-20,2782.6000000000004,2784.3999999999996,1.8999999999991815,IH0000,2020-04
2020-04-21,2741.6,2746.7,4.800000000000182,IH0000,2020-04
2020-04-22,2753.8999999999996,2755.2,0.9999999999995453,IH0000,2020-04
2020-04-23,2763.5,2764.9,1.5999999999994543,IH0000,2020-04
2020-04-24,2751.7,2751.1,-0.7999999999983629,IH0000,2020-04
2020-04-27,2781.8999999999996,2780.3,-0.7999999999988177,IH0000,2020-04
2020-04-28,2806.4,2805.7,-1.5,IH0000,2020-04
2020-04-29,2812.6000000000004,2816.3999999999996,2.600000000000364,IH0000,2020-04
2020-04-30,2849.9,2852.9,1.800000000000182,IH0000,2020-04
2020-05-06,5402.4,5420.799999999999,18.00000000000091,IC0000,2020-05
2020-05-07,5413.7,5419.9,3.6000000000040018,IC0000,2020-05
2020-05-08,5481.4,5486.1,5.4999999999990905,IC0000,2020-05
2020-05-11,5459.9,5460.9,2.099999999994907,IC0000,2020-05
2020-05-12,5474.6,5470.6,-2.1999999999970896,IC0000,2020-05
2020-05-13,5430.2,5438.9,8.300000000000182,IC0000,2020-05
2020-05-14,5393.6,5397.6,3.900000000001455,IC0000,2020-05
2020-05-15,5438.8,5431.1,-7.400000000000546,IC0000,2020-05
2020-05-18,5424.5,5413.6,-9.899999999998727,IC0000,2020-05
2020-05-19,5455.8,5454.8,-0.7999999999992724,IC0000,2020-05
2020-05-20,5397.799999999999,5409.0,10.099999999999454,IC0000,2020-05
2020-05-21,5357.6,5344.6,-15.5,IC0000,2020-05
2020-05-22,5288.0,5291.299999999999,2.800000000000182,IC0000,2020-05
2020-05-25,5242.0,5253.4,13.400000000001455,IC0000,2020-05
2020-05-26,5322.1,5339.8,18.700000000001637,IC0000,2020-05
2020-05-27,5294.5,5285.5,-8.399999999998727,IC0000,2020-05
2020-05-28,5269.700000000001,5278.4,8.000000000001819,IC0000,2020-05
2020-05-29,5318.0,5321.2,5.199999999997999,IC0000,2020-05
2020-05-06,3903.0,3918.5,16.80000000000109,IF0000,2020-05
2020-05-07,3911.0,3913.7,2.4999999999986358,IF0000,2020-05
2020-05-08,3953.5,3956.1000000000004,2.8000000000010914,IF0000,2020-05
2020-05-11,3948.3,3946.1,-2.899999999999636,IF0000,2020-05
2020-05-12,3944.6000000000004,3942.5,-0.6999999999998181,IF0000,2020-05
2020-05-13,3961.7,3963.9,2.5,IF0000,2020-05
2020-05-14,3875.8999999999996,3880.7,4.699999999999363,IF0000,2020-05
2020-05-15,3879.3999999999996,3875.3,-2.90000000000191,IF0000,2020-05
2020-05-18,3901.6000000000004,3898.3,-2.5999999999994543,IF0000,2020-05
2020-05-19,3913.3,3913.2,-1.0000000000009095,IF0000,2020-05
2020-05-20,3894.8,3897.3,2.7000000000007276,IF0000,2020-05
2020-05-21,3883.8,3869.8999999999996,-13.099999999999909,IF0000,2020-05
2020-05-22,3804.1000000000004,3800.1,-4.800000000000182,IF0000,2020-05
2020-05-25,3785.6,3790.2,4.300000000000182,IF0000,2020-05
2020-05-26,3819.0,3823.8,5.200000000000728,IF0000,2020-05
2020-05-27,3805.7,3800.0,-6.300000000001546,IF0000,2020-05
2020-05-28,3813.2,3818.3,4.100000000000364,IF0000,2020-05
2020-05-29,3820.3,3821.1,0.5000000000004547,IF0000,2020-05
2020-05-06,2836.8,2846.1000000000004,8.50000000000091,IH0000,2020-05
2020-05-07,2842.3999999999996,2843.7,0.5000000000004547,IH0000,2020-05
2020-05-08,2865.2,2867.5,2.200000000001637,IH0000,2020-05
2020-05-11,2864.3,2863.6000000000004,0.6000000000003638,IH0000,2020-05
2020-05-12,2819.2,2818.0,0.10000000000081855,IH0000,2020-05
2020-05-13,2823.6000000000004,2825.7,1.699999999999818,IH0000,2020-05
2020-05-14,2793.0,2796.2,3.5000000000009095,IH0000,2020-05
2020-05-15,2790.0,2785.8,-4.700000000001182,IH0000,2020-05
2020-05-18,2818.1,2817.2,-0.6000000000012733,IH0000,2020-05
2020-05-19,2828.3999999999996,2829.5,1.4999999999995453,IH0000,2020-05
2020-05-20,2826.7,2828.1,0.900000000000091,IH0000,2020-05
2020-05-21,2827.3,2818.0,-9.100000000000364,IH0000,2020-05
2020-05-22,2760.0,2754.9,-5.400000000000546,IH0000,2020-05
2020-05-25,2754.3,2755.8,1.299999999998363,IH0000,2020-05
2020-05-26,2770.2,2772.3999999999996,2.299999999999727,IH0000,2020-05
2020-05-27,2765.3999999999996,2761.2,-4.200000000000273,IH0000,2020-05
2020-05-28,2779.7,2782.9,3.0000000000004547,IH0000,2020-05
2020-05-29,2776.5,2777.3,1.3000000000015461,IH0000,2020-05
2020-06-01,5515.5,5517.2,2.300000000002001,IC0000,2020-06
2020-06-02,5518.7,5511.700000000001,-6.69999999999709,IC0000,2020-06
2020-06-03,5549.700000000001,5519.9,-27.399999999995998,IC0000,2020-06
2020-06-04,5526.9,5525.799999999999,-1.699999999999818,IC0000,2020-06
2020-06-05,5524.8,5531.6,6.100000000000364,IC0000,2020-06
2020-06-08,5517.1,5514.3,-2.500000000001819,IC0000,2020-06
2020-06-09,5552.299999999999,5551.1,-0.2999999999965439,IC0000,2020-06
2020-06-10,5549.6,5562.1,11.800000000000182,IC0000,2020-06
2020-06-11,5530.7,5543.2,11.900000000002365,IC0000,2020-06
2020-06-12,5597.4,5589.9,-6.30000000000291,IC0000,2020-06
2020-06-15,5582.4,5577.299999999999,-8.000000000003638,IC0000,2020-06
2020-06-16,5673.200000000001,5668.4,-5.900000000000546,IC0000,2020-06
2020-06-17,5694.5,5707.6,11.399999999998727,IC0000,2020-06
2020-06-18,5469.0,5473.9,3.9999999999990905,IC0000,2020-06
2020-06-19,5716.6,5732.5,16.099999999998545,IC0000,2020-06
2020-06-22,5719.5,5712.4,-7.400000000001455,IC0000,2020-06
2020-06-23,5734.7,5745.299999999999,9.300000000001091,IC0000,2020-06
2020-06-24,5729.0,5737.5,8.099999999998545,IC0000,2020-06
2020-06-29,5682.8,5683.0,1.9999999999972715,IC0000,2020-06
2020-06-30,5783.1,5795.5,13.49999999999909,IC0000,2020-06
2020-06-01,3935.2,3935.5,1.2999999999992724,IF0000,2020-06
2020-06-02,3958.1000000000004,3949.8,-6.6000000000008185,IF0000,2020-06
2020-06-03,3969.4,3957.9,-10.700000000000273,IF0000,2020-06
2020-06-04,3958.5,3957.3,-1.0999999999994543,IF0000,2020-06
2020-06-05,3966.6,3971.8999999999996,5.5999999999989996,IF0000,2020-06
2020-06-08,3989.9,3991.9,2.5999999999989996,IF0000,2020-06
2020-06-09,4013.3,4014.8999999999996,1.400000000000091,IF0000,2020-06
2020-06-10,4005.8,4010.3,4.400000000000091,IF0000,2020-06
2020-06-11,3955.2,3961.9,7.200000000000728,IF0000,2020-06
2020-06-12,3994.2,3987.6000000000004,-6.499999999999545,IF0000,2020-06
2020-06-15,3941.5,3943.5,1.3999999999987267,IF0000,2020-06
2020-06-16,3998.3,3997.6000000000004,-0.4000000000005457,IF0000,2020-06
2020-06-17,4002.3,4007.8,5.4000000000010004,IF0000,2020-06
2020-06-18,3977.3999999999996,3984.2,8.000000000000455,IF0000,2020-06
2020-06-19,4055.9,4064.1,8.700000000000273,IF0000,2020-06
2020-06-22,4051.1,4051.9,1.7000000000002728,IF0000,2020-06
2020-06-23,4065.6000000000004,4072.1,5.800000000000182,IF0000,2020-06
2020-06-24,4098.5,4101.6,2.500000000001819,IF0000,2020-06
2020-06-29,4057.5,4060.8,3.9000000000005457,IF0000,2020-06
2020-06-30,4108.5,4117.4,10.300000000001091,IF0000,2020-06
2020-06-01,2840.6000000000004,2840.7,-1.0000000000031832,IH0000,2020-06
2020-06-02,2866.5,2861.1,-4.800000000000637,IH0000,2020-06
2020-06-03,2873.5,2869.8,-2.299999999999727,IH0000,2020-06
2020-06-04,2868.7,2867.1,-1.59999999999809,IH0000,2020-06
2020-06-05,2871.9,2873.8,1.799999999998363,IH0000,2020-06
2020-06-08,2889.2,2890.7,1.40000000000191,IH0000,2020-06
2020-06-09,2904.8999999999996,2906.3999999999996,1.7000000000007276,IH0000,2020-06
2020-06-10,2890.7,2891.9,0.9000000000005457,IH0000,2020-06
2020-06-11,2852.6000000000004,2855.3999999999996,2.399999999999636,IH0000,2020-06
2020-06-12,2871.1,2866.6000000000004,-4.799999999999272,IH0000,2020-06
2020-06-15,2827.9,2830.5,1.700000000001637,IH0000,2020-06
2020-06-16,2865.3,2866.7,1.6999999999993634,IH0000,2020-06
2020-06-17,2869.0,2872.2,2.5999999999994543,IH0000,2020-06
2020-06-18,2775.2,2778.4,3.1000000000012733,IH0000,2020-06
2020-06-19,2883.3999999999996,2887.2,3.9999999999995453,IH0000,2020-06
2020-06-22,2874.7,2878.2,4.200000000001637,IH0000,2020-06
2020-06-23,2876.3,2879.0,2.600000000000364,IH0000,2020-06
2020-06-24,2908.1,2908.4,1.0999999999994543,IH0000,2020-06
2020-06-29,2882.1000000000004,2885.5,3.699999999998454,IH0000,2020-06
2020-06-30,2901.3,2904.3999999999996,2.5,IH0000,2020-06
2020-07-01,5794.4,5818.4,23.899999999999636,IC0000,2020-07
2020-07-02,5910.9,5950.9,38.400000000001455,IC0000,2020-07
2020-07-03,5999.3,6018.9,19.899999999996908,IC0000,2020-07
2020-07-06,6302.1,6294.4,-7.100000000002183,IC0000,2020-07
2020-07-07,6439.700000000001,6455.1,16.599999999999454,IC0000,2020-07
2020-07-08,6506.0,6539.9,36.00000000000273,IC0000,2020-07
2020-07-09,6678.299999999999,6625.1,-49.0,IC0000,2020-07
2020-07-10,6714.4,6704.8,-9.200000000001637,IC0000,2020-07
2020-07-13,6883.6,6864.700000000001,-18.600000000001273,IC0000,2020-07
2020-07-14,6730.0,6795.1,62.80000000000018,IC0000,2020-07
2020-07-15,6747.9,6708.6,-39.20000000000164,IC0000,2020-07
2020-07-16,6332.200000000001,6325.9,-3.000000000001819,IC0000,2020-07
2020-07-17,6322.7,6338.6,14.0,IC0000,2020-07
2020-07-20,6395.799999999999,6426.3,33.400000000000546,IC0000,2020-07
2020-07-21,6443.8,6477.299999999999,35.49999999999727,IC0000,2020-07
2020-07-22,6583.5,6584.5,2.5000000000027285,IC0000,2020-07
2020-07-23,6537.3,6562.5,22.099999999998545,IC0000,2020-07
2020-07-24,6213.700000000001,6270.299999999999,59.799999999995634,IC0000,2020-07
2020-07-27,6208.9,6207.4,-5.699999999998909,IC0000,2020-07
2020-07-28,6224.299999999999,6206.5,-20.099999999999454,IC0000,2020-07
2020-07-29,6462.5,6462.700000000001,2.2000000000007276,IC0000,2020-07
2020-07-30,6437.8,6442.0,3.499999999998181,IC0000,2020-07
2020-07-31,6485.5,6512.1,24.69999999999709,IC0000,2020-07
