win,mean,n,code,year,month
855,0.16305732484084196,314,IC0000,2020,8
870,0.012101910828020264,314,IC0000,2020,8
885,-0.16517571884983967,313,IC0000,2020,8
570,-0.006985294117625659,272,IF0000,2020,8
585,-0.12101910828020264,314,IF0000,2020,8
600,0.05641025641028381,312,IF0000,2020,8
615,-0.33782051282055536,312,IF0000,2020,8
630,0.4388349514563501,309,IF0000,2020,8
645,0.0073482428114934615,313,IF0000,2020,8
660,-0.49453376205787253,311,IF0000,2020,8
675,0.17412140575080745,313,IF0000,2020,8
780,-0.03605947955389591,269,IF0000,2020,8
795,-0.09935483870975428,310,IF0000,2020,8
810,0.08594249201282779,313,IF0000,2020,8
825,-0.17507987220448795,313,IF0000,2020,8
840,-0.0089171974522125,314,IF0000,2020,8
855,0.04968152866246499,314,IF0000,2020,8
870,0.22961783439489403,314,IF0000,2020,8
885,0.1121405750798879,313,IF0000,2020,8
570,0.1385185185185475,270,IH0000,2020,8
585,-0.1382636655948626,311,IH0000,2020,8
600,0.019871794871824895,312,IH0000,2020,8
615,-0.0815286624204036,314,IH0000,2020,8
630,0.14758842443728323,311,IH0000,2020,8
645,-0.10544871794873573,312,IH0000,2020,8
660,-0.20709677419355807,310,IH0000,2020,8
675,0.20519480519478245,308,IH0000,2020,8
780,-0.031716417910463035,268,IH0000,2020,8
795,0.0006430868167372188,311,IH0000,2020,8
810,0.0958333333333686,312,IH0000,2020,8
825,-0.06850649350651093,308,IH0000,2020,8
840,-0.09548387096777099,310,IH0000,2020,8
855,0.061736334405130947,311,IH0000,2020,8
870,0.06655948553054897,311,IH0000,2020,8
885,0.10590163934426587,305,IH0000,2020,8
570,-0.40528169014080795,284,IC0000,2020,9
585,0.06656534954407184,329,IC0000,2020,9
600,-0.11498470948012343,327,IC0000,2020,9
615,-0.07944785276075461,326,IC0000,2020,9
630,0.4110091743119255,327,IC0000,2020,9
645,-0.029357798165113694,327,IC0000,2020,9
660,0.16941896024460548,327,IC0000,2020,9
675,0.4339449541283697,327,IC0000,2020,9
780,-0.16350877192988328,285,IC0000,2020,9
795,-0.4042813455657848,327,IC0000,2020,9
810,-0.17042682926831654,328,IC0000,2020,9
825,0.5689969604862775,329,IC0000,2020,9
840,0.7999999999999995,329,IC0000,2020,9
855,0.005198776758448168,327,IC0000,2020,9
870,-0.3765957446808361,329,IC0000,2020,9
885,0.25914634146343957,328,IC0000,2020,9
570,-0.219572953736693,281,IF0000,2020,9
585,-0.11615853658541132,328,IF0000,2020,9
600,-0.24464831804282458,327,IF0000,2020,9
615,-0.08374233128833854,326,IF0000,2020,9
630,0.02269938650308311,326,IF0000,2020,9
645,-0.03628048780490467,328,IF0000,2020,9
660,-0.04770642201834139,327,IF0000,2020,9
675,0.02656250000000284,320,IF0000,2020,9
780,0.08916083916082326,286,IF0000,2020,9
795,-0.16037151702788124,323,IF0000,2020,9
810,-0.09355828220850247,326,IF0000,2020,9
825,0.03907692307690853,325,IF0000,2020,9
840,0.08523076923079385,325,IF0000,2020,9
855,-0.08220858895705577,326,IF0000,2020,9
870,-0.22461538461539582,325,IF0000,2020,9
885,0.2409937888198995,322,IF0000,2020,9
570,-0.05653710247350788,283,IH0000,2020,9
585,0.10185185185184484,324,IH0000,2020,9
600,-0.1458715596330506,327,IH0000,2020,9
615,-0.1442724458204402,323,IH0000,2020,9
630,-0.08703703703703226,324,IH0000,2020,9
645,-0.11526479750780799,321,IH0000,2020,9
660,0.0028124999999903366,320,IH0000,2020,9
675,-0.05931677018632947,322,IH0000,2020,9
780,0.017793594306048204,281,IH0000,2020,9
795,-0.14921630094045854,319,IH0000,2020,9
810,-0.026625386996907967,323,IH0000,2020,9
825,-0.05061349693250976,326,IH0000,2020,9
840,0.11636363636362286,330,IH0000,2020,9
855,-0.1259259259259377,324,IH0000,2020,9
870,-0.09969230769231077,325,IH0000,2020,9
885,0.179938271604929,324,IH0000,2020,9
570,0.3223300970874652,206,IC0000,2020,10
585,-0.40376569037658805,239,IC0000,2020,10
600,0.04958333333334319,240,IC0000,2020,10
615,-0.2393305439330841,239,IC0000,2020,10
630,-0.16455696202531644,237,IC0000,2020,10
645,-0.09037656903763179,239,IC0000,2020,10
660,0.30886075949367015,237,IC0000,2020,10
675,0.7698744769874515,239,IC0000,2020,10
780,-0.15170731707319912,205,IC0000,2020,10
795,-0.11476793248949292,237,IC0000,2020,10
810,-0.49958158995816127,239,IC0000,2020,10
825,-0.21856540084391715,237,IC0000,2020,10
840,-0.12711864406785056,236,IC0000,2020,10
855,0.0983193277311597,238,IC0000,2020,10
870,-0.5493670886075673,237,IC0000,2020,10
885,-0.19531914893619576,235,IC0000,2020,10
570,-0.19514563106795588,206,IF0000,2020,10
585,-0.016455696202526272,237,IF0000,2020,10
600,0.1679324894514507,237,IF0000,2020,10
615,-0.2135593220339199,236,IF0000,2020,10
630,0.026808510638290907,235,IF0000,2020,10
645,-0.18851063829791956,235,IF0000,2020,10
660,-0.11271186440676964,236,IF0000,2020,10
675,0.26666666666666666,240,IF0000,2020,10
780,0.255825242718534,206,IF0000,2020,10
795,0.07361702127654621,235,IF0000,2020,10
810,-0.12905982905984772,234,IF0000,2020,10
825,-0.2858974358974732,234,IF0000,2020,10
840,0.07191489361707391,235,IF0000,2020,10
855,-0.080000000000024,235,IF0000,2020,10
870,-0.1394067796610424,236,IF0000,2020,10
885,-0.10258620689650938,232,IF0000,2020,10
570,-0.018811881188128717,202,IH0000,2020,10
585,-0.02499999999999621,240,IH0000,2020,10
