method,t1,t2,r,x,n_peak,a_sum,a_ss,g_sum,g_ss,v_sum,v_ss,rhits
norm,20,160,3.0,40,101736,551661.3500000009,962257764.6987503,-93178.40000000036,427162260.86875,437445.05000000016,3974780.2312499983,50342
norm,20,160,ALL,80,21912801,74889944.35000002,13201210437.66625,-203017.30000015916,7979718408.696264,72059792.7625,455828168.5754681,10629947
norm,20,160,1.5,80,2979052,10369931.225000028,3191495107.9893785,-132310.8750000188,1240585195.1193733,10618771.275,75009131.12406251,1481556
norm,20,160,2.0,80,948436,3490069.5250000022,1781974641.9618733,-76282.82500000528,805075663.2618747,3483603.687499997,25347298.774218753,476139
norm,20,160,3.0,80,101585,583103.1500000003,827869327.2187486,-113019.80000000095,484315712.2087503,385031.3500000002,2961041.2946875026,50797
norm,20,160,ALL,120,21842001,91493189.04999991,16868336222.803743,-261802.3250001642,10337739021.615631,71698895.75000001,440139792.4415278,10628149
norm,20,160,1.5,120,2966381,12571419.325,3593063702.481874,-290817.32500001835,1466250749.3393724,10322770.258333337,69238549.34340273,1484634
norm,20,160,2.0,120,945331,4229626.400000008,2079238101.8112488,-184293.8000000047,995369171.4487482,3351717.9999999986,22930508.646527775,480392
norm,20,160,3.0,120,101244,726511.1999999986,1049392316.2462486,-131408.10000000076,495133020.9037503,363923.90833333286,2588156.975486111,52260
norm,30,60,ALL,2,22227861,10692972.100000268,889418934.7000016,51006.974999945785,568308070.9393761,74242882.5,746007167.75,9496673
norm,30,60,1.5,2,616941,370382.4000000068,204554503.6375004,-21179.47500000048,63707289.631875,2407391.0,32500572.5,267398
norm,30,60,ALL,5,22222551,17624230.30000028,2050726981.1212516,106960.07499992254,1385623915.225626,74208777.99999993,637284572.7200001,10068601
norm,30,60,1.5,5,616892,612310.5500000082,414128049.4225005,-34822.925000001,107673273.19937503,2290856.199999997,25282887.880000032,283571
norm,30,60,ALL,10,22213701,25644885.750000183,3366738501.378746,58857.22499990271,2306994192.408124,74150538.20000008,583653875.8799995,10351937
norm,30,60,1.5,10,616805,893183.1750000088,675133229.071875,-70753.87500000192,218425233.55187526,2175240.8000000007,20845836.040000025,292613
norm,30,60,ALL,20,22196001,36985941.25000008,5092163765.398762,142862.42499988052,3322943453.605624,74034981.34999995,543040697.9425011,10555606
norm,30,60,1.5,20,616643,1229622.1000000066,887061563.5262493,-78948.0500000035,250927182.15624988,2039394.3999999987,17045818.979999997,298599
norm,30,60,ALL,40,22160601,53193719.600000106,8326178621.563742,37470.24999986176,5336699533.773751,73818092.82500003,509567357.1068752,10694176
norm,30,60,1.5,40,616330,1642037.6000000078,1075149571.8562503,-91803.25000000323,384087923.9362497,1885916.2749999985,13695947.803124966,303196
norm,30,60,ALL,80,22089801,75873341.9500001,13212647845.316252,-516862.60000014486,8350343477.873747,73399434.81249999,478420198.3020312,10787322
norm,30,60,1.5,80,615170,2141298.8000000026,1152957758.3162503,-106797.15000000327,489549439.2062497,1721203.3375000001,10613335.992343731,306518
norm,30,60,ALL,120,22019001,92622376.5,16882954549.881258,-434903.90000014636,10616563281.073746,72964119.63333336,459821249.6323614,10780282
norm,30,60,1.5,120,613189,2683817.7500000033,1565726148.4587522,-162271.45000000333,534149583.9062513,1692484.908333334,9979106.020902775,310863
norm,30,120,ALL,2,22121661,10613152.200000241,889296389.0950003,48573.274999945934,568186119.0843767,73408342.5,728407919.25,9449099
norm,30,120,1.5,2,2188860,1212317.5500000257,307260948.635,-29445.875000003387,126217000.27687515,9965868.0,132191014.5,951435
norm,30,120,2.0,2,348107,251171.95000000412,211052355.66000003,-24187.67500000044,70195961.65187494,1866352.0,28411862.0,152044
norm,30,120,3.0,2,2395,31178.70000000002,90094310.52999997,-15031.399999999974,45052192.02000001,14772.5,346503.25,1003
norm,30,120,ALL,5,22116351,17490303.700000253,2050380908.976247,101585.07499992276,1385279499.7506232,73368888.99999996,620804323.8799996,10019300
norm,30,120,1.5,5,2188540,1957996.450000024,625496974.0125,-53098.92500000559,224747179.47937462,9611458.599999998,107053172.92000014,1002056
norm,30,120,2.0,5,348074,404487.250000004,364210594.8875002,-36931.72500000063,108855494.23437501,1770490.9999999993,22253298.119999986,160001
norm,30,120,3.0,5,2395,32654.099999999977,95180985.72999994,-18788.199999999983,58499349.920000024,13548.4,244445.03999999995,1046
norm,30,120,ALL,10,22107501,25446691.800000187,3365985663.1812453,49030.97499990348,2306244928.4406247,73304342.70000018,567512830.2099994,10301414
norm,30,120,1.5,10,2187984,2816589.7000000225,1011570517.5399983,-94223.47500000696,381691495.0468756,9235667.300000008,91328554.30999999,1034894
norm,30,120,2.0,10,348017,600194.3000000034,601412808.1000005,-75900.67500000107,225958110.34687495,1670449.499999996,18336580.549999986,165436
norm,30,120,3.0,10,2395,55031.899999999936,161980594.68999997,-34710.90000000002,108626555.42999998,12359.5,185714.88999999998,1077
norm,30,120,ALL,20,22089801,36690842.50000007,5090493997.901242,127849.82499988069,3321283068.2006245,73176619.89999998,526868960.6000004,10503919
norm,30,120,1.5,20,2186854,3908666.2750000153,1324169268.8493755,-62122.77500001029,461939584.44937444,8759455.7,77152033.13499992,1060851
norm,30,120,2.0,20,347924,851291.0500000042,878322082.9637508,-90520.00000000189,320288141.71375006,1551833.349999996,14930068.822499994,169123
norm,30,120,3.0,20,2395,52675.10000000001,151876112.55000004,-28424.399999999983,88525512.78000003,10987.199999999999,139396.52500000002,1127
norm,30,120,ALL,40,22054401,52763764.50000014,8322576251.933754,9237.74999986309,5333116964.72375,72942843.87499991,493188793.8631248,10643129
norm,30,120,1.5,40,2184529,5424029.250000014,1855816829.3837523,-52876.200000010744,804744857.5637501,8196704.200000009,64090906.51250003,1076896
norm,30,120,2.0,40,347734,1223339.0000000037,1366218146.2362485,-89281.55000000146,628688887.4262495,1418644.3749999986,11954065.380624993,171623
norm,30,120,3.0,40,2395,53584.000000000044,151730795.24,-38277.79999999998,118638946.70000005,9458.55,97069.79624999998,1127
norm,30,120,ALL,80,21983601,75260274.54999998,13205134675.97126,-547002.700000144,8342870749.858752,72536282.44999997,462895850.9025001,10736027
norm,30,120,1.5,80,2178626,7595849.975000013,2698909687.388126,-91392.92500001221,1123822576.8456247,7662189.4125,53128838.36390626,1089151
norm,30,120,2.0,80,347123,1505730.7000000014,1366933700.2562504,-78999.75000000205,737272718.7562509,1287294.4249999998,9396937.159062501,174444
norm,30,120,3.0,80,2395,55063.100000000006,151393591.79000002,-38540.40000000001,118598446.44000007,8288.312500000004,73040.81359374998,1188
norm,30,120,ALL,120,21912801,91929254.9000002,16873675232.766262,-442531.4000001463,10607334178.568733,72167691.11666667,446752725.434028,10728159
norm,30,120,1.5,120,2170473,9324217.375000024,3272048304.369374,-253748.1250000105,1436848208.656877,7518563.53333334,50065531.42819453,1095032
norm,30,120,2.0,120,346137,1932122.250000001,1932117470.6637523,-160338.45000000243,1001401070.7012504,1245415.6750000012,8618654.12409722,177862
norm,30,120,3.0,120,2395,78324.80000000005,221508076.47999996,-19747.60000000001,58510172.94000002,8069.474999999998,72809.75854166666,1221
norm,30,240,ALL,2,21909261,10461380.650000278,889071808.9174975,40972.97499994626,567962889.299374,71920013.0,699041041.0,9356188
norm,30,240,1.5,2,2769583,1544308.1750000294,377078051.5318751,-31825.05000000427,178973183.8637502,13296556.5,178628796.75,1207046
norm,30,240,2.0,2,815583,512104.5500000086,246981087.51124975,-28055.500000001186,110993025.25625013,4590535.0,69715502.0,357930
norm,30,240,3.0,2,72197,98731.55000000075,177627822.99125013,-21468.700000000095,61733524.406249955,500912.5,9108956.25,32074
norm,30,240,ALL,5,21903951,17235610.050000247,2049739630.218747,86979.77499992363,1384641833.2656224,71888819.60000005,594306808.5600001,9922570
norm,30,240,1.5,5,2768777,2501313.8500000304,780997782.1974992,-50993.725000006365,353141185.99437505,12871969.8,146131311.15999997,1270978
norm,30,240,2.0,5,815434,847455.4000000099,513887491.43624985,-42427.400000001944,223334865.09625,4397489.399999999,56108916.039999984,375941
norm,30,240,3.0,5,72188,163041.80000000025,305628311.45625025,-34564.90000000019,100197704.84624994,471223.3999999998,7065076.8400000045,33737
norm,30,240,ALL,10,21895101,25073801.150000192,3364626322.7637477,28443.724999903832,2304893144.4131284,71835242.59999992,542646611.579999,10201591
norm,30,240,1.5,10,2767448,3614228.1250000256,1287014032.3568754,-110181.67500000964,558153569.6043757,12411641.700000005,126214644.2899999,1313337
norm,30,240,2.0,10,815173,1255490.4750000094,876911885.0843734,-94728.12500000263,390745476.5443752,4189303.6999999946,47393891.81000011,388807
norm,30,240,3.0,10,72173,255921.77500000034,504091922.3231243,-69449.42500000037,202055648.99312487,439611.0,5677171.960000003,35060
norm,30,240,ALL,20,21877401,36148933.4500001,5087654507.15876,106293.6749998817,3318461264.1281295,71729823.59999996,503766899.3700001,10400609
norm,30,240,1.5,20,2765078,5130932.550000021,1985125173.3562477,-102086.15000001267,752666591.9337497,11814903.450000003,107988594.08749989,1346132
norm,30,240,2.0,20,814667,1728399.700000007,1134297950.0937512,-88042.30000000364,599458074.1537511,3926734.799999998,39480059.45000002,399825
norm,30,240,3.0,20,72144,333854.1250000006,614945578.6906252,-74987.57500000004,317000743.7906248,401874.50000000035,4478730.645000004,36049
norm,30,240,ALL,40,21842001,51993148.15000005,8316769618.541244,-581.1000001370012,5327345170.531259,71536457.77499993,472342445.76812536,10537766
norm,30,240,1.5,40,2760958,7047497.775000014,2538491741.883127,-68018.47500001393,1097573257.5431244,11089044.750000007,90707624.09124997,1366044
norm,30,240,2.0,40,813742,2356093.075000005,1542285596.1631234,-46341.62500000356,894314812.8531269,3612445.024999999,32050906.176874995,406365
norm,30,240,3.0,40,72089,469219.675000001,873197965.6081251,-78127.22500000047,622984667.9581244,360128.3000000003,3478637.6737500033,36542
norm,30,240,ALL,80,21771201,74207751.60000007,13194231263.638756,-513376.4500001447,8332031300.236256,71185385.65,444487835.7162507,10628914
norm,30,240,1.5,80,2750856,9770679.275000023,3427783706.469373,-132073.37500001432,1514016883.539377,10353214.975000009,75621334.37812507,1377172
norm,30,240,2.0,80,811791,3068505.5999999996,1660590860.0837512,-82147.80000000428,1052535992.4737496,3296347.3875,25580078.58171872,410700
norm,30,240,3.0,80,71977,494039.5750000008,785420896.9781255,-60726.82500000033,675558606.7581257,319511.0125000002,2660414.914843745,36664
norm,30,240,ALL,120,21700401,90681781.54999986,16858073305.938753,-399468.1500001456,10591819753.021248,70854996.7833334,429718652.3631947,10620155
norm,30,240,1.5,120,2739631,11921375.975000016,4146263920.4343705,-268905.07500001474,2015102880.5718715,10066752.874999989,70063803.36368068,1382896
norm,30,240,2.0,120,809519,3861603.3000000063,2358312024.288755,-165723.7000000042,1380279675.2462466,3171063.883333336,23248213.282083333,415132
norm,30,240,3.0,120,71784,665775.3749999994,1170948745.1281276,-32436.525000000456,694105233.0181237,303509.22499999974,2367931.418958332,37639
total,5,10,ALL,2,22316361,10777525.050000284,889577394.5075015,345295.749999901,525216029.1937501,75293073.5,778715666.25,9208337
total,5,10,0.3,2,18641369,9312806.550000226,821873978.2424994,364767.9499999207,488650562.80375093,68557586.0,739880655.0,7696194
total,5,10,0.5,2,10266801,5277971.450000128,572944328.5887502,256460.64999996295,308975465.29874986,38830205.0,440812431.5,4232982
total,5,10,0.7,2,3427068,1686682.0000000421,258976361.07999977,107169.69999998923,60961423.26250008,9832157.0,104929378.5,1403121
total,5,10,ALL,5,22311051,17768732.20000024,2051195635.9662454,724412.4249998725,1190487230.585625,75238705.19999991,666787149.28,9776668
total,5,10,0.3,5,18636820,15280446.725000236,1868187917.6331267,703112.449999899,1065820932.0449997,68141646.60000001,631084241.8800001,8164107
total,5,10,0.5,5,10264678,8560424.725000136,1289608169.7793756,386380.3499999499,712406413.6162492,37891386.39999998,361302645.4400002,4510007
total,5,10,0.7,5,3426655,2662746.775000049,472482283.03937536,122319.67499998421,180633456.70687523,9264954.199999994,76584440.11999997,1513602
total,5,10,ALL,10,22302201,25855522.850000188,3367750154.783744,852552.8749998494,1920634267.4306254,75153377.3,610794829.9300002,10021075
total,5,10,0.3,10,18628979,22196857.72500014,3061067612.350626,788433.5749998786,1755950640.5856252,67794255.90000002,575868778.5100006,8381385
total,5,10,0.5,10,10260008,12326369.825000085,2007661790.280623,407974.5249999374,1125037092.2131236,37204113.19999999,319479521.84000015,4636534
total,5,10,0.7,10,3425634,3780427.3750000396,715327196.138125,129453.22499997987,354125535.2831248,8895053.499999996,61906464.650000006,1553974
total,5,10,ALL,20,22284501,37281721.75000014,5094250369.328746,849084.6249998334,2779772433.8281283,74991337.45000002,567280956.6974992,10189374
total,5,10,0.3,20,18613579,31947949.90000005,4571436539.804989,787578.324999865,2534739144.8693767,67392000.70000002,532546921.12000024,8534476
total,5,10,0.5,20,10251452,17539590.20000008,2586416569.627497,407428.4999999307,1443788728.3925028,36591669.70000001,288043947.425,4725192
total,5,10,0.7,20,3423590,5265555.400000025,687454215.2575004,155639.8499999765,342145244.91499996,8626508.949999996,52219386.182500005,1579552
total,5,10,ALL,40,22249101,53589791.05000015,8330159908.57125,845095.1749998163,4541685631.643122,74699251.37500009,529839576.7731251,10283208
total,5,10,0.3,40,18582585,45928222.55000006,7619390762.911249,753883.2249998506,4164503956.070624,66883535.97499993,495052545.53437567,8620167
total,5,10,0.5,40,10234481,25142279.30000001,4263874026.977494,403067.1249999215,2233389197.086878,36025825.97500001,262659477.18562502,4776167
total,5,10,0.7,40,3419132,7489066.9250000175,1025229267.393125,149201.07499997373,489554079.7081249,8441255.22499999,45795289.234375,1597914
total,5,10,ALL,80,22178301,76405053.60000013,13219782436.18375,835329.6499998175,7394035042.653754,74193804.14999995,494481615.6096878,10349589
total,5,10,0.3,80,18520453,65319717.05000005,11697255504.466236,759248.3999998517,6740404454.5712595,66195366.262499966,459724808.055469,8678608
total,5,10,0.5,80,10201907,35666529.70000003,6527981193.834995,301017.34999992256,3578714750.652501,35438513.01249997,240546660.3660939,4812853
total,5,10,0.7,80,3411114,10651071.225000009,1745179605.0831263,92669.92499997323,877189373.6306244,8290855.549999991,41064951.72750004,1614574
total,5,10,ALL,120,22107501,93286719.99999997,16893728923.726252,844841.6249998095,9526353284.105623,73745448.50000001,475097689.4113893,10350368
total,5,10,0.3,120,18458880,79757842.80000003,14991744392.512478,733268.249999847,8742018127.867498,65674759.17499998,440510362.29118013,8680315
total,5,10,0.5,120,10167977,43467648.725000024,8271032366.153122,231063.17499991856,4583355797.915629,35052832.23333332,228848235.24124974,4813968
total,5,10,0.7,120,3401266,12962073.175000018,2199235716.959373,67431.22499997205,1008590628.1793742,8215324.658333343,38956887.685625024,1615367
total,5,20,ALL,2,22298661,10757933.40000026,889535812.4149997,341415.799999901,525174924.7412506,75024231.5,768588458.75,9201213
total,5,20,0.3,2,6770930,3553040.7250000886,488150060.1131249,183322.1749999785,231434635.59562543,25602731.0,302714477.0,2797361
total,5,20,0.5,2,1112025,626829.5250000154,207357016.84562463,37179.07499999708,32916485.515625026,3859418.0,52401851.0,460300
total,5,20,0.7,2,178710,99513.70000000203,46853302.8199999,8090.699999999888,8406851.109999994,420492.5,6165933.25,73517
total,5,20,ALL,5,22293351,17734629.350000255,2051067843.4787502,718801.274999873,1190360747.448126,74979231.80000003,657906899.640001,9769181
total,5,20,0.3,5,6769707,5694818.850000075,1047221463.1475011,230799.19999996928,538765797.0749997,24497203.000000015,238455372.84000003,2993188
total,5,20,0.5,5,1111956,973104.3250000165,386494459.2006247,29368.97499999462,108648977.10062523,3457465.9999999995,35445420.80000002,500282
total,5,20,0.7,5,178701,141268.6000000023,46895656.67499997,7009.999999999278,8492644.475000013,353852.4000000004,3573590.559999998,81019
total,5,20,ALL,10,22284501,25806318.050000165,3367479637.058749,846759.7749998491,1920366642.3856251,74905201.50000006,602893201.2899995,10013179
total,5,20,0.3,10,6766784,8154161.600000061,1650683716.4899998,220669.69999996023,934071599.6849977,23672243.900000025,203179454.04999992,3078287
total,5,20,0.5,10,1111750,1331492.5000000102,492764146.8462502,17241.149999993617,222081972.35625044,3171730.7000000007,26334049.890000027,514591
total,5,20,0.7,10,178684,186353.55000000208,47039384.10250005,8276.449999999135,8626029.562500007,308841.5,2259589.330000001,82828
total,5,20,ALL,20,22266801,37213161.6000001,5093710357.191242,843255.8749998342,2779238201.030634,74759788.0999999,560425288.5249999,10181143
total,5,20,0.3,20,6761912,11472643.675000018,1980639620.9618757,225832.79999995482,1048251787.3487501,22954675.199999984,176882841.89499965,3137107
total,5,20,0.5,20,1111205,1766346.3250000137,396659807.628125,38261.72499999224,180054762.6681249,2948175.7999999993,20352432.955000002,522970
total,5,20,0.7,20,178585,249218.85000000222,37261705.06749994,5449.949999998879,18937277.76750001,278924.7499999999,1569030.6525000005,84006
total,5,20,ALL,40,22231401,53498015.90000012,8329102977.773751,838373.7249998172,4540640716.885609,74489687.85000005,524239684.530001,10274742
total,5,20,0.3,40,6751006,16300887.07500002,3011418329.6718683,250996.52499994877,1562606995.176876,22297715.899999954,156072418.33624986,3168831
total,5,20,0.5,40,1109837,2483893.300000008,597578657.5912497,37517.39999999127,215832057.41875026,2770837.6500000027,16346157.493749982,527442
total,5,20,0.7,40,178459,355151.800000002,69766940.42999999,7397.69999999891,19454380.66999994,257983.77499999976,1153023.1143750006,84505
total,5,20,ALL,80,22160601,76291472.6500001,13218051881.826271,831822.1999998163,7392318306.95625,74014448.78750004,490415403.9567185,10341045
total,5,20,0.3,80,6731465,22920310.40000002,4318517545.576253,153069.19999995045,2423767041.8587575,21664759.812499963,138670232.07296863,3195209
total,5,20,0.5,80,1107831,3471442.6750000077,875589597.810624,16207.174999991299,392600408.6506254,2623752.0375000034,13455167.188281264,533021
total,5,20,0.7,80,178172,496177.0000000022,104342117.32999992,7069.499999998628,20449876.499999974,241903.28749999957,884743.3323437507,85174
total,5,20,ALL,120,22089801,93141026.6000001,16891087105.966242,838695.1249998091,9523737145.335623,73576400.47499995,471528637.90326476,10341995
total,5,20,0.3,120,6708444,27843969.400000025,5260354036.602516,105527.34999994731,2917834920.9900017,21319332.70833333,130249616.22645837,3195344
total,5,20,0.5,120,1104550,4224765.6250000065,1110304284.5531228,12439.924999990862,406547075.2831243,2566227.366666672,12338613.766527792,533744
total,5,20,0.7,120,177662,609614.6500000017,149927015.47750032,6053.549999998739,21484688.547499932,236655.7666666669,794080.2656944444,85163
total,5,40,ALL,2,22263261,10724014.85000026,889473902.4375018,335903.299999901,525113827.20624954,74596596.5,755411242.75,9186604
total,5,40,0.3,2,918567,549091.925000013,195527570.89562485,29304.574999998116,41179464.895625,3834145.5,57879613.25,382903
total,5,40,0.5,2,73267,57730.850000001126,56859430.03750003,1270.7499999998854,46930.26750000121,317485.5,6305076.75,31125
total,5,40,0.7,2,6320,3108.6500000000306,3272.9024999999933,172.34999999998672,3235.1624999999835,16974.0,346210.5,2513
total,5,40,ALL,5,22257951,17675896.800000224,2050880305.0612473,710122.3249998735,1190175900.000628,74558034.99999999,645834924.2799999,9753869
total,5,40,0.3,5,918510,856040.8750000127,387252074.90312546,11813.324999996681,119500077.70312494,3409387.399999996,39615383.64000002,415617
total,5,40,0.5,5,73267,72430.05000000112,48527946.60249996,-252.4500000002513,88672.46250000143,258746.0000000005,3655750.4799999995,34289
total,5,40,0.7,5,6320,4506.250000000066,6235.012500000001,-11.250000000015461,6127.462500000002,12889.400000000001,171860.9199999999,2878
total,5,40,ALL,10,22249101,25718791.100000154,3367053088.0462465,835805.2749998504,1919946374.555623,74493019.10000014,591608442.2099998,9997379
total,5,40,0.3,10,918356,1161654.4500000116,487662603.85375017,6528.599999995652,208744993.65374976,3084791.100000004,29218441.770000026,428201
total,5,40,0.5,10,73266,96218.00000000087,66917026.72499998,-2019.5000000003074,10180915.455000008,216464.40000000008,2237614.759999997,34748
total,5,40,0.7,10,6320,5770.250000000076,10184.482500000164,-62.54999999999927,9984.022500000161,10337.100000000002,99987.18999999994,2908
total,5,40,ALL,20,22231401,37090142.15000013,5092808745.378752,831210.3249998338,2778347560.9581194,74366119.20000009,550282468.4950007,10164648
total,5,40,0.3,20,917931,1538313.275000007,458505574.9256256,20539.77499999448,170364971.65562478,2815690.149999998,22205082.19749998,435873
total,5,40,0.5,20,73243,121070.75000000079,56933132.482499994,-4863.250000000556,20351426.47249998,187456.95000000042,1505724.9725000013,35274
total,5,40,0.7,20,6318,7869.550000000095,19075.872500000103,-85.95000000002892,18721.582500000117,8840.450000000008,64485.36250000002,2987
total,5,40,ALL,40,22196001,53335372.55000006,8327420281.341247,825537.1749998182,4538977981.033132,74127284.47500002,515737039.9031254,10257870
total,5,40,0.3,40,916944,2130364.325000007,624901666.5881234,28186.824999993987,207520963.73812497,2584712.350000001,17251931.3575,439456
total,5,40,0.5,40,73217,174330.30000000077,97422014.48499994,-6566.600000000342,28898801.295000028,165557.17500000016,1061765.2243749995,35454
total,5,40,0.7,40,6318,19470.850000000057,24991832.612499982,152.64999999996053,33646.172500000146,7756.200000000006,41574.284999999974,2907
total,5,40,ALL,80,22125201,76084021.80000004,13215303670.808762,822883.1499998175,7389609054.218757,73696809.63749991,484000698.91078216,10324005
total,5,40,0.3,80,915464,2901030.7250000094,787811398.168125,2928.1249999935244,345021656.98812586,2381612.750000003,13515747.973437488,443608
total,5,40,0.5,80,73103,238475.30000000042,135197907.3149997,-15080.300000000529,50344312.275000036,147703.86250000002,764771.243281248,35656
total,5,40,0.7,80,6313,29789.650000000027,41644105.202499986,440.44999999987976,68201.8624999996,7027.362499999997,29834.27484375001,2922
total,5,40,ALL,120,22054401,92871590.55000015,16886673650.913754,827026.5749998093,9519385502.11311,73259035.6999999,465235900.9630556,10325132
total,5,40,0.3,120,912503,3553388.2500000056,1045453839.6612511,-8698.700000007124,357818678.4012502,2309392.150000003,12189063.018472226,444602
total,5,40,0.5,120,72873,277257.9500000006,134978574.2024995,-15210.95000000047,49841575.15250002,141434.9916666667,668270.1172916671,35743
total,5,40,0.7,120,6281,32518.95000000002,41689246.85249999,251.44999999990887,97403.82249999979,6735.333333333332,25212.976944444446,2942
total,10,20,ALL,2,22298661,10757933.40000026,889535812.4149997,231039.22499991852,564885306.7393742,75024231.5,768588458.75,9379355
total,10,20,0.3,2,19823764,9775957.350000238,838009221.6449997,225485.29999993046,531751295.9450002,70760451.5,744956853.25,8343658
total,10,20,0.5,2,10523620,5376491.32500013,610985989.9481251,124977.67499996754,367340922.82812446,39597936.5,447624560.75,4435269
total,10,20,0.7,2,2452260,1262851.5500000317,317570880.0112495,15865.849999993052,153585972.75124985,7592542.0,88471213.0,1036412
total,10,20,ALL,5,22293351,17734629.350000255,2051067843.4787502,514876.8249998895,1301365223.6956282,74979231.80000003,657906899.640001,9963598
total,10,20,0.3,5,19818914,16075009.625000233,1917780178.3593748,478510.47499990376,1233693776.9693792,70504797.39999995,636553308.6799994,8854736
total,10,20,0.5,5,10520954,8777426.17500012,1400465776.6343746,229888.42499995473,853436663.1193721,38786671.800000004,369819529.15999967,4713748
total,10,20,0.7,5,2451984,2015846.7250000257,612897522.3256242,10214.424999989364,325404765.6131244,7162445.3999999985,65988414.03999992,1109676
total,10,20,ALL,10,22284501,25806318.050000165,3367479637.058749,641928.1749998649,2119735328.5006254,74905201.50000006,602893201.2899995,10224431
total,10,20,0.3,10,19810848,23376775.700000174,3141945629.3399954,606613.5249998827,1988299611.7643764,70269288.89999996,582135742.65,9092210
total,10,20,0.5,10,10516273,12656283.700000092,2143543393.475002,283413.1749999421,1332657779.2018766,38119840.89999995,328050398.6100001,4847218
total,10,20,0.7,10,2451475,2786008.6250000214,693741276.878126,4549.199999986251,433520982.7550003,6824241.900000002,53387778.310000055,1140826
total,10,20,ALL,20,22266801,37213161.6000001,5093710357.191242,618207.0249998433,3064394989.940633,74759788.0999999,560425288.5249999,10405488
total,10,20,0.3,20,19794527,33630342.400000066,4580076891.000001,577906.4749998631,2726446867.239374,69966834.44999991,539723080.9025,9263513
total,10,20,0.5,20,10507890,18045771.32500006,2889734496.58937,267159.2499999333,1619287637.6212497,37463282.14999996,295361345.85750026,4945140
total,10,20,0.7,20,2450204,3833225.175000024,666181241.9456246,31735.899999984584,396364914.7950008,6531471.150000007,44227925.26750006,1162263
total,10,20,ALL,40,22231401,53498015.90000012,8329102977.773751,540708.9499998261,4878397482.78748,74489687.85000005,524239684.530001,10510495
total,10,20,0.3,40,19761389,48341446.950000025,7602567184.770001,474622.62499984825,4443639353.346867,69538612.42500003,503303695.74687505,9360909
total,10,20,0.5,40,10489871,25827217.150000047,4737526254.34126,189639.84999992079,2682982790.5787425,36744895.574999996,267405475.56937495,4999554
total,10,20,0.7,40,2447232,5425004.125000016,1041500063.4706261,17764.674999981522,522509976.860625,6252159.625000012,37112826.406875014,1172392
total,10,20,ALL,80,22160601,76291472.6500001,13218051881.826271,386746.0249998241,7780643637.325632,74014448.78750004,490415403.9567185,10586884
total,10,20,0.3,80,19695506,68840184.74999994,11869535225.789999,348602.924999845,7115093650.301878,68918784.20000006,469335382.7946876,9429613
total,10,20,0.5,80,10456242,36446101.0250001,6874739327.453126,50144.249999921136,4035791610.932503,35962215.51249998,242529060.80734375,5042788
total,10,20,0.7,80,2442409,7602142.324999997,1510256855.043128,-64652.77500001903,802274405.0006262,5993136.274999993,31450151.33343749,1184509
total,10,20,ALL,120,22089801,93141026.6000001,16891087105.966242,348257.94999981485,9990920315.26372,73576400.47499995,471528637.90326476,10582880
total,10,20,0.3,120,19630080,83926539.10000016,14895825778.850004,282324.69999983686,9063369244.937508,68410018.34999992,450336843.6861108,9427326
total,10,20,0.5,120,10419562,44280919.82499995,8305298254.700636,-46579.47500008404,4813195449.463125,35489014.76666664,229631290.57902768,5040753
total,10,20,0.7,120,2434979,9247246.874999989,1836935578.1056256,-74476.07500002111,807433212.6056265,5894844.458333332,29276307.90187506,1185250
total,10,40,ALL,2,22263261,10724014.85000026,889473902.4375018,227188.37499991874,564824017.6918756,74596596.5,755411242.75,9364169
total,10,40,0.3,2,6332204,3361398.6000000765,507493145.64500064,71486.84999998394,292295946.4175005,25047152.5,302913699.75,2678743
total,10,40,0.5,2,733283,440004.5250000088,195027177.4956254,-256.6250000013906,77827136.575625,2992991.5,43847332.75,314487
total,10,40,0.7,2,59218,43590.90000000071,45071247.53999998,-2871.6000000001004,8350441.799999993,188652.5,3480339.75,25517
total,10,40,ALL,5,22257951,17675896.800000224,2050880305.0612473,508096.57499989023,1301179324.1681263,74558034.99999999,645834924.2799999,9948013
total,10,40,0.3,5,6330892,5425117.100000086,1056045700.5499986,105347.69999997478,617558081.2975006,24131458.000000056,243029820.16000012,2851743
total,10,40,0.5,5,733244,674432.8250000108,302321569.2706248,-6832.925000002459,111835289.67062515,2731793.799999997,31393936.03999998,336486
total,10,40,0.7,5,59218,52012.10000000059,28434714.11000004,-81.00000000016917,58971.05000000065,162789.59999999983,2120481.119999999,27429
total,10,40,ALL,10,22249101,25718791.100000154,3367053088.0462465,632022.8249998651,2119312126.9081254,74493019.10000014,591608442.2099998,10208411
total,10,40,0.3,10,6328412,7771005.200000042,1609115272.9599974,125093.07499996774,895082806.8493739,23343198.499999966,208888677.1700001,2939019
total,10,40,0.5,10,733148,923281.3500000102,386214026.5312502,-19386.575000003395,172777077.57812527,2512598.6999999983,23972135.810000017,346523
total,10,40,0.7,10,59214,82018.62500000071,75201225.87312496,-8777.300000000372,30191449.059999947,143658.59999999986,1422070.34,27903
total,10,40,ALL,20,22231401,37090142.15000013,5092808745.378752,608747.3749998449,3063501891.638126,74366119.20000009,550282468.4950007,10388548
total,10,40,0.3,20,6323534,10934570.800000036,2055790668.303749,136502.49999996243,931724992.9412516,22521033.949999973,180851954.85749984,3002451
