method,t1,t2,r,x,n_peak,a_sum,a_ss,g_sum,g_ss,v_sum,v_ss,rhits
norm,10,80,3.0,10,200558,324613.3000000022,318159841.1187504,-43402.225000000624,139186341.03562525,839271.2999999999,9401127.330000006,96354
norm,10,80,ALL,20,22160601,36891956.400000066,5091644729.911258,595125.5249998437,3062348182.3206215,73747735.89999987,537658649.825,10354450
norm,10,80,1.5,20,3518008,6160760.450000023,1353127615.056249,35328.99999997975,512643546.89625025,13364722.900000013,114645836.84999986,1687197
norm,10,80,2.0,20,1308059,2328121.850000015,748152813.9337503,-7946.250000007416,162174607.91375008,4999446.600000004,44560488.049999945,633887
norm,10,80,3.0,20,200487,420012.7000000021,361448975.38499963,-39959.80000000092,124359750.13499998,751204.65,6996162.137499998,98197
norm,10,80,ALL,40,22125201,53062936.499999985,8325189889.088753,522040.19999982713,4874519476.734997,73545217.90000005,504790553.2699998,10458406
norm,10,80,1.5,40,3513415,8527357.42500002,1907675986.1593757,13898.274999976342,684825272.8093749,12489131.725,94572209.19812492,1703711
norm,10,80,2.0,40,1306924,3230609.4750000094,1143562508.5531244,-19594.625000009386,314480923.9331253,4565579.949999999,35071856.29124997,637893
norm,10,80,3.0,40,200407,567996.550000002,470036705.4374999,-57250.95000000099,202791234.76750013,665494.7749999994,5156337.981874993,97748
norm,10,80,ALL,80,22054401,75664258.94999996,13210066305.216238,361519.9249998238,7772730952.525628,73104589.33750004,472975272.7176562,10535397
norm,10,80,1.5,80,3504612,11840934.75000002,2795752731.1637444,-36865.60000002498,1337180045.951249,11620673.749999998,77206124.89687492,1714655
norm,10,80,2.0,80,1304591,4328641.950000001,1296839705.851249,-40079.400000009635,555934742.22125,4156093.900000006,27282684.55593752,643818
norm,10,80,3.0,80,200095,730307.1499999999,515077898.8274998,-80999.55000000133,246108461.30750027,588787.1249999988,3795825.0865624966,99352
norm,10,80,ALL,120,21983601,92383869.80000013,16879603573.221272,327544.14999981667,9979546825.06876,72686142.25000007,455031366.4577784,10531686
norm,10,80,1.5,120,3488879,14476653.60000002,3378488253.4800005,-174387.20000002536,1479700579.1575027,11368972.425000008,71930777.29645824,1716815
norm,10,80,2.0,120,1299955,5359233.249999992,1750535449.933751,-82722.95000000998,586302127.9012496,4037134.1666666702,24975477.54041662,645286
norm,10,80,3.0,120,199465,866209.0500000009,550217353.6375,-85604.65000000135,231592582.17749953,564879.2666666657,3378871.610694445,100039
norm,20,40,ALL,2,22263261,10724014.85000026,889473902.4375018,108413.62499993597,564364280.0843743,74596596.5,755411242.75,9471291
norm,20,40,1.5,2,841053,458475.1000000092,165669203.5787501,-18717.7750000008,73847262.44562496,2894608.0,37851361.0,360748
norm,20,40,ALL,5,22257951,17675896.800000224,2050880305.0612473,273399.3749999096,1287631211.7181253,74558034.99999999,645834924.2799999,10052568
norm,20,40,1.5,5,840980,710450.8000000126,234569674.07874975,-24573.475000002218,107892396.01562485,2730913.000000002,28557707.07999999,383703
norm,20,40,ALL,10,22249101,25718791.100000154,3367053088.0462465,343803.52499988925,2170450719.4256296,74493019.10000014,591608442.2099998,10325183
norm,20,40,1.5,10,840845,1015714.4750000089,387302835.96437424,-37755.000000003005,158878619.5912498,2581120.8999999976,22996345.87000003,396546
norm,20,40,ALL,20,22231401,37090142.15000013,5092808745.378752,259358.87499986493,3194638166.5656204,74366119.20000009,550282468.4950007,10522586
norm,20,40,1.5,20,840498,1421229.0000000058,545856519.1437492,-35536.250000004664,158494143.54374987,2420196.249999998,18550867.117499966,405698
norm,20,40,ALL,40,22196001,53335372.55000006,8327420281.341247,271008.84999984846,5078334634.138751,74127284.47500002,515737039.9031254,10648956
norm,20,40,1.5,40,840087,1947333.2250000068,706004518.1481252,-56784.325000004865,265546218.39812508,2248784.974999998,14877089.690625008,409207
norm,20,40,ALL,80,22125201,76084021.80000004,13215303670.808762,-179108.05000015986,7993713015.688754,73696809.63749991,484000698.91078216,10734287
norm,20,40,1.5,80,838767,2609113.67500001,756035694.5656245,-90576.67500000584,314072963.8656243,2075328.750000001,11688407.282187497,414743
norm,20,40,ALL,120,22054401,92871590.55000015,16886673650.913754,-271838.7250001665,10355943178.245592,73259035.6999999,465235900.9630556,10734062
norm,20,40,1.5,120,836033,3189974.3250000053,904856026.1831247,-125423.77500000561,321344543.3906249,2032158.3083333357,10802228.345347213,417196
norm,20,80,ALL,2,22192461,10664864.150000261,889373809.6675017,105839.82499993626,564264807.1843743,73934435.0,738897915.5,9439468
norm,20,80,1.5,2,2519381,1382009.6000000334,270748273.5325001,-6242.825000003926,109801065.14937486,11081551.5,147025560.75,1088438
norm,20,80,2.0,2,474808,312728.3500000055,197918124.30999988,-23098.675000000614,73706811.81687503,2332083.5,35587409.25,206963
norm,20,80,3.0,2,5679,14555.400000000007,34998002.96500005,-5850.0000000000255,16644578.955,26380.5,600568.25,2436
norm,20,80,ALL,5,22187151,17577493.750000242,2050600094.6637514,268368.3249999102,1287352556.7806253,73904567.59999987,630872715.0399997,10019607
norm,20,80,1.5,5,2519100,2217697.650000031,535879734.06750065,-12690.825000006356,173638248.75437498,10610504.399999999,117171690.40000004,1152429
norm,20,80,2.0,5,474779,491638.5000000056,322532833.845,-36332.775000001166,117608103.73187502,2187251.5999999978,27160380.160000037,218760
norm,20,80,3.0,5,5679,13157.300000000048,26665754.42500001,-3052.2000000000908,8326115.845000004,23693.399999999994,417473.3199999999,2555
norm,20,80,ALL,10,22178301,25578167.150000177,3366478114.573748,336795.67499988945,2169879030.483125,73852841.30000006,577729766.77,10291211
norm,20,80,1.5,10,2518539,3179073.3000000296,882596761.7800007,-32319.27500001022,261971973.9368755,10143140.10000001,98695013.61000007,1191126
norm,20,80,2.0,10,474725,723884.9500000059,558321058.4325007,-59778.92500000181,186650808.91937488,2045496.400000002,21754800.700000018,226399
norm,20,80,3.0,10,5679,14773.85000000009,26687890.92250002,-3083.350000000074,8328065.632500005,21333.4,308479.1,2625
norm,20,80,ALL,20,22160601,36891956.400000066,5091644729.911258,250262.22499986435,3193481133.548129,73747735.89999987,537658649.825,10487739
norm,20,80,1.5,20,2517038,4413304.425000025,1156880988.1193743,-42148.9250000121,304025371.9093754,9587234.249999994,82561677.40749995,1220444
norm,20,80,2.0,20,474580,1012256.5000000055,799860455.4562502,-66581.75000000215,208894552.63625017,1883745.3999999973,17257349.640000004,231495
norm,20,80,3.0,20,5672,19857.85000000012,36692695.53250001,-6078.2500000000355,18354156.752500005,18826.199999999993,223715.3350000002,2708
norm,20,80,ALL,40,22125201,53062936.499999985,8325189889.088753,263908.39999984845,5076119697.246258,73545217.90000005,504790553.2699998,10613512
norm,20,80,1.5,40,2515075,6086362.500000016,1628008124.4412484,-48255.35000001475,559264123.5312498,8937492.175000004,67894331.33562511,1233430
norm,20,80,2.0,40,474418,1391365.2500000026,1125269987.0837464,-75487.40000000251,408116973.2437499,1710807.5750000007,13517616.419374999,233022
norm,20,80,3.0,40,5672,19294.35000000007,26618704.692500003,-5940.550000000026,18351177.792500004,16078.975000000006,151112.09312499996,2558
norm,20,80,ALL,80,22054401,75664258.94999996,13210066305.216238,-207979.70000015892,7988511988.056235,73104589.33750004,472975272.7176562,10700360
norm,20,80,1.5,80,2509799,8459838.125000004,2454710064.8668714,-86963.72500001642,1066792531.7968755,8277183.712499985,54830940.72265627,1244379
norm,20,80,2.0,80,473686,1739750.8500000057,1077622702.4237506,-101317.90000000299,475747328.6737494,1538504.4375000012,10306222.022656247,236271
norm,20,80,3.0,80,5665,22707.350000000006,26553096.962500002,-6262.8500000001,18328978.8525,13841.474999999999,103179.24968749992,2595
norm,20,80,ALL,120,21983601,92383869.80000013,16879603573.221272,-286248.4750001646,10348926489.54312,72686142.25000007,455031366.4577784,10699607
norm,20,80,1.5,120,2499722,10405511.07499999,3040686820.329376,-264907.17500001634,1257303984.786877,8136635.28333332,51623652.02930552,1249280
norm,20,80,2.0,120,472267,2206807.250000001,1510142846.1987493,-184395.40000000305,627436965.1687514,1495732.6333333335,9471777.023055559,239783
norm,20,80,3.0,120,5625,37862.30000000009,66798657.47,-7229.600000000046,18408879.079999983,13111.40833333334,92200.73451388892,2681
norm,20,160,ALL,2,22050861,10554737.900000278,889199782.0599998,98848.97499993647,564091878.4968746,72771015.0,712977234.0,9377415
norm,20,160,1.5,2,2997455,1645377.950000037,299805034.71124995,-19155.4750000051,168560546.6481248,13986757.0,187858312.5,1299889
norm,20,160,2.0,2,952482,565263.2500000108,193813795.96499997,-15533.775000001266,69594283.38187493,5042048.0,76298910.0,415496
norm,20,160,3.0,2,101860,102136.95000000094,140911047.67500016,-17739.974999999966,53429599.33187501,637373.0,11694507.5,44669
norm,20,160,ALL,5,22045551,17390097.150000267,2050090016.4787514,256246.22499991057,1286845914.9456244,72742899.80000006,607015699.48,9954912
norm,20,160,1.5,5,2996888,2635328.475000028,602460006.1018745,-33489.050000007985,329705091.1087499,13441490.399999982,151461942.00000036,1371612
norm,20,160,2.0,5,952373,889627.5000000123,322383254.35500056,-16803.075000001663,83757236.38187502,4775157.399999998,59948950.67999996,437798
norm,20,160,3.0,5,101848,155909.7000000007,213841747.1600001,-21142.374999999884,66950456.65687504,590125.4,8718565.399999987,46702
norm,20,160,ALL,10,22036701,25300556.000000123,3365366881.8512473,322158.8249998898,2168775493.4106207,72694570.80000006,554920156.9400009,10224055
norm,20,160,1.5,10,2995759,3797857.675000028,1044976249.8018746,-60338.75000001171,470005259.46875036,12886885.399999999,129145766.88000037,1416944
norm,20,160,2.0,10,952183,1316238.5500000112,638101827.8624986,-40091.4250000028,181059539.5993755,4508063.699999995,49495519.63,453673
norm,20,160,3.0,10,101832,251850.7000000012,399108903.60499936,-39898.57500000013,125519516.55187495,544710.900000001,6859670.090000004,48517
norm,20,160,ALL,20,22019001,36486115.50000012,5089275877.52625,236222.57499986567,3191128287.0406246,72596622.79999991,515800616.27500004,10417679
norm,20,160,1.5,20,2993057,5358044.225000014,1574241824.999376,-99955.22500001438,612845919.0568761,12203623.849999994,109154942.25750019,1453102
norm,20,160,2.0,20,951593,1847051.6750000108,935351756.4968743,-73629.27500000403,255886344.26687518,4188009.049999993,40207108.5325,465429
norm,20,160,3.0,20,101785,374965.70000000106,625253826.9362515,-66372.45000000071,197139307.84625015,492484.5999999998,5278207.820000005,49523
norm,20,160,ALL,40,21983601,52482401.800000034,8320189713.308752,247601.89999985078,5071155666.466254,72408604.12499999,484058259.7981251,10543789
norm,20,160,1.5,40,2988841,7452429.900000021,2282860212.8112497,-58833.00000001688,920610136.6312478,11408316.875000002,90812150.35187508,1469116
norm,20,160,2.0,40,950645,2566922.800000006,1376600168.5062516,-105374.5500000048,511375523.4962505,3831645.9999999977,32134491.507500004,470192
