code,n,k,h,s_sum,s_ss,s_n,hits
IM0000,10,0.8,80,155258.59999976883,5080827080.259997,11067501,5461510
IM0000,10,0.8,120,113520.09999976477,6496979208.05001,11043755,5448199
IM0000,10,1.6,5,9986.299999919529,931154637.4100001,5119624,2531992
IM0000,10,1.6,10,-87584.10000008928,1382378470.3500018,5118546,2516655
IM0000,10,1.6,20,-105614.40000009365,1736980395.5199988,5116687,2506930
IM0000,10,1.6,40,-72112.50000010038,2541689732.5700006,5113082,2517576
IM0000,10,1.6,80,-120640.00000010051,4023182111.7600007,5105787,2512103
IM0000,10,1.6,120,-111527.80000010454,5047033353.720006,5096726,2505495
IM0000,20,0.0,5,238843.89999990934,1376754590.8499982,22293351,10524556
IM0000,20,0.0,10,331046.5999998885,2199849119.859999,22284501,10672005
IM0000,20,0.0,20,257956.89999986446,3202986773.330002,22266801,10722616
IM0000,20,0.0,40,261078.99999984947,5073283429.740011,22231401,10723633
IM0000,20,0.0,80,-183647.70000016075,7952457471.589999,22160601,10673246
IM0000,20,0.0,120,-252577.40000016594,10287003544.719982,22089801,10647376
IM0000,20,0.2,5,246966.09999979573,1208943718.869998,19810165,9606781
IM0000,20,0.2,10,340192.59999977343,1964724747.8200042,19802742,9728450
IM0000,20,0.2,20,274655.5999997491,2850328793.320003,19788209,9764988
IM0000,20,0.2,40,247605.99999973242,4487970230.03999,19759240,9758968
IM0000,20,0.2,80,-132094.70000027338,7000880934.089996,19700944,9709999
IM0000,20,0.2,120,-209909.9000002791,9268864909.950008,19642529,9686392
IM0000,20,0.4,5,232987.39999982293,1109777925.5800018,17635564,8586300
IM0000,20,0.4,10,309481.3999997991,1802427263.9600012,17629444,8678174
IM0000,20,0.4,20,240871.89999977668,2658992633.490001,17617578,8698723
IM0000,20,0.4,40,217741.7999997603,4165896967.4199986,17593911,8689666
IM0000,20,0.4,80,-113534.90000024723,6457830962.489986,17546024,8643093
IM0000,20,0.4,120,-158673.6000002498,8538468792.279996,17498115,8623217
IM0000,20,0.8,5,171113.8999998385,1046977627.450001,14006897,6863498
IM0000,20,0.8,10,198429.59999981843,1686165038.559998,14002677,6907991
IM0000,20,0.8,20,118952.99999980004,2430236404.7799973,13994518,6907569
IM0000,20,0.8,40,95318.89999978578,3765905395.4500012,13978623,6898666
IM0000,20,0.8,80,-176478.90000022232,5649835688.769988,13945810,6859774
IM0000,20,0.8,120,-243214.40000022214,7563071013.099996,13912891,6844941
IM0000,20,1.6,5,4068.299999905699,989665771.2699986,8233734,4066572
IM0000,20,1.6,10,-57418.3000001068,1545270644.8899992,8231919,4059353
IM0000,20,1.6,20,-128835.50000011695,2126971949.9499998,8228304,4042471
IM0000,20,1.6,40,-113304.50000012574,3114627688.209998,8221451,4043767
IM0000,20,1.6,80,-286424.7000001295,4747659852.429999,8206787,4024645
IM0000,20,1.6,120,-309680.7000001335,6087753392.930015,8190701,4015020
IM0000,40,0.0,5,-26342.600000069106,1445468978.719997,22257951,10605543
IM0000,40,0.0,10,18291.899999911715,2213493885.8100023,22249101,10743844
IM0000,40,0.0,20,38730.099999892605,3290948094.9899983,22231401,10782255
IM0000,40,0.0,40,-85048.50000012407,5327921378.309999,22196001,10763779
IM0000,40,0.0,80,-711106.3000001347,8497442303.350004,22125201,10706183
IM0000,40,0.0,120,-450626.40000013687,10788159855.31998,22054401,10691723
IM0000,40,0.2,5,-23431.600000146398,1388425504.860001,20559778,9975330
IM0000,40,0.2,10,20485.59999983308,2133076133.54,20552059,10096975
IM0000,40,0.2,20,52192.79999981446,3108886965.4600015,20536616,10126197
IM0000,40,0.2,40,-30811.900000201815,4953527839.73,20505475,10103286
IM0000,40,0.2,80,-666896.6000002116,7855726306.460001,20442678,10045418
IM0000,40,0.2,120,-402210.0000002134,10029349146.819983,20380620,10032867
IM0000,40,0.4,5,-21838.700000131794,1341278270.5100038,19027877,9257514
IM0000,40,0.4,10,9149.799999847572,2050570709.5999987,19021073,9360617
IM0000,40,0.4,20,39494.99999982873,2954500999.460002,19007519,9378648
IM0000,40,0.4,40,-22757.70000018789,4662609042.870004,18980194,9352246
IM0000,40,0.4,80,-642352.0000001971,7326244373.579983,18924677,9294690
IM0000,40,0.4,120,-393404.5000001999,9338038043.11,18870406,9285157
IM0000,40,0.8,5,-38938.20000013032,1286307761.1799998,16319483,7978852
IM0000,40,0.8,10,-29951.200000147874,1945713141.8200004,16314184,8048375
IM0000,40,0.8,20,-24263.500000165397,2775353754.190001,16303838,8051485
IM0000,40,0.8,40,-101770.20000018115,4294969386.100007,16282858,8019617
IM0000,40,0.8,80,-665410.4000001893,6709467361.760002,16239378,7966385
IM0000,40,0.8,120,-447794.3000001923,8476990487.009994,16197587,7960383
IM0000,40,1.6,5,-89890.7000000908,1157512332.3899992,11408408,5625439
IM0000,40,1.6,10,-138669.8000001053,1731712228.9000018,11405393,5643719
IM0000,40,1.6,20,-147722.4000001192,2459039529.2799945,11399508,5625488
IM0000,40,1.6,40,-241034.00000013152,3700870742.7599955,11387728,5594816
IM0000,40,1.6,80,-686470.8000001373,5856670500.279994,11362264,5556422
