code,t1,t2,r,h,n_peak,a_sum,a_ss,g_sum,g_ss,v_sum,v_ss
IM0000,5,120,3.0,10,599019,825616.4000000058,455582503.2800001,-4741.700000002124,105720762.58999996,2561876.0000000005,28401406.379999984
IM0000,5,120,ALL,20,22089801,36706196.20000008,5129954069.659995,783597.5999998343,2802873230.660004,73176619.89999998,526868960.6000004
IM0000,5,120,1.5,20,4046104,7160789.50000002,1759861057.5100005,51442.29999997615,803262984.8500006,15659796.84999998,135776961.6025001
IM0000,5,120,2.0,20,2017860,3609460.6000000103,1152840674.259998,-4943.3000000100255,419839674.7099992,7798029.599999994,69527195.3349999
IM0000,5,120,3.0,20,598728,1093822.4000000048,505726962.8799997,1952.6999999966602,86874884.74999976,2290709.149999999,21200763.58250001
IM0000,5,120,ALL,60,22019001,65056956.50000015,10983839793.969986,837810.7999998156,6105727794.840007,72732992.61666675,475162885.91083384
IM0000,5,120,1.5,60,4032446,12054279.200000014,2921749052.4399996,96883.79999997174,1436953819.8199947,14076755.483333316,100321227.59305553
IM0000,5,120,2.0,60,2012128,5969710.50000001,1764282570.730002,13871.59999998667,737015315.5200003,6805956.316666656,48259408.013611205
IM0000,5,120,3.0,60,597489,1818846.4,861744171.7399992,-524.9000000038632,287042024.2099997,1915676.4666666652,13461296.428333312
IM0000,10,60,ALL,10,22213701,25671096.50000019,3430729697.5299983,614618.3999998649,2128311041.4999971,74150538.20000008,583653875.8799995
IM0000,10,60,1.5,10,3344523,4225042.400000037,1117514190.180001,30394.599999984286,507334281.5600002,12998373.900000032,123812950.84999993
IM0000,10,60,2.0,10,1118876,1435599.7000000144,522851010.0900003,-13890.400000005637,197503891.3799999,4362333.899999998,43816830.789999984
IM0000,10,60,3.0,10,118672,221630.00000000148,287618689.78000015,-47520.60000000047,147308663.67999968,441287.5999999999,4812532.420000003
IM0000,10,60,ALL,20,22196001,37001403.80000006,5131626512.100008,590949.0999998443,3054648375.5499945,74034981.34999995,543040697.9425011
IM0000,10,60,1.5,20,3342503,5861230.700000015,1378390497.4900012,61033.599999981525,446369629.9800006,12292703.19999998,103216997.13500002
IM0000,10,60,2.0,20,1118363,1965130.6000000094,652019188.3800008,-6951.50000000633,174710645.77000004,4029087.599999997,34762837.37499999
IM0000,10,60,3.0,20,118628,259110.90000000168,257532799.83000013,-37297.30000000059,115670229.78999996,394245.9999999999,3521911.620000005
IM0000,10,60,ALL,60,22125201,65596844.999999985,10989606491.519989,471465.39999982057,6421904619.060004,73614028.14999995,491472419.92916644
IM0000,10,60,1.5,60,3334662,9820074.100000026,2355302839.3099976,-7431.1000000243785,1069785366.330001,11076215.949999996,76156809.69694442
IM0000,10,60,2.0,60,1116516,3276615.1000000047,1176262491.4300041,-44489.800000008225,487341988.1200003,3494282.5000000005,23653691.013888877
