code,n,k_ticks,k_pts,h,s_sum,s_ss,s_n,hits
IM0000,10,1,0.2,10,564870.0999996947,1991264358.6499953,18676370,9172070
IM0000,10,1,0.2,20,537913.399999675,2777788368.300005,18662816,9213339
IM0000,10,1,0.2,40,476823.5999996571,4274148340.9399943,18636198,9226568
IM0000,10,1,0.2,80,376735.99999965687,6665008388.840006,18583002,9187061
IM0000,10,1,0.2,120,324880.39999964926,8704073735.65999,18529192,9167675
IM0000,10,2,0.4,5,390055.9999997725,1133878691.5999992,15689083,7651132
IM0000,10,2,0.4,10,481240.8999997467,1792520824.0899963,15683697,7721652
IM0000,10,2,0.4,20,441403.9999997269,2462403535.0999994,15673470,7740345
IM0000,10,2,0.4,40,393524.3999997114,3760416596.160009,15653714,7748689
IM0000,10,2,0.4,80,336453.699999711,5908656153.790019,15614100,7715113
IM0000,10,2,0.4,120,268933.6999997049,7644824958.070024,15573694,7698271
IM0000,10,3,0.6,5,335958.09999980516,1090490185.729998,13391573,6557253
IM0000,10,3,0.6,10,386679.99999978155,1663230616.4199986,13387312,6600445
IM0000,10,3,0.6,20,349922.1999997649,2237424543.6799994,13379394,6605884
IM0000,10,3,0.6,40,292505.49999975145,3506801543.730003,13364178,6611644
IM0000,10,3,0.6,80,266306.49999974994,5450598193.229996,13333643,6583609
IM0000,10,3,0.6,120,212633.69999974378,6996321016.609994,13302111,6569232
IM0000,10,4,0.8,5,264587.1999998138,1051296468.4199997,11110476,5464325
IM0000,10,4,0.8,10,269324.0999997955,1563241752.4900012,11107255,5482226
IM0000,10,4,0.8,20,243202.39999978166,2120118405.9000018,11101361,5477129
IM0000,10,4,0.8,40,174253.19999976936,3282723606.5399995,11090083,5482617
IM0000,10,4,0.8,80,155258.59999976883,5080827080.259997,11067501,5461510
IM0000,10,4,0.8,120,113520.09999976477,6496979208.05001,11043755,5448199
IM0000,10,6,1.2,5,113381.49999986953,995060701.7099999,7360623,3635840
IM0000,10,6,1.2,10,48127.699999859324,1455218598.8900018,7358829,3627117
IM0000,10,6,1.2,20,24756.999999850792,1885055870.4000022,7355710,3615951
IM0000,10,6,1.2,40,41812.79999984228,2807587582.239993,7349619,3625441
IM0000,10,6,1.2,80,20272.099999841004,4391423752.049997,7337390,3615076
IM0000,10,6,1.2,120,-5549.600000162769,5606361674.0599985,7323521,3604639
IM0000,10,8,1.6,5,9986.299999919529,931154637.4100001,5119624,2531992
IM0000,10,8,1.6,10,-87584.10000008928,1382378470.3500018,5118546,2516655
IM0000,10,8,1.6,20,-105614.40000009365,1736980395.5199988,5116687,2506930
IM0000,10,8,1.6,40,-72112.50000010038,2541689732.5700006,5113082,2517576
IM0000,10,8,1.6,80,-120640.00000010051,4023182111.7600007,5105787,2512103
IM0000,10,8,1.6,120,-111527.80000010454,5047033353.720006,5096726,2505495
IM0000,10,12,2.4,5,-127899.80000003717,835120181.4400003,2337470,1158864
IM0000,10,12,2.4,10,-241101.70000004003,1250459746.5300035,2337066,1142908
IM0000,10,12,2.4,20,-266536.4000000432,1521940303.4200025,2336442,1137918
IM0000,10,12,2.4,40,-221741.7000000449,1994019729.2300007,2335194,1147571
IM0000,10,12,2.4,80,-284946.10000004625,3212997076.869997,2332645,1145545
IM0000,10,12,2.4,120,-242347.50000004642,4002873439.0900016,2328749,1143855
IM0000,10,16,3.2,5,-194499.20000001809,827112620.9199998,1154459,574644
IM0000,10,16,3.2,10,-296182.40000001906,1199942747.2200007,1154293,563433
IM0000,10,16,3.2,20,-300366.40000002016,1359906721.0799983,1154047,561939
IM0000,10,16,3.2,40,-256631.00000002034,1750768710.5199993,1153569,569100
IM0000,10,16,3.2,80,-356385.80000002077,2755891121.460003,1152572,566918
IM0000,10,16,3.2,120,-326637.0000000226,3284960269.960004,1150717,566500
IM0000,10,20,4.0,5,-222196.40000000448,809954154.7800007,593745,297588
IM0000,10,20,4.0,10,-322787.40000000515,1167301696.2200017,593676,290787
IM0000,10,20,4.0,20,-305108.2000000057,1277323190.9400005,593570,290508
IM0000,10,20,4.0,40,-279230.1000000058,1599152644.0100002,593364,295484
IM0000,10,20,4.0,80,-385141.10000000603,2587237656.9699974,592986,292870
IM0000,10,20,4.0,120,-326760.80000000604,2899151654.100009,592094,293028
IM0000,15,0,0.0,5,328305.4999998992,1418274945.8499985,22302201,10465527
IM0000,15,0,0.0,10,471747.09999987256,2194950523.9499993,22293351,10622705
IM0000,15,0,0.0,20,419241.8999998522,3155151531.6499996,22275651,10678369
IM0000,15,0,0.0,40,381654.4999998316,4972431525.930003,22240251,10687965
IM0000,15,0,0.0,80,41074.499999828025,7927881344.550014,22169451,10643177
IM0000,15,0,0.0,120,-116304.10000017902,10228374417.949991,22098651,10619909
IM0000,15,1,0.2,5,314478.79999976384,1307566962.500004,19397092,9397313
IM0000,15,1,0.2,10,458426.79999973864,1948846528.8600006,19389921,9522278
IM0000,15,1,0.2,20,412694.39999971644,2795116731.059994,19375686,9559837
IM0000,15,1,0.2,40,350635.999999701,4405155860.120003,19347588,9563081
IM0000,15,1,0.2,80,76796.49999969594,6982469452.950008,19291182,9519069
IM0000,15,1,0.2,120,-37759.30000031119,9119881702.410004,19234687,9499457
IM0000,15,2,0.4,5,286926.9999997989,1177453354.299997,16897683,8224662
IM0000,15,2,0.4,10,403002.9999997739,1729138359.8599985,16891901,8313478
IM0000,15,2,0.4,20,355933.19999975304,2512552929.16,16880566,8333101
IM0000,15,2,0.4,40,285366.7999997366,3981958988.4000015,16858528,8331962
IM0000,15,2,0.4,80,67815.89999973215,6193707163.409999,16814073,8291656
IM0000,15,2,0.4,120,-37344.2000002735,8085555272.340007,16769268,8275148
IM0000,15,3,0.6,5,247676.49999982,1106753109.2300024,14918414,7285666
IM0000,15,3,0.6,10,337440.7999997983,1645311614.379999,14913762,7348783
IM0000,15,3,0.6,20,282778.7999997791,2364615362.259997,14904515,7355746
IM0000,15,3,0.6,40,217234.09999976557,3766727845.3300014,14886743,7353970
IM0000,15,3,0.6,80,21017.49999975767,5729138057.949999,14850492,7318015
IM0000,15,3,0.6,120,-37362.200000245786,7456926120.939997,14813734,7303652
IM0000,15,4,0.8,5,200257.89999982546,1056571270.5500002,12868987,6309428
IM0000,15,4,0.8,10,248905.4999998069,1559587068.3100002,12865339,6346831
IM0000,15,4,0.8,20,196589.99999978996,2218135831.200001,12858103,6343025
IM0000,15,4,0.8,40,120831.39999977814,3544537247.3200073,12844484,6341937
IM0000,15,4,0.8,80,-63185.700000227866,5388957426.830012,12816161,6310086
IM0000,15,4,0.8,120,-107154.00000023124,6977388105.120002,12787077,6297752
IM0000,15,6,1.2,5,82294.69999986803,1011342921.8300003,9264219,4565438
IM0000,15,6,1.2,10,57711.29999985494,1477245072.869999,9262025,4568784
IM0000,15,6,1.2,20,-3827.5000001581047,2081301198.1100001,9257752,4553873
IM0000,15,6,1.2,40,-26321.50000016742,3136504351.1899996,9249551,4558681
IM0000,15,6,1.2,80,-153385.60000017,4776088333.420006,9232409,4538835
IM0000,15,6,1.2,120,-188278.20000017525,6172286109.980006,9213920,4528534
IM0000,15,8,1.6,5,-8519.900000089745,991759359.6700006,6902872,3410655
IM0000,15,8,1.6,10,-76192.80000010111,1451916044.8000007,6901453,3398585
IM0000,15,8,1.6,20,-130698.00000010895,1967164949.7800014,6898663,3382941
IM0000,15,8,1.6,40,-101222.40000011638,2917981853.179998,6893387,3391102
IM0000,15,8,1.6,80,-180854.30000011978,4471789447.989997,6882190,3379134
IM0000,15,8,1.6,120,-188510.90000012302,5668947085.790007,6869318,3370277
IM0000,15,12,2.4,5,-132973.40000004857,950319190.9600004,3591145,1782083
IM0000,15,12,2.4,10,-241661.00000005387,1348730224.7199984,3590583,1760942
IM0000,15,12,2.4,20,-278522.20000005845,1689705223.8199983,3589497,1750563
IM0000,15,12,2.4,40,-245846.40000006132,2451531341.7199984,3587408,1759775
IM0000,15,12,2.4,80,-289664.1000000613,3817805921.7500014,3582853,1756317
IM0000,15,12,2.4,120,-276677.70000006544,4829181645.450004,3576695,1750739
IM0000,15,16,3.2,5,-188906.100000028,903759362.47,1954814,974322
IM0000,15,16,3.2,10,-295300.2000000286,1262348255.599999,1954556,957106
IM0000,15,16,3.2,20,-329554.2000000323,1590963575.7000015,1954065,952350
IM0000,15,16,3.2,40,-287651.5000000321,2224504832.310004,1953179,959860
