code,n,k_ticks,k_pts,x,s_sum,s_ss,s_n,hits
IM0000,6,0,0.0,10,794554.8499998539,1951094742.528753,22309281,10398457
IM0000,6,1,0.2,10,690579.7999996316,1742544435.4750006,17559923,8631396
IM0000,6,2,0.4,10,576000.1999997133,1538942106.244998,13897501,6847228
IM0000,6,3,0.6,10,449233.3499997719,1427806125.4637494,11217290,5533819
IM0000,6,4,0.8,10,329554.4499997982,1366623833.637497,8735653,4314252
IM0000,6,6,1.2,10,96229.22499988183,1169527272.4681256,5080242,2499582
IM0000,6,8,1.6,10,-47329.60000006558,1114501729.4675016,3199915,1567231
IM0000,6,10,2.0,10,-147266.4000000208,1030066611.4275,1860501,907490
IM0000,6,13,2.6,10,-209934.20000001878,985251147.8725001,1012386,491637
IM0000,6,16,3.2,10,-241758.10000001048,936938651.5137503,531097,257402
IM0000,6,20,4.0,10,-259182.8500000032,900754327.9887487,247531,120289
IM0000,6,30,6.0,10,-251698.7750000009,814002964.3231262,52999,26329
IM0000,6,45,9.0,10,-243678.59999999995,747483121.4287503,9436,4714
IM0000,6,60,12.0,10,-232503.2249999998,705589562.0031252,2455,1217
IM0000,6,90,18.0,10,-233038.37500000003,697093053.930625,487,145
IM0000,8,0,0.0,10,702726.4499998579,2109036661.2137504,22305741,10483921
IM0000,8,1,0.2,10,620413.2999996673,1935007110.2262506,18216027,8949459
IM0000,8,2,0.4,10,531409.5499997311,1678506690.8837523,14935659,7356459
IM0000,8,3,0.6,10,425952.4249997755,1600191114.0306273,12465561,6147411
IM0000,8,4,0.8,10,315215.4249997955,1498012970.261874,10082289,4977971
IM0000,8,6,1.2,10,89387.99999986791,1358520663.7062519,6330131,3118460
IM0000,8,8,1.6,10,-53097.5250000785,1259801073.8368747,4223057,2073540
IM0000,8,10,2.0,10,-167511.47500002748,1165079790.630627,2606571,1275058
IM0000,8,13,2.6,10,-226946.1750000258,1100387399.8018734,1503301,733201
IM0000,8,16,3.2,10,-271730.8750000143,1072006226.4506272,834356,407103
IM0000,8,20,4.0,10,-291218.67500000424,1035503628.4543756,410582,200495
IM0000,8,30,6.0,10,-294068.80000000144,950215012.3550005,97725,48412
IM0000,8,45,9.0,10,-286697.2250000002,887183797.5368754,19163,9700
IM0000,8,60,12.0,10,-267474.64999999973,818432922.9674995,5513,2784
IM0000,8,90,18.0,10,-260226.67499999996,784838697.190625,923,379
IM0000,10,0,0.0,10,645006.1749998634,2120004146.4756265,22302201,10538648
IM0000,10,1,0.2,10,586686.8499996956,1938623780.8399959,18676346,9172279
IM0000,10,2,0.4,10,500153.9999997462,1748202916.952497,15683641,7721840
IM0000,10,3,0.6,10,405666.04999978136,1618914514.0649986,13387222,6600623
IM0000,10,4,0.8,10,288344.4499997959,1518926931.660001,11107128,5482393
IM0000,10,6,1.2,10,67331.34999985946,1410907228.3800008,7358634,3627259
IM0000,10,8,1.6,10,-68332.1500000893,1338067922.6662507,5118280,2516771
IM0000,10,10,2.0,10,-174919.35000003278,1272014142.1724994,3303753,1620088
IM0000,10,13,2.6,10,-234052.2500000323,1174693530.6387496,1993604,974325
IM0000,10,16,3.2,10,-277057.975000019,1155644128.968125,1153920,563462
IM0000,10,20,4.0,10,-303847.30000000534,1123004574.6025019,593286,290780
IM0000,10,30,6.0,10,-315189.375000001,1032035676.1943728,151091,75424
IM0000,10,45,9.0,10,-295554.6250000007,931178158.683126,31322,16103
IM0000,10,60,12.0,10,-281479.2500000002,870566991.97375,9407,4822
IM0000,10,90,18.0,10,-269212.7250000001,820214252.088125,1618,758
IM0000,13,0,0.0,10,523860.77499987104,2151561438.2581296,22296891,10594996
IM0000,13,1,0.2,10,478657.9499997242,1951943091.28,19156108,9407124
IM0000,13,2,0.4,10,427664.0749997647,1744138644.031875,16490672,8117610
IM0000,13,3,0.6,10,348663.47499979084,1635499634.3718772,14399209,7096911
IM0000,13,4,0.8,10,262839.6749998002,1526340906.7668753,12264915,6053517
IM0000,13,6,1.2,10,68352.84999985335,1426125098.1287487,8591055,4237549
IM0000,13,8,1.6,10,-57553.600000098515,1371642145.9312487,6255060,3079731
IM0000,13,10,2.0,10,-159144.87500003996,1278261204.235625,4243041,2083939
IM0000,13,13,2.6,10,-232803.25000003958,1218268727.8762498,2696215,1320902
IM0000,13,16,3.2,10,-281315.7000000244,1197082972.1837478,1637064,801061
IM0000,13,20,4.0,10,-298950.675000007,1160959674.734375,885561,435608
IM0000,13,30,6.0,10,-310426.85000000166,1082503312.20625,244362,123248
IM0000,13,45,9.0,10,-283409.3499999998,929918646.3700012,53773,28182
IM0000,13,60,12.0,10,-277280.52500000043,875628851.4918755,17004,9022
IM0000,13,90,18.0,10,-265598.8,816753550.9062501,3022,1506
IM0000,16,0,0.0,10,463328.7749998764,2117008425.4031262,22291581,10633503
IM0000,16,1,0.2,10,455975.5999997448,1889839499.1175032,19486466,9569096
IM0000,16,2,0.4,10,411120.1999997798,1669852952.5825016,17067046,8400486
IM0000,16,3,0.6,10,347039.6999998001,1589584320.0775018,15138729,7460582
IM0000,16,4,0.8,10,271296.1999998078,1539253528.9624994,13126375,6476246
IM0000,16,6,1.2,10,85107.74999985387,1441411516.2262504,9560825,4716674
IM0000,16,8,1.6,10,-46663.225000102626,1409144771.449378,7197302,3545788
IM0000,16,10,2.0,10,-146070.77500004452,1339864794.3568761,5069949,2492823
