method,t1,t2,r,h,n_peak,a_sum,a_ss,g_sum,g_ss,v_sum,v_ss
total,10,120,0.3,60,115375,490773.6000000008,607123031.7200001,-83516.90000000056,320224235.350001,389282.38333333284,2891321.954722223
total,10,120,0.5,60,3557,67499.00000000009,177626925.52000025,-25520.700000000033,78410852.72999996,10900.216666666664,95255.74416666669
total,10,120,0.7,60,78,218.40000000001146,2412.5200000000214,-164.59999999999854,2411.880000000021,216.64999999999998,2509.5502777777774
total,10,180,ALL,10,22001301,25268596.30000017,3429157666.110007,577606.6999998654,2126756550.8899987,72459929.20000002,551250862.1999998
total,10,180,0.3,10,19623,100133.40000000015,235882344.52000028,-28117.600000000206,86867743.72000006,106992.1999999999,1586815.4600000014
total,10,180,0.5,10,426,33867.60000000003,101763781.70000002,-18889.000000000015,58445332.12000001,2356.4,42644.28
total,10,180,0.7,10,17,46.599999999997635,311.7999999999705,-46.599999999997635,311.7999999999705,113.19999999999999,1888.3
total,10,180,ALL,20,21983601,36416543.50000016,5128318420.630009,548233.3999998462,3051380258.659994,72367117.04999997,512387500.78750044
total,10,180,0.3,20,19612,107271.40000000014,230558101.38000003,-40266.50000000015,121882920.54999997,92806.24999999987,1110561.7974999994
total,10,180,0.5,20,426,33956.20000000002,101688588.32000001,-22031.50000000003,68463153.73000002,1956.0,26636.215
total,10,180,0.7,20,17,25.0,168.07999999998168,-21.399999999997817,168.07999999998168,126.65,2283.8225
total,10,180,ALL,60,21912801,64579610.20000005,10979345642.820002,432211.1999998215,6411763581.419995,72021171.1166667,464484824.0147219
total,10,180,0.3,60,19583,173637.4000000002,369372949.5000001,-82360.60000000028,235280366.56,71677.38333333333,602295.0341666667
total,10,180,0.5,60,426,34379.30000000001,101136688.97000004,-22237.499999999993,68355851.23000003,1528.9166666666663,15919.334166666664
total,10,180,0.7,60,17,115.39999999999873,1915.7399999999598,-115.39999999999873,1915.7399999999598,95.15,1238.7952777777778
total,20,120,ALL,10,22107501,25472707.30000018,3429972693.449996,310808.99999988946,2198358529.1400027,73304342.70000018,567512830.2099994
total,20,120,0.3,10,1329370,1786521.0000000137,798421835.7399986,-66155.500000004,254485505.21000051,5883420.700000002,61588182.82999997
total,20,120,0.5,10,50229,175056.40000000075,357838952.5599993,-43585.000000000124,133707470.26000004,253291.10000000056,3214961.9099999946
total,20,120,0.7,10,1107,28898.39999999997,85161957.46000002,-22082.20000000002,68527606.94000003,5398.999999999999,83716.3
total,20,120,ALL,20,22089801,36706196.20000008,5129954069.659995,232119.6999998649,3199786737.43,73176619.89999998,526868960.6000004
total,20,120,0.3,20,1328664,2504043.200000013,1163699180.7799976,-95862.40000000528,355510810.6600001,5491070.1,50364272.94500002
total,20,120,0.5,20,50211,225645.60000000036,439800623.7600007,-58571.10000000024,171935937.41000012,226777.75000000032,2397430.6575000016
total,20,120,0.7,20,1107,32378.399999999994,95164884.98000002,-15851.400000000018,48423836.559999995,4630.35,56809.982500000006
total,20,120,ALL,60,22019001,65056956.50000015,10983839793.969986,-24957.400000158323,6621145624.03998,72732992.61666675,475162885.91083384
total,20,120,0.3,60,1326116,4127687.1000000047,1835143393.4099998,-95829.20000000727,818711760.3800002,4803061.583333335,35561512.62416666
total,20,120,0.5,60,50163,359033.20000000036,676535741.9199996,-108254.40000000011,413565187.83999956,184448.9500000002,1472056.8913888887
total,20,120,0.7,60,1107,33363.3,94806350.03,-25850.0,78444765.8,3547.083333333333,30878.681944444445
total,30,120,ALL,10,22107501,25472707.30000018,3429972693.449996,35911.19999990365,2338248776.399998,73304342.70000018,567512830.2099994
total,30,120,0.3,10,5646142,6921200.500000048,1645092887.7499974,-119549.10000001987,859287474.6500012,22155066.099999983,202290274.87000012
total,30,120,0.5,10,348017,608993.8000000038,626379218.3600006,-76027.9000000011,225961596.32999992,1670449.499999996,18336580.549999986
total,30,120,0.7,10,7973,89380.59999999993,250629114.76000002,-34972.69999999998,108639560.61000006,41025.39999999999,580104.6599999998
total,30,120,ALL,20,22089801,36706196.20000008,5129954069.659995,124945.29999988059,3328765259.010001,73176619.89999998,526868960.6000004
total,30,120,0.3,20,5641737,9740322.400000038,2284116538.22,-54310.50000002564,1114584446.610002,21346212.95000002,176307174.84750012
total,30,120,0.5,20,347924,854264.7000000043,886650248.3300008,-87800.30000000185,311973318.8900001,1551833.349999996,14930068.822499994
total,30,120,0.7,20,7973,64010.60000000005,160209401.45999995,-28564.099999999984,88548805.60999998,36379.45,431051.92749999993
total,30,120,ALL,60,22019001,65056956.50000015,10983839793.969986,-156132.10000014343,6939792818.450004,72732992.61666675,475162885.91083384
total,30,120,0.3,60,5622854,16644465.000000045,4022935232.200004,-17866.50000002975,2028567987.890001,19762956.349999994,138826061.53194425
total,30,120,0.5,60,347495,1418380.3000000045,1474997152.9300008,-92391.80000000139,797270994.3399988,1337767.1333333335,10362812.14444444
total,30,120,0.7,60,7972,86420.30000000005,201679673.1900001,-54704.20000000004,160680763.92000008,29134.316666666673,250219.81083333326
total,40,120,ALL,10,22107501,25472707.30000018,3429972693.449996,7475.99999991219,2212425986.320001,73304342.70000018,567512830.2099994
total,40,120,0.3,10,13000883,15262390.000000106,2345614489.96,-71461.00000004683,1340273981.9399989,46970559.199999936,391491537.21999985
total,40,120,0.5,10,1502301,2012322.700000019,958461247.0500002,-70365.500000004,396145095.56999975,6452303.699999996,64491624.79000004
total,40,120,0.7,10,47492,192626.80000000057,422164264.0400001,-60044.10000000014,185637874.80999976,238578.60000000024,2863425.0400000033
total,40,120,ALL,20,22089801,36706196.20000008,5129954069.659995,22368.699999892764,3288639406.170002,73176619.89999998,526868960.6000004
total,40,120,0.3,20,12988107,21817369.70000008,3561606295.0900016,-63816.20000005606,2097695903.6599998,46143022.19999998,353630852.4300002
total,40,120,0.5,20,1501676,2823515.8000000133,1366643409.6200016,-70973.60000000623,588430526.1000011,6127538.449999999,54622340.12249999
total,40,120,0.7,20,47491,182975.7000000004,331658793.3500007,-48061.69999999995,148985075.1100001,219269.50000000012,2277390.7550000004
total,40,120,ALL,60,22019001,65056956.50000015,10983839793.969986,-405478.3000001344,7026676301.830006,72732992.61666675,475162885.91083384
total,40,120,0.3,60,12934422,38071308.200000115,6841470183.180001,-180901.50000007238,4024409770.810004,44485693.21666667,301675664.5425
total,40,120,0.5,60,1498729,4742295.4000000125,2288993360.060002,-56813.200000006516,1135763507.9999971,5497846.800000008,40374012.87222224
total,40,120,0.7,60,47426,311928.1000000002,550322801.7700001,-107016.99999999996,405624065.42000026,184765.51666666675,1491356.9063888923
total,60,120,ALL,10,22107501,25472707.30000018,3429972693.449996,-213835.40000007369,2437831910.300007,73304342.70000018,567512830.2099994
total,60,120,0.3,10,21398839,24707184.500000175,3289942288.890007,-242471.00000007107,2391328164.5999994,71813393.39999998,559564759.6800001
total,60,120,0.5,10,10578104,12262673.900000079,2056762538.5699992,-168330.4000000288,1232085781.6199992,37892203.29999996,313016727.9899998
total,60,120,0.7,10,929292,1357970.3000000091,1015217245.5900015,-126349.50000000223,562922664.4500014,3875582.2,38528185.49999994
total,60,120,ALL,20,22089801,36706196.20000008,5129954069.659995,-223705.80000009065,3542338156.039998,73176619.89999998,526868960.6000004
total,60,120,0.3,20,21381231,35549041.200000085,4820755162.539993,-229127.40000008716,3409368499.2999954,71613682.39999999,518785310.30000013
total,60,120,0.5,20,10568634,17522014.700000066,3113475978.649999,-180067.900000036,1890063073.650003,37186165.15000002,281878772.7624999
total,60,120,0.7,20,928974,1888942.6000000127,1364310913.22,-142080.1000000021,756238634.2499989,3690286.2500000005,32661745.4025
total,60,120,ALL,60,22019001,65056956.50000015,10983839793.969986,-938920.5000001133,7659155367.249994,72732992.61666675,475162885.91083384
total,60,120,0.3,60,21310946,62868863.8,9889603108.400007,-789456.6000001092,6957606712.340005,71107248.4666666,467240004.44222283
total,60,120,0.5,60,10522657,30629252.90000001,5533275885.929985,-397195.30000004696,3362919944.4499974,35936554.20000003,241027342.59222203
total,60,120,0.7,60,926837,3214771.700000001,2273165541.5899982,-176001.50000000288,1195858609.53,3360285.1333333296,24686204.011111088
