method,t1,t2,r,h,n_peak,a_sum,a_ss,g_sum,g_ss,v_sum,v_ss
norm,10,20,ALL,60,22196001,65951246.30000001,10993631873.529985,484256.7999998199,6425896448.379994,74243674.78333326,504215958.0486109
norm,10,20,1.5,60,1400617,3723856.700000004,840827209.3099986,-25908.90000001128,426377050.0499997,3110940.8333333335,16122377.38666668
norm,10,30,ALL,10,22266801,25787903.800000165,3431253257.0199957,625089.9999998637,2128830388.0199983,74690278.60000005,596791291.9600009
norm,10,30,1.5,10,2490206,3016713.800000031,860112816.7399987,-4632.400000012958,521262571.6800005,8348378.099999992,73266861.74999997
norm,10,30,2.0,10,411321,505980.2000000051,260224666.89999998,-31213.500000002314,145244610.38999972,1121596.8000000005,9962817.600000003
norm,10,30,3.0,10,166,127.29999999999109,182.74999999997334,-3.7000000000007276,175.48999999997687,87.40000000000002,76.05999999999997
norm,10,30,ALL,20,22249101,37163184.200000055,5132681962.779997,602807.1999998443,3055694486.4800034,74553696.89999998,554908148.9849997
norm,10,30,1.5,20,2488837,4150659.800000011,941628527.0199996,19594.599999985643,466669126.7999998,7917957.399999995,60502653.19499999
norm,10,30,2.0,20,411129,658205.700000005,222371182.4099999,-17238.000000002925,105797801.59999989,1030144.4500000018,7574784.117499987
norm,10,30,3.0,20,166,164.40000000000055,274.4399999999928,-43.80000000000928,271.51999999999157,80.39999999999998,65.26499999999997
norm,10,30,ALL,60,22178301,65854834.20000011,10992395663.880009,482533.4999998206,6424670601.309998,74068281.41666669,500281541.6197223
norm,10,30,1.5,60,2483468,7020842.3000000045,1564595030.5499988,-62049.50000001937,818468970.1299993,7243680.9166666595,45091892.430277765
norm,10,30,2.0,60,410621,1106053.000000002,377222128.78000087,-30285.800000002935,161354425.78,902927.2666666663,5038614.753888887
norm,10,30,3.0,60,166,286.9999999999982,818.679999999961,-69.69999999999345,795.5699999999595,85.88333333333335,57.10250000000001
norm,10,40,ALL,10,22249101,25745059.40000014,3431045481.2199974,619123.7999998652,2128624342.640001,74493019.10000014,591608442.2099998
norm,10,40,1.5,10,3022480,3709539.1000000266,964565293.3899997,35477.09999998451,468963898.3699999,10801313.399999995,98494378.69999982
norm,10,40,2.0,10,733148,932186.7000000098,411180383.1300002,-22529.80000000337,181102032.52000022,2512598.6999999983,23972135.810000017
norm,10,40,3.0,10,26497,36512.200000000346,33328524.12000001,-2767.5000000002456,8365842.589999994,56943.999999999985,592480.9399999998
norm,10,40,ALL,20,22231401,37105674.70000012,5132273256.850003,597205.2999998442,3055289775.690002,74366119.20000009,550282468.4950007
norm,10,40,1.5,20,3020801,5140133.900000022,1136509714.1100016,62901.29999998329,397619064.1699997,10240654.000000002,81823504.175
norm,10,40,2.0,20,732795,1242814.2000000079,428825626.00000024,-14722.800000004276,159027350.9000002,2314547.749999996,18682899.36749998
norm,10,40,3.0,20,26487,43592.50000000032,25049182.56999997,-2812.900000000366,8406300.73,50822.30000000003,426642.85000000003
norm,10,40,ALL,60,22160601,65765011.200000085,10991329756.460007,479696.19999982027,6423614097.619996,73906324.05000007,496928980.8013885
norm,10,40,1.5,60,3013897,8695581.20000002,2003698687.580001,-45271.30000002198,937559338.3700011,9318199.849999988,60859222.84527781
norm,10,40,2.0,60,731816,2037345.6000000045,630398809.6000001,-55857.40000000523,286850475.9199999,2018071.349999997,12639188.726388894
norm,10,40,3.0,60,26472,84142.60000000037,75078768.4800001,886.2999999996946,227336.53000000078,42324.883333333324,241172.96805555577
norm,10,60,ALL,10,22213701,25671096.50000019,3430729697.5299983,614618.3999998649,2128311041.4999971,74150538.20000008,583653875.8799995
norm,10,60,1.5,10,3344523,4225042.400000037,1117514190.180001,30394.599999984286,507334281.5600002,12998373.900000032,123812950.84999993
norm,10,60,2.0,10,1118876,1435599.7000000144,522851010.0900003,-13890.400000005637,197503891.3799999,4362333.899999998,43816830.789999984
norm,10,60,3.0,10,118672,221630.00000000148,287618689.78000015,-47520.60000000047,147308663.67999968,441287.5999999999,4812532.420000003
norm,10,60,ALL,20,22196001,37001403.80000006,5131626512.100008,590949.0999998443,3054648375.5499945,74034981.34999995,543040697.9425011
norm,10,60,1.5,20,3342503,5861230.700000015,1378390497.4900012,61033.599999981525,446369629.9800006,12292703.19999998,103216997.13500002
