code,n,k_ticks,k_pts,x,s_sum,s_ss,s_n,hits
IM0000,10,20,4.0,10,-322787.40000000515,1167301696.2200017,593676,290787
IM0000,10,30,6.0,10,-333661.2000000012,1076324779.5400023,151416,75448
IM0000,10,45,9.0,10,-313299.9000000005,975458117.9500005,31530,16121
IM0000,10,60,12.0,10,-298647.1,914843635.0699999,9551,4853
IM0000,10,90,18.0,10,-285642.30000000005,864480344.4299998,1680,784
IM0000,13,0,0.0,10,519539.5999998713,2172227292.839999,22296891,10594744
IM0000,13,1,0.2,10,465383.59999972384,2015923316.8800013,19156136,9406879
IM0000,13,2,0.4,10,408170.0999997642,1791482205.2500002,16490733,8117389
IM0000,13,3,0.6,10,329136.09999979124,1682842834.650002,14399284,7096700
IM0000,13,4,0.8,10,243320.89999980025,1573683020.850001,12265010,6053314
IM0000,13,6,1.2,10,48989.79999985317,1473464299.5999994,8591221,4237385
IM0000,13,8,1.6,10,-77001.50000009837,1418980379.609998,6255292,3079601
IM0000,13,10,2.0,10,-178596.9000000399,1325600770.7699997,4243335,2083838
IM0000,13,13,2.6,10,-252240.70000003983,1265605143.489999,2696538,1320829
IM0000,13,16,3.2,10,-300688.7000000246,1244413686.7899978,1637436,801021
IM0000,13,20,4.0,10,-318329.20000000723,1208284913.439999,885908,435567
IM0000,13,30,6.0,10,-329316.1000000017,1129820906.8899999,244670,123256
IM0000,13,45,9.0,10,-301651.80000000005,977225608.5000007,53972,28201
IM0000,13,60,12.0,10,-295269.6000000004,922931832.1200007,17128,9026
IM0000,13,90,18.0,10,-282849.6,864047372.18,3091,1524
IM0000,16,0,0.0,10,452021.7999998762,2154312179.2800026,22291581,10633204
IM0000,16,1,0.2,10,444449.99999974447,1958675565.4200027,19486499,9568820
IM0000,16,2,0.4,10,393782.4999997799,1725091075.6500025,17067116,8400227
IM0000,16,3,0.6,10,327057.0999998003,1637816962.5699987,15138827,7460347
IM0000,16,4,0.8,10,251250.39999980776,1587485755.8000002,13126495,6476017
IM0000,16,6,1.2,10,65212.399999853784,1489641521.839999,9560974,4716475
IM0000,16,8,1.6,10,-66550.0000001025,1457371900.460003,7197467,3545602
IM0000,16,10,2.0,10,-166064.60000004456,1389807310.420002,5070154,2492665
IM0000,16,13,2.6,10,-247834.20000004803,1323323411.1399987,3349304,1642136
IM0000,16,16,3.2,10,-287406.5000000311,1251214441.7700024,2110370,1034018
IM0000,16,20,4.0,10,-312191.80000000994,1216291754.3800006,1189472,585191
IM0000,16,30,6.0,10,-302893.7000000028,1109395682.2100031,350935,177458
IM0000,16,45,9.0,10,-281656.00000000064,954988664.0999994,81794,43125
IM0000,16,60,12.0,10,-275820.4000000005,884740647.4800016,26842,14336
IM0000,16,90,18.0,10,-266845.30000000005,825662645.1300001,4969,2592
IM0000,20,0,0.0,10,331046.5999998885,2199849119.859999,22284501,10672005
IM0000,20,1,0.2,10,340192.59999977343,1964724747.8200042,19802742,9728450
IM0000,20,2,0.4,10,309481.3999997991,1802427263.9600012,17629444,8678174
IM0000,20,3,0.6,10,260058.99999981528,1751826467.0799987,15868483,7819730
IM0000,20,4,0.8,10,198429.59999981843,1686165038.559998,14002677,6907991
IM0000,20,6,1.2,10,54312.19999985642,1599040401.460003,10587846,5224789
IM0000,20,8,1.6,10,-57418.3000001068,1545270644.8899992,8231919,4059353
IM0000,20,10,2.0,10,-162150.80000004682,1479943969.3200016,6020222,2965459
IM0000,20,13,2.6,10,-250120.00000005338,1382969493.3999996,4141025,2034235
IM0000,20,16,3.2,10,-286244.20000003756,1313293895.9800003,2711780,1330716
IM0000,20,20,4.0,10,-320781.1000000119,1289638847.3899972,1594063,784340
IM0000,20,30,6.0,10,-316608.40000000346,1176840053.1800008,506370,255356
IM0000,20,45,9.0,10,-314226.0000000018,1075682782.5600011,127232,66835
IM0000,20,60,12.0,10,-278180.3000000005,906266991.1499991,43142,23160
IM0000,20,90,18.0,10,-271631.20000000007,838646696.62,8419,4421
IM0000,25,0,0.0,10,195085.9999998969,2264706170.360005,22275651,10701189
IM0000,25,1,0.2,10,190600.39999979627,2099067235.0799973,20082736,9864948
IM0000,25,2,0.4,10,182100.5999998167,1976458878.7399993,18137050,8926359
IM0000,25,3,0.6,10,157726.59999982818,1897817792.1799986,16541481,8149685
IM0000,25,4,0.8,10,110512.59999982752,1869522237.8200023,14821656,7312050
IM0000,25,6,1.2,10,3905.3999998565796,1783636979.720002,11588120,5721969
IM0000,25,8,1.6,10,-100484.70000010842,1701412533.8699992,9273805,4579070
IM0000,25,10,2.0,10,-197053.40000005017,1652401151.7200024,7021640,3465072
IM0000,25,13,2.6,10,-291395.30000005855,1588596930.0899975,5014725,2471600
IM0000,25,16,3.2,10,-333381.7000000434,1504141161.1900003,3414752,1682803
IM0000,25,20,4.0,10,-343865.0000000163,1424262424.259999,2090184,1032571
IM0000,25,30,6.0,10,-355139.8000000055,1326433250.6799977,714259,359240
IM0000,25,45,9.0,10,-351102.30000000075,1198676231.5700016,192309,100212
IM0000,25,60,12.0,10,-318330.3000000009,1034634910.7300006,68447,36421
IM0000,25,90,18.0,10,-296432.7999999997,910353036.4000006,14220,7542
IM0000,30,0,0.0,10,53526.09999990322,2339524172.49,22266801,10722222
IM0000,30,1,0.2,10,66613.19999981143,2127234088.2599955,20285216,9966845
IM0000,30,2,0.4,10,59485.89999982828,2021199825.629999,18509628,9111323
IM0000,30,3,0.6,10,37992.49999983838,1965405326.0700014,17039188,8396240
IM0000,30,4,0.8,10,8558.599999837235,1933363278.9399993,15435459,7616556
IM0000,30,6,1.2,10,-53241.800000138304,1834280450.2199996,12369936,6114881
IM0000,30,8,1.6,10,-121271.90000010795,1747811677.9899988,10118384,5004162
IM0000,30,10,2.0,10,-212204.6000000515,1699945581.48,7860802,3886703
IM0000,30,13,2.6,10,-284029.60000006197,1652654882.8000004,5781708,2857447
IM0000,30,16,3.2,10,-338682.800000048,1620510086.1199996,4057043,2005797
IM0000,30,20,4.0,10,-371388.3000000174,1597323360.1300018,2569396,1273389
IM0000,30,30,6.0,10,-393266.40000000625,1531576201.6800017,929571,467379
IM0000,30,45,9.0,10,-392778.5000000004,1365178620.9699981,265310,136912
IM0000,30,60,12.0,10,-357176.70000000024,1179298865.8299994,97490,51832
IM0000,30,90,18.0,10,-338273.69999999984,1043909997.2099997,21329,11235
