n,k_ticks,k_pts,x,s_sum,s_ss,s_n,hits
3,4,0.8,5,297270.0499998352,516632582.4012504,5635006,2754317
3,4,0.8,10,283254.7499998271,940979423.6337496,5633113,2766366
3,4,0.8,20,270835.54999982135,1258638658.5537517,5629925,2773634
3,4,0.8,40,289953.1999998179,2085420320.8499975,5624270,2785709
3,4,0.8,80,282521.6999998189,3343852557.753749,5614421,2780890
3,4,0.8,120,270248.4999998167,4378780906.142512,5603596,2775813
3,8,1.6,2,57053.94999996973,142874044.50999987,1424000,702973
3,8,1.6,5,25506.874999966,369129204.43437433,1423702,688188
3,8,1.6,10,-31585.975000036284,684490398.729377,1423284,689811
3,8,1.6,20,-13443.72500003723,860301951.9593763,1422676,693617
3,8,1.6,40,33374.824999961485,1209382037.4918768,1421645,700868
3,8,1.6,80,-5984.275000038646,2119558896.868124,1419946,701419
3,8,1.6,120,-27144.950000038443,2645581235.88375,1417573,701301
3,16,3.2,2,-5380.2250000029235,90071781.74562517,146767,75312
3,16,3.2,5,-50991.90000000321,260138974.3950001,146732,72740
3,16,3.2,10,-124618.72500000379,506466247.51187515,146699,71180
3,16,3.2,20,-120023.0000000041,573847143.6062509,146646,71666
3,16,3.2,40,-110374.82500000393,671629941.8543756,146580,72901
3,16,3.2,80,-146933.65000000424,1046877339.9112505,146462,72577
3,16,3.2,120,-140704.72500000356,1173705112.5943742,146214,72290
3,30,6.0,2,-17235.975000000042,65962036.01937499,8816,5017
3,30,6.0,5,-61302.30000000004,210398977.45750007,8811,5066
3,30,6.0,10,-126427.12500000012,401118376.35312515,8806,4472
3,30,6.0,20,-122089.94999999997,408025680.8399998,8801,4539
3,30,6.0,40,-136378.95,467201113.2537497,8798,4558
3,30,6.0,80,-170532.5500000002,587228455.7962505,8793,4494
3,30,6.0,120,-170845.67499999987,631990010.1068747,8773,4404
3,45,9.0,2,-21825.049999999963,65901196.577500015,1193,658
3,45,9.0,5,-66881.875,201912745.20937508,1191,672
3,45,9.0,10,-124023.70000000001,375828948.175,1189,603
3,45,9.0,20,-121015.37499999994,372347763.8318752,1189,601
3,45,9.0,40,-135565.67500000005,419057514.89187527,1187,602
3,45,9.0,80,-167993.52500000002,517890886.7243749,1185,577
3,45,9.0,120,-173678.57499999992,533447395.14187485,1184,548
3,90,18.0,2,-22977.77500000001,65886393.36562501,177,31
3,90,18.0,5,-69325.57500000001,201862433.45062503,177,32
3,90,18.0,10,-126636.02499999998,375711798.9331251,177,26
3,90,18.0,20,-124581.17499999999,372100861.070625,177,28
3,90,18.0,40,-137839.175,408613460.345625,175,25
3,90,18.0,80,-165260.775,487119280.1756251,173,19
3,90,18.0,120,-169226.27499999997,502458850.90062505,173,22
5,0,0.0,2,347753.49999990006,525244469.7999994,22325211,9722165
5,0,0.0,5,727093.1499998735,1190577662.5312493,22319901,10179571
5,0,0.0,10,854684.0499998505,1920826183.208751,22311051,10332218
5,0,0.0,20,852070.1499998324,2780113807.0337453,22293351,10399079
5,0,0.0,40,850433.6999998164,4542330497.188758,22257951,10427777
5,0,0.0,80,841154.2749998153,7395037881.444386,22187151,10394890
5,0,0.0,120,851018.6499998096,9527745904.936258,22116351,10368558
5,1,0.2,2,303884.0249996686,440076678.4218755,17126189,7989209
5,1,0.2,5,652893.1999996306,1023002309.5149995,17122240,8312102
5,1,0.2,10,755849.999999605,1669293953.2825007,17115833,8409556
5,1,0.2,20,759104.174999588,2355113710.60063,17103338,8451488
5,1,0.2,40,740602.9249995775,3769951245.4793725,17079057,8470118
5,1,0.2,80,771561.3249995777,6040647502.673124,17031183,8441121
5,1,0.2,120,767787.2499995738,7940838682.660004,16983193,8420150
5,2,0.4,2,254274.84999975783,378050966.61375004,13216946,6252281
5,2,0.4,5,542964.9249997245,893414305.5018756,13214015,6453985
5,2,0.4,10,601600.6749997035,1403925116.3818758,13209380,6505162
5,2,0.4,20,570397.2749996876,1992372653.5368755,13200707,6524514
5,2,0.4,40,564219.7249996782,3195324023.723127,13184431,6537002
5,2,0.4,80,576176.324999678,5162746193.189377,13152830,6515770
5,2,0.4,120,581492.0499996735,6754209414.363743,13120542,6499649
5,4,0.8,2,191744.17499983503,312277906.0118752,7894982,3817229
5,4,0.8,5,332991.44999981724,765412411.4124988,7893413,3885484
5,4,0.8,10,331677.34999980434,1219089547.044998,7890997,3891849
5,4,0.8,20,288472.3249997957,1621950364.4606252,7886816,3893188
5,4,0.8,40,274983.07499978814,2542954747.351871,7879153,3902974
5,4,0.8,80,294279.1499997888,4126775189.462493,7864945,3892709
5,4,0.8,120,271639.8999997859,5333554147.427515,7849426,3882779
5,8,1.6,2,58635.59999995413,204399803.99874988,2642338,1297757
5,8,1.6,5,24888.049999947274,572812345.3774998,2641947,1294234
5,8,1.6,10,-54693.575000056095,985467781.1481254,2641338,1288876
5,8,1.6,20,-37172.17500005971,1216152863.2318723,2640317,1289815
5,8,1.6,40,-24162.90000006162,1751848788.760001,2638531,1300764
5,8,1.6,80,-64273.22500006209,2918269342.878132,2635406,1299862
5,8,1.6,120,-15686.300000063122,3659193146.9900007,2630993,1298436
5,16,3.2,2,-19847.72500000675,168574168.09187505,392797,198676
5,16,3.2,5,-110661.87500000742,464036562.79062533,392756,192795
5,16,3.2,10,-206342.17500000843,807079922.8656251,392695,189672
