n,k_ticks,k_pts,x,s_sum,s_ss,s_n,hits
20,8,1.6,120,-298874.15000013344,6076202417.297513,8190573,4015000
20,16,3.2,2,-51466.32500003004,366536819.88937485,2712130,1341512
20,16,3.2,5,-145839.65000003457,816123136.1712499,2711914,1352397
20,16,3.2,10,-264033.6500000375,1256342180.1787484,2711543,1330831
20,16,3.2,20,-350301.32500004023,1774650960.2931252,2710806,1323480
20,16,3.2,40,-321282.6250000429,2431603375.783119,2709434,1328754
20,16,3.2,80,-405845.4250000428,3741075620.959378,2706227,1323807
20,16,3.2,120,-460531.2250000454,4775894609.498125,2701877,1319398
20,30,6.0,2,-75776.47500000201,340906221.32187533,506225,263054
20,30,6.0,5,-180360.27500000273,713641956.078125,506191,262158
20,30,6.0,10,-294877.2750000032,1119902880.159376,506138,255406
20,30,6.0,20,-339927.6000000036,1426623956.8275015,506016,252288
20,30,6.0,40,-377812.1750000043,1881940877.1656253,505889,253321
20,30,6.0,80,-558667.9000000039,2775914985.8524995,505590,249666
20,30,6.0,120,-568597.875000002,3393800533.804372,504824,247730
20,45,9.0,2,-80065.9000000004,309176864.0462492,127073,69361
20,45,9.0,5,-188097.3750000007,673756486.6643734,127062,69477
20,45,9.0,10,-292482.1750000018,1018753066.083125,127051,66885
20,45,9.0,20,-348959.7500000004,1258741933.0912516,127028,65513
20,45,9.0,40,-396264.25000000163,1671668376.3725,126999,65334
20,45,9.0,80,-562190.1000000004,2424971547.5874977,126949,63711
20,45,9.0,120,-607766.3500000016,2782581475.2749925,126788,63203
20,90,18.0,2,-84636.82500000007,265462953.93187505,8351,4774
20,90,18.0,5,-177028.10000000024,551818901.4475006,8351,4794
20,90,18.0,10,-254171.02499999994,790053114.396875,8350,4406
20,90,18.0,20,-300880.27500000014,938396744.1081257,8350,4380
20,90,18.0,40,-417775.24999999994,1287138436.3837497,8348,4321
20,90,18.0,80,-484117.55000000016,1714493975.1337504,8346,4090
20,90,18.0,120,-567142.2000000001,1963470875.793749,8346,3819
25,0,0.0,2,78999.7249999435,606865222.454373,22289811,10045810
25,0,0.0,5,181082.774999921,1380081756.173121,22284501,10555007
25,0,0.0,10,213698.07499989698,2233994778.103129,22275651,10701378
25,0,0.0,20,155810.2249998741,3289575572.75563,22257951,10749711
25,0,0.0,40,154758.19999985772,5203659386.786239,22222551,10745762
25,0,0.0,80,-325632.000000152,8148251300.586245,22151751,10690774
25,0,0.0,120,-313435.90000015625,10499946601.036257,22080951,10668177
25,1,0.2,2,71156.12499984677,531063400.35937536,20094906,9287794
25,1,0.2,5,168317.02499981955,1257495600.0856292,20090342,9741353
25,1,0.2,10,215077.47499979634,2035081778.0581236,20082720,9865135
25,1,0.2,20,165233.77499977226,2968912647.2881284,20067830,9901711
25,1,0.2,40,164487.5499997554,4621481159.923753,20038012,9892321
25,1,0.2,80,-332219.0000002517,7377897109.9312525,19978267,9838263
25,1,0.2,120,-324435.60000025487,9628082734.686245,19918534,9817412
25,2,0.4,2,67207.77499986872,505108985.4868764,18147334,8436366
25,2,0.4,5,163145.87499984106,1198261081.8631248,18143462,8828844
25,2,0.4,10,203758.7749998168,1920795758.878125,18137029,8926540
25,2,0.4,20,147104.82499979273,2759128425.9856277,18124609,8947850
25,2,0.4,40,136716.99999977718,4332572750.216243,18099770,8934648
25,2,0.4,80,-324409.05000023,6788671715.453755,18049472,8882088
25,2,0.4,120,-305650.2000002331,8938399246.051243,17999221,8863932
25,4,0.8,2,61717.07499987101,476978930.45187527,14829086,6963238
25,4,0.8,5,115419.27499984766,1133102879.9831257,14826251,7256532
25,4,0.8,10,132253.27499982755,1813860946.8731267,14821604,7312230
25,4,0.8,20,76672.77499980878,2576505471.77313,14812727,7313569
25,4,0.8,40,34278.324999795295,3978138645.855624,14795195,7297776
25,4,0.8,80,-348516.67500021216,6142398166.985625,14758935,7252627
25,4,0.8,120,-339691.4500002151,8054331216.463754,14722902,7238751
25,8,1.6,2,12528.849999920594,450952217.56875044,9277232,4435119
25,8,1.6,5,-17988.675000095096,1073909380.081876,9275940,4576356
25,8,1.6,10,-78881.37500010838,1645756068.5106232,9273700,4579206
25,8,1.6,20,-130222.47500011868,2247484592.4656243,9269446,4561730
25,8,1.6,40,-159789.9500001302,3358656672.532503,9261110,4555414
25,8,1.6,80,-428456.77500013384,5120501376.836883,9243243,4529403
25,8,1.6,120,-364347.50000013725,6559018379.264993,9224662,4518795
25,16,3.2,2,-53239.00000003333,396286481.0437499,3415423,1679139
25,16,3.2,5,-178232.7500000386,946029023.5987482,3415129,1702523
25,16,3.2,10,-308990.37500004366,1438447214.3381245,3414618,1682905
25,16,3.2,20,-387184.6750000469,1949744974.3206232,3413629,1671572
25,16,3.2,40,-402973.2750000504,2802716932.8706236,3411773,1673019
25,16,3.2,80,-556359.100000053,4208532122.471253,3407242,1665602
25,16,3.2,120,-484514.100000054,5259907327.8287325,3401622,1659439
25,30,6.0,2,-73842.30000000291,346456229.06750023,714235,367556
25,30,6.0,5,-205805.82500000385,825928734.786875,714188,367807
25,30,6.0,10,-333452.2500000053,1267752004.2524984,714085,359282
25,30,6.0,20,-393643.4750000059,1665949719.2581208,713911,354904
25,30,6.0,40,-470617.75000000675,2255825023.3262453,713706,354933
25,30,6.0,80,-678742.2750000056,3263907094.5106244,713114,350295
25,30,6.0,120,-654345.4000000062,3852041992.806249,712098,348400
25,45,9.0,2,-87201.70000000093,338687576.455,192211,103295
25,45,9.0,5,-215153.42500000115,765244147.8318746,192196,103773
25,45,9.0,10,-329423.10000000097,1140007886.9312515,192174,100257
25,45,9.0,20,-383487.35000000143,1444967403.8062491,192137,98018
25,45,9.0,40,-493261.4500000008,1974343539.0862522,192097,97423
25,45,9.0,80,-715922.9000000014,2804113323.1662493,192013,95405
25,45,9.0,120,-707933.0000000024,3188107511.987501,191773,94365
25,90,18.0,2,-83137.05000000002,263780660.65499988,14152,7953
25,90,18.0,5,-197338.8499999999,614549449.105,14149,8071
25,90,18.0,10,-278492.12499999977,860018115.0218756,14149,7532
25,90,18.0,20,-347295.02499999997,1077425818.7393758,14147,7292
25,90,18.0,40,-495970.125,1512646407.9743757,14143,7213
25,90,18.0,80,-603025.9999999999,1997408460.4312508,14141,6891
25,90,18.0,120,-667824.0500000009,2263980263.4462466,14139,6595
30,0,0.0,2,53534.17499994579,568393079.4693754,22280961,10063651
30,0,0.0,5,111737.72499992269,1385869530.5181255,22275651,10582330
30,0,0.0,10,66690.87499990335,2307514653.140625,22266801,10722432
30,0,0.0,20,151785.3249998802,3323992927.8356237,22249101,10767587
30,0,0.0,40,41358.14999986066,5338715488.723762,22213701,10757370
30,0,0.0,80,-503868.20000014623,8354271351.988758,22142901,10700471
30,0,0.0,120,-421469.20000014745,10622377369.923756,22072101,10680232
30,1,0.2,2,49671.89999985838,534657165.23625064,20297377,9377474
30,1,0.2,5,113349.59999983266,1261309882.979997,20292776,9845961
30,1,0.2,10,88523.02499981145,2070262051.3581216,20285204,9967060
30,1,0.2,20,167382.47499978723,2985368022.283121,20270087,10000530
30,1,0.2,40,50692.24999976921,4840470681.653742,20239676,9985693
30,1,0.2,80,-504987.1500002371,7628477625.581262,20178509,9930207
30,1,0.2,120,-404110.0500002382,9757139355.786251,20117812,9911909
30,2,0.4,2,47890.249999878215,508761168.6249998,18520105,8601370
30,2,0.4,5,114371.62499985215,1196505742.9393735,18516112,9013109
30,2,0.4,10,78439.04999982846,1972550634.5675004,18509605,9111529
30,2,0.4,20,150725.7999998065,2766923474.1824985,18496709,9131829
30,2,0.4,40,64237.52499978918,4469183993.770627,18470727,9113444
30,2,0.4,80,-447190.4750002203,6944191625.328122,18418155,9057612
30,2,0.4,120,-357453.7750002203,9039770488.523108,18366306,9041812
30,4,0.8,2,38872.949999880555,479391458.1650002,15443239,7236989
30,4,0.8,5,77278.7249998568,1137617851.874372,15440266,7554510
30,4,0.8,10,27438.674999837393,1884716130.131874,15435405,7616734
30,4,0.8,20,66414.04999981819,2562303808.004999,15425945,7617136
30,4,0.8,40,-36266.45000019783,4111392423.267502,15406996,7595312
30,4,0.8,80,-462335.62500020536,6210514696.105627,15367920,7547557
30,4,0.8,120,-360088.900000208,8035833155.557495,15329597,7535852
30,8,1.6,2,8887.449999923405,443446024.42000014,10122402,4824444
30,8,1.6,5,-22213.650000094538,1066082251.7062502,10120829,4996158
30,8,1.6,10,-102370.12500010754,1699166129.0568736,10118262,5004292
30,8,1.6,20,-97295.52500012201,2192535904.261879,10113423,4984199
30,8,1.6,40,-161136.55000013133,3502258296.3875017,10103897,4968795
30,8,1.6,80,-451176.55000013835,5220294233.957504,10083129,4936670
30,8,1.6,120,-369072.50000013993,6661361994.17376,10062559,4927661
30,16,3.2,2,-51093.67500003749,400588321.4431246,4057932,1987552
30,16,3.2,5,-170457.0500000444,967513689.9337512,4057540,2025471
30,16,3.2,10,-320088.90000004816,1571872403.28125,4056885,2005885
30,16,3.2,20,-367671.8250000517,1969267111.7431245,4055654,1990070
30,16,3.2,40,-428086.52500005835,2991456229.59937,4053337,1988141
30,16,3.2,80,-615867.7000000591,4384611873.388755,4047406,1976737
30,16,3.2,120,-497139.47500006226,5411545619.733111,4040703,1969630
30,30,6.0,2,-71348.90000000411,364435734.0812508,929616,475429
30,30,6.0,5,-216259.70000000522,878378959.2212504,929537,478103
30,30,6.0,10,-371651.0750000065,1472904210.6506271,929409,467430
30,30,6.0,20,-421981.12500000786,1773855801.9893754,929188,461438
30,30,6.0,40,-553411.7000000083,2543036061.06124,928855,459270
30,30,6.0,80,-768643.8000000097,3551393259.3825,927952,453902
30,30,6.0,120,-710508.3750000069,4240732568.9056225,926712,452182
30,45,9.0,2,-84900.80000000089,338013982.9612496,265231,141167
30,45,9.0,5,-222024.87500000157,793682666.1106242,265210,141546
30,45,9.0,10,-373979.9750000005,1313524493.9568732,265174,136966
30,45,9.0,20,-438436.90000000084,1629023327.2287498,265125,134118
30,45,9.0,40,-596676.7750000018,2246882537.0931263,265065,133390
30,45,9.0,80,-833714.825000003,3017890211.784374,264907,130564
30,45,9.0,120,-809782.9250000025,3563666211.4368753,264567,129452
30,90,18.0,2,-80308.07500000007,256012042.56312495,21272,11890
30,90,18.0,5,-205009.2500000001,638376642.3624998,21269,12011
30,90,18.0,10,-323053.45000000007,1000592255.2350003,21267,11241
30,90,18.0,20,-383294.17500000005,1193402696.0468757,21265,11014
30,90,18.0,40,-574170.7249999997,1753578359.1043754,21261,10988
30,90,18.0,80,-710481.3500000004,2303380647.3150015,21259,10558
30,90,18.0,120,-777332.4,2569504656.106249,21251,10117
